,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,6.320479730834124e-11,0.0,0.0,5.029546126536102e-05,0.0,0.0,0.0
1,0.0,0.0,1.3902916401313019e-11,0.0,0.0,1.106329935568846e-05,0.0,0.0,0.0
2,0.0,0.0,-5.320681451437603e-11,0.0,0.0,-4.2339527890676175e-05,0.0,0.0,0.0
3,0.0,0.0,-9.956541219841425e-11,0.0,0.0,-7.922956082218422e-05,0.0,0.0,0.0
4,0.0,0.0,-1.0845665671561451e-10,0.0,0.0,-8.630480294398252e-05,0.0,0.0,0.0
5,0.0,0.0,-9.089025802181382e-11,0.0,0.0,-7.232627342246876e-05,0.0,0.0,0.0
6,0.0,0.0,-6.823812292203586e-11,0.0,0.0,-5.430074953809342e-05,0.0,0.0,0.0
7,0.0,0.0,-4.7456913712269e-11,0.0,0.0,-3.7764022147635417e-05,0.0,0.0,0.0
8,0.0,0.0,-1.6725161258446128e-11,0.0,0.0,-1.3309111587326926e-05,0.0,0.0,0.0
9,0.0,0.0,3.3096503819849955e-11,0.0,0.0,2.6336670581656247e-05,0.0,0.0,0.0
10,0.0,0.0,9.06932353724209e-11,0.0,0.0,7.216949188921588e-05,0.0,0.0,0.0
11,0.0,0.0,1.269631789923791e-10,0.0,0.0,0.00010103143943308832,0.0,0.0,0.0
12,0.0,0.0,1.2541620438679743e-10,0.0,0.0,9.980042842337084e-05,0.0,0.0,0.0
13,0.0,0.0,1.009621126299238e-10,0.0,0.0,8.03409905782137e-05,0.0,0.0,0.0
14,0.0,0.0,8.197964620112562e-11,0.0,0.0,6.523561969421219e-05,0.0,0.0,0.0
15,0.0,0.0,8.1762943060038e-11,0.0,0.0,6.506317733377737e-05,0.0,0.0,0.0
16,0.0,0.0,8.399712529562719e-11,0.0,0.0,6.68410364659196e-05,0.0,0.0,0.0
17,0.0,0.0,7.058347848326822e-11,0.0,0.0,5.616707527295807e-05,0.0,0.0,0.0
18,0.0,0.0,4.727082055888459e-11,0.0,0.0,3.7615937802990915e-05,0.0,0.0,0.0
19,0.0,0.0,3.221988007402643e-11,0.0,0.0,2.563909385441399e-05,0.0,0.0,0.0
20,0.0,0.0,3.0903178443379094e-11,0.0,0.0,2.459132345275935e-05,0.0,0.0,0.0
21,0.0,0.0,2.7399019448499693e-11,0.0,0.0,2.1802875415582207e-05,0.0,0.0,0.0
22,0.0,0.0,1.0564407006130912e-11,0.0,0.0,8.406667626449993e-06,0.0,0.0,0.0
23,0.0,0.0,-9.022544900635075e-12,0.0,0.0,-7.179724908396855e-06,0.0,0.0,0.0
24,0.0,0.0,-1.7969694901212232e-11,0.0,0.0,-1.4299454034243065e-05,0.0,0.0,0.0
25,0.0,0.0,-2.1312506624482454e-11,0.0,0.0,-1.6959509357653523e-05,0.0,0.0,0.0
26,0.0,0.0,-3.022691577960159e-11,0.0,0.0,-2.4053184829431425e-05,0.0,0.0,0.0
27,0.0,0.0,-4.345051826005584e-11,0.0,0.0,-3.457591751219957e-05,0.0,0.0,0.0
