,E.x,E.y,E.z
0,0.0,0.0,0.0
1,0.0,-12221.14964538683,0.0
2,0.0,6644.714990985896,0.0
3,0.0,-42276.02843644574,0.0
4,0.0,8753.984638398011,0.0
5,0.0,82908.79642883067,0.0
6,0.0,96486.58183302043,0.0
7,0.0,110084.99856948222,0.0
8,0.0,120293.81421865713,0.0
9,0.0,136826.51018081716,0.0
10,0.0,74978.88363636409,0.0
11,0.0,-3498.222714879571,0.0
12,0.0,42929.560377985246,0.0
13,0.0,23545.98911727047,0.0
14,0.0,-6293.9364877068665,0.0
15,0.0,-47320.036142535326,0.0
16,0.0,-29577.210219952816,0.0
17,0.0,-44308.64522770896,0.0
18,0.0,-2238.812862927668,0.0
19,0.0,-6611.390650179487,0.0
20,22604.08985122284,0.0,0.0
21,25685.491474001334,0.0,1.0718484600465697e+36
22,38746.43162917169,-15302.551268165484,1.6393780411103654e+35
23,13789.37820231531,-6416.225164184303,2.614163707831941e+34
24,-3375.7878908424586,-17318.975009589267,4.4162710201630425e+33
25,-9671.36138255085,25919.15073155565,8.017297789364274e+32
26,23098.808074575343,89204.36992053938,1.5750373164895088e+32
27,35945.31380687467,63716.41237589432,3.3371330883352613e+31
28,28976.531164617703,97238.4928371824,7.535545909458993e+30
29,26144.20062558214,127262.59686091394,1.786098770063456e+30
30,25828.24840130211,139658.84071985286,4.3816533908481176e+29
31,38775.90401475417,75294.835860644,1.1004273755831834e+29
32,41411.731192697946,-16445.878328331182,2.807373042733324e+28
33,21799.75042419636,40293.733200041584,7.236674397604e+27
34,31882.97135801732,43157.96988577217,1.8779387662098642e+27
35,25830.398988952697,-16377.157421527658,4.8930746424679775e+26
36,19996.165427920092,-41267.46377347052,1.2772569980333563e+26
37,18078.122580123778,-23742.976658920576,3.322604850283717e+25
38,15431.514158091597,-42390.602379912496,8.12376829362265e+24
39,1140.787488708696,407.7955591047708,0.0
40,45232.74250594296,7679.336019203914,0.0
41,60625.245089510616,0.0,3.65857336632754e+36
42,61053.15713567275,0.0,-2.0664294302882213e+35
43,49734.645900559735,-30695.053851733246,-2.5531712888282025e+34
44,4562.582747599121,-6844.137210346108,-2.693711059846172e+33
45,4760.914261516097,-6000.463774476183,-1.499946766402641e+32
46,17439.44474472128,71091.2138845162,3.7761285523307595e+31
47,41063.160148267096,89006.03840662193,2.0581312058787724e+31
48,57226.354564543515,51037.881892689315,6.887958324599839e+30
49,70990.69104157068,73614.77743363663,2.0197568176248246e+30
50,79636.99688491825,111099.40244463756,5.620214266080784e+29
51,52578.743562789554,125894.50424282547,1.5279962325521565e+29
52,41913.96725460612,66648.5300172966,4.109999715756e+28
53,57194.79575332921,10612.374993797384,1.0998422961324737e+28
54,58957.27465308773,50958.509508224925,2.9349714767028644e+27
55,39713.047564303495,27877.141387049247,7.816044525646773e+26
56,30364.659132737135,-18139.636321286293,2.0766384791246367e+26
57,27083.152216057148,-22023.236684686595,5.481284784803196e+25
58,9817.07129474883,-14394.588227354248,1.355278571191864e+25
59,18989.25199955397,-39109.09546323277,0.0
60,94177.88408175424,17673.876480413142,0.0
61,73566.32532720943,-1492.8446856015696,1.139132936724557e+37
62,50127.754907581766,0.0,-8.53659095170509e+35
63,2353.2090843220994,0.0,4.712247503887421e+34
64,25931.5484076774,-10083.495097188412,7.025502591191237e+33
65,43563.925989198244,16594.433209281407,1.1110461469387011e+33
66,33481.6593122786,41774.08204878336,1.9329086634834346e+32
67,26494.471031317968,47512.874561160876,3.807552094417649e+31
68,83372.89130045168,71373.6608251011,8.498333694883582e+30
69,109357.67193304992,61120.14856960888,2.0895905038830706e+30
70,90891.81997214457,80601.96571459717,5.455960453341468e+29
71,80524.98405715288,54220.9821755036,1.4696952415225694e+29
72,84304.50955750329,99909.72361022703,4.012974858970694e+28
73,74934.3127106289,85114.38197820184,1.1002267188666315e+28
74,56177.78813761978,20979.210908788755,3.0144654252575206e+27
75,56592.206562323845,47178.984007874365,8.234229238655602e+26
76,50454.39099480055,37247.33823392353,2.2390993797702642e+26
77,37591.93991653358,616.8882517229514,6.032435795774573e+25
78,26185.357018363848,-22437.655109390293,1.5161742708207398e+25
79,25973.1481212114,-8256.77265983091,0.0
80,98292.51914498533,-26246.64438496545,0.0
81,56054.9850916695,29080.459378582676,2.1911797003754186e+37
82,37206.78144174453,-1280.6357884492372,-2.6546832614781965e+36
83,38431.841524246265,0.0,1.8114053037193726e+35
84,25140.36998527877,0.0,-8.14863836208005e+33
85,20920.90357809624,32154.03895612722,-1.1189454474013487e+33
86,12836.46060156339,35442.63685920633,-1.4241809852649822e+32
87,70562.47448235532,40549.02196628165,-1.4403294081444344e+31
88,75343.63140157633,60804.34610012852,-1.5672848938289093e+29
89,88106.2187772639,75593.12723228347,5.626619968923115e+29
90,102759.63748104832,69204.59154614223,2.55787699155029e+29
91,101870.56211790515,22875.95183380523,8.812689673799311e+28
92,93503.77335163316,49439.825256282646,2.75330927187328e+28
93,52797.98950020083,87147.13623453969,8.208496903928412e+27
94,40811.1741333525,70460.96327441762,2.3825909707348808e+27
95,38681.80039460917,21868.286271931607,6.794725333198068e+26
96,51463.73168585494,55545.772774146906,1.911826678062442e+26
97,29087.793907341464,77953.1220853557,5.296504923162325e+25
98,59048.67907842415,12603.703618571411,1.3600395061429443e+25
