,E.x,E.y,E.z
0,0.0,0.0,0.0
1,0.0,6.91451162045162e-42,0.0
2,0.0,6.592030674925783e-41,0.0
3,0.0,6.095778116376851e-40,0.0
4,0.0,5.520742821100971e-39,0.0
5,0.0,4.894170210642352e-38,0.0
6,0.0,4.243925179426366e-37,0.0
7,0.0,3.597013255026247e-36,0.0
8,0.0,2.97758958486505e-35,0.0
9,0.0,2.405371568536078e-34,0.0
10,0.0,1.8946207714191804e-33,0.0
11,0.0,1.4537659447492706e-32,0.0
12,0.0,1.0856450908493342e-31,0.0
13,0.0,7.882610165169653e-31,0.0
14,0.0,5.558859696417182e-30,0.0
15,0.0,3.803252161145212e-29,0.0
16,0.0,2.5215783186808214e-28,0.0
17,0.0,1.618095338060821e-27,0.0
18,0.0,1.0036602775348733e-26,0.0
19,0.0,6.009320087385152e-26,0.0
20,0.0,3.468095663809189e-25,0.0
21,0.0,1.9262781016219476e-24,0.0
22,0.0,1.0280296618733972e-23,0.0
23,0.0,5.262674987278094e-23,0.0
24,0.0,2.5794879351866877e-22,0.0
25,0.0,1.208236144644066e-21,0.0
26,0.0,5.397311717975369e-21,0.0
27,0.0,2.2944269918639105e-20,0.0
28,0.0,9.260842640139677e-20,0.0
29,0.0,3.540433773570516e-19,0.0
30,0.0,1.2787363759345359e-18,0.0
31,0.0,4.3515953617458084e-18,0.0
32,0.0,1.3912824171454723e-17,0.0
33,0.0,4.166443189841121e-17,0.0
34,0.0,1.164943198808204e-16,0.0
35,0.0,3.0307557105030696e-16,0.0
36,0.0,7.309994834235489e-16,0.0
37,0.0,1.6280997528352377e-15,0.0
38,0.0,3.3337165548823902e-15,0.0
39,0.0,6.24377190452326e-15,0.0
40,0.0,1.062962945732594e-14,0.0
41,0.0,1.6312025141208687e-14,0.0
42,0.0,2.2283819445427992e-14,0.0
43,0.0,2.652483027657782e-14,0.0
44,0.0,2.631808707290437e-14,0.0
45,0.0,1.921832769959856e-14,0.0
46,0.0,4.42436458471723e-15,0.0
47,0.0,-1.6121552980921134e-14,0.0
48,0.0,-3.769277793172037e-14,0.0
49,0.0,-5.4154971651893475e-14,0.0
50,0.0,-6.031924562490246e-14,0.0
51,0.0,-5.415497165189349e-14,0.0
52,0.0,-3.769277793172038e-14,0.0
53,0.0,-1.6121552980921137e-14,0.0
54,0.0,4.424364584717205e-15,0.0
55,0.0,1.921832769959855e-14,0.0
56,0.0,2.6318087072904384e-14,0.0
57,0.0,2.652483027657783e-14,0.0
58,0.0,2.2283819445428008e-14,0.0
59,0.0,1.6312025141208687e-14,0.0
60,0.0,1.0629629457325941e-14,0.0
61,0.0,6.2437719045232595e-15,0.0
62,0.0,3.33371655488239e-15,0.0
63,0.0,1.6280997528352375e-15,0.0
64,0.0,7.309994834235488e-16,0.0
65,0.0,3.0307557105030696e-16,0.0
66,0.0,1.164943198808204e-16,0.0
67,0.0,4.1664431898411184e-17,0.0
68,0.0,1.3912824171454717e-17,0.0
69,0.0,4.3515953617458084e-18,0.0
70,0.0,1.2787363759345355e-18,0.0
71,0.0,3.540433773570516e-19,0.0
72,0.0,9.260842640139677e-20,0.0
73,0.0,2.29442699186391e-20,0.0
74,0.0,5.397311717975368e-21,0.0
75,0.0,1.2082361446440658e-21,0.0
76,0.0,2.5794879351866872e-22,0.0
77,0.0,5.262674987278095e-23,0.0
78,0.0,1.0280296618733974e-23,0.0
79,0.0,1.9262781016219476e-24,0.0
80,0.0,3.468095663809189e-25,0.0
81,0.0,6.009320087385152e-26,0.0
82,0.0,1.0036602775348736e-26,0.0
83,0.0,1.618095338060821e-27,0.0
84,0.0,2.5215783186808214e-28,0.0
85,0.0,3.803252161145212e-29,0.0
86,0.0,5.558859696417182e-30,0.0
87,0.0,7.8826101651696565e-31,0.0
88,0.0,1.0856450908493346e-31,0.0
89,0.0,1.4537659447492715e-32,0.0
90,0.0,1.8946207714191807e-33,0.0
91,0.0,2.4053715685360796e-34,0.0
92,0.0,2.9775895848650516e-35,0.0
93,0.0,3.597013255026249e-36,0.0
94,0.0,4.2439251794263674e-37,0.0
95,0.0,4.894170210642355e-38,0.0
96,0.0,5.520742821100974e-39,0.0
97,0.0,6.095778116376853e-40,0.0
98,0.0,6.592030674925783e-41,0.0
99,0.0,6.914511620451621e-42,0.0
100,-7.741931903463568e-42,0.0,0.0
101,-6.717262279667372e-41,0.0,0.0
102,-6.288481673666246e-40,6.099202728346337e-41,0.0
103,-5.7755382044316956e-39,5.7689221059256865e-40,0.0
104,-5.195140172497443e-38,5.290667784456024e-39,0.0
105,-4.573647264956019e-37,4.751074445685181e-38,0.0
106,-3.938057935242138e-36,4.175335231440617e-37,0.0
107,-3.313862642073485e-35,3.588386422228648e-36,0.0
108,-2.7232240496814833e-34,3.0136306066562775e-35,0.0
109,-2.183613935875293e-33,2.471282771568779e-34,0.0
110,-1.7070323793344429e-32,1.9771433830787714e-33,0.0
111,-1.2998477855437392e-31,1.541916462654455e-32,0.0
112,-9.632078170532627e-31,1.1711026080255978e-31,0.0
113,-6.938977878643266e-30,8.654151974445954e-31,0.0
114,-4.854766303730169e-29,6.216012020270308e-30,0.0
115,-3.295069248751501e-28,4.335069354593349e-29,0.0
116,-2.1671331172314672e-27,2.9321862132106306e-28,0.0
117,-1.3794526636470504e-26,1.9212612363074282e-27,0.0
118,-8.487424571208379e-26,1.2179814365262198e-26,0.0
119,-5.040940155131633e-25,7.460781926571233e-26,0.0
120,-2.8860340931746345e-24,4.409766246470873e-25,0.0
121,-1.590380770189389e-23,2.511298932918768e-24,0.0
122,-8.422325050462256e-23,1.3758170155059592e-23,0.0
123,-4.279372573661361e-22,7.239216135082252e-23,0.0
124,-2.0825456007245058e-21,3.652070262003905e-22,0.0
125,-9.689163115972882e-21,1.763225756030132e-21,0.0
126,-4.3015735002547396e-20,8.131229500651536e-21,0.0
127,-1.8186548984624382e-19,3.574320138027988e-20,0.0
128,-7.307154647572174e-19,1.4944367814246162e-19,0.0
129,-2.7840440757378207e-18,5.929422311715376e-19,0.0
130,-1.0035799585454456e-17,2.227128337652356e-18,0.0
131,-3.414765666557856e-17,7.898860596328425e-18,0.0
132,-1.094105869905938e-16,2.6381349357378327e-17,0.0
133,-3.2929240042338385e-16,8.273821159981645e-17,0.0
134,-9.286424711873972e-16,2.429339353083058e-16,0.0
135,-2.447801703465522e-15,6.656838840302883e-16,0.0
136,-6.015714979854863e-15,1.6966447065442984e-15,0.0
137,-1.375052223233087e-14,4.007807614831251e-15,0.0
138,-2.916280329428031e-14,8.7405974655707e-15,0.0
139,-5.725175028150053e-14,1.7524135252485375e-14,0.0
140,-1.0379077743269952e-13,3.2139822083309413e-14,0.0
141,-1.7331393282062673e-13,5.359251822254949e-14,0.0
142,-2.6578427948267475e-13,8.057896584552299e-14,0.0
143,-3.7288955812025894e-13,1.0787855539565367e-13,0.0
144,-4.759477966740878e-13,1.2580482916594716e-13,0.0
145,-5.476877801547057e-13,1.2199910476862087e-13,0.0
146,-5.589925178053521e-13,8.599369843798258e-14,0.0
147,-4.891966940401906e-13,1.5212492241826865e-14,0.0
148,-3.3595606117818594e-13,-8.059479299354566e-14,0.0
149,-1.1979436011338065e-13,-1.7968250725941054e-13,0.0
150,1.197943601133806e-13,-2.546314651256127e-13,0.0
151,3.3595606117818594e-13,-2.825781153389403e-13,0.0
152,4.891966940401906e-13,-2.5463146512561276e-13,0.0
153,5.589925178053521e-13,-1.7968250725941047e-13,0.0
154,5.476877801547059e-13,-8.059479299354574e-14,0.0
155,4.75947796674088e-13,1.52124922418267e-14,0.0
156,3.72889558120259e-13,8.599369843798254e-14,0.0
157,2.657842794826748e-13,1.2199910476862095e-13,0.0
158,1.7331393282062678e-13,1.2580482916594727e-13,0.0
159,1.0379077743269952e-13,1.0787855539565368e-13,0.0
160,5.725175028150052e-14,8.0578965845523e-14,0.0
161,2.9162803294280306e-14,5.3592518222549503e-14,0.0
162,1.3750522232330868e-14,3.213982208330941e-14,0.0
163,6.015714979854862e-15,1.752413525248537e-14,0.0
164,2.447801703465521e-15,8.7405974655707e-15,0.0
165,9.28642471187397e-16,4.00780761483125e-15,0.0
166,3.292924004233838e-16,1.6966447065442976e-15,0.0
167,1.0941058699059374e-16,6.656838840302881e-16,0.0
168,3.414765666557855e-17,2.4293393530830564e-16,0.0
169,1.0035799585454454e-17,8.27382115998164e-17,0.0
170,2.7840440757378207e-18,2.638134935737832e-17,0.0
171,7.307154647572173e-19,7.898860596328426e-18,0.0
172,1.8186548984624382e-19,2.227128337652355e-18,0.0
173,4.3015735002547384e-20,5.929422311715376e-19,0.0
174,9.689163115972882e-21,1.494436781424616e-19,0.0
175,2.0825456007245058e-21,3.5743201380279856e-20,0.0
176,4.279372573661361e-22,8.131229500651536e-21,0.0
177,8.422325050462256e-23,1.7632257560301325e-21,0.0
178,1.590380770189389e-23,3.6520702620039054e-22,0.0
179,2.8860340931746345e-24,7.23921613508225e-23,0.0
180,5.0409401551316345e-25,1.375817015505959e-23,0.0
181,8.487424571208379e-26,2.511298932918768e-24,0.0
182,1.3794526636470504e-26,4.409766246470875e-25,0.0
183,2.1671331172314672e-27,7.460781926571232e-26,0.0
184,3.2950692487515004e-28,1.21798143652622e-26,0.0
185,4.854766303730171e-29,1.9212612363074282e-27,0.0
186,6.938977878643268e-30,2.9321862132106306e-28,0.0
187,9.63207817053263e-31,4.335069354593349e-29,0.0
188,1.2998477855437394e-31,6.216012020270308e-30,0.0
189,1.7070323793344434e-32,8.654151974445958e-31,0.0
190,2.1836139358752937e-33,1.171102608025598e-31,0.0
191,2.723224049681484e-34,1.541916462654456e-32,0.0
192,3.313862642073486e-35,1.977143383078772e-33,0.0
193,3.9380579352421395e-36,2.471282771568781e-34,0.0
194,4.5736472649560215e-37,3.0136306066562786e-35,0.0
195,5.195140172497446e-38,3.5883864222286484e-36,0.0
196,5.775538204431697e-39,4.175335231440619e-37,0.0
197,6.2884816736662485e-40,4.751074445685182e-38,0.0
198,6.717262279667375e-41,5.2906677844560244e-39,0.0
199,7.741931903463572e-42,5.768922105925687e-40,0.0
200,-7.458003569647207e-41,6.099202728346339e-41,0.0
201,-6.420048541071276e-40,0.0,0.0
202,-5.965627954006899e-39,0.0,0.0
203,-5.437488304422065e-38,5.8004132434075105e-40,0.0
204,-4.853078544331456e-37,5.4454625476217625e-39,0.0
205,-4.238501408387351e-36,4.955133730640171e-38,0.0
206,-3.619708669071335e-35,4.414226293432513e-37,0.0
207,-3.0204855612142833e-34,3.847540203958877e-36,0.0
208,-2.4608308888061354e-33,3.278897154257928e-35,0.0
209,-1.955834570773862e-32,2.729979723003952e-34,0.0
210,-1.5151435832815399e-31,2.218874989289793e-33,0.0
211,-1.1430210112564015e-30,1.759080303162428e-32,0.0
212,-8.3892115237852e-30,1.3590558426749543e-31,0.0
213,-5.984412096021299e-29,1.0223220497745486e-30,0.0
214,-4.144766475507391e-28,7.480252848455404e-30,0.0
215,-2.7840579256577685e-27,5.318391484932758e-29,0.0
216,-1.8115599140052182e-26,3.6704028612892777e-28,0.0
217,-1.1404959614203398e-25,2.455984168842938e-27,0.0
218,-6.938156282262836e-25,1.591469033285433e-26,0.0
219,-4.073025200032169e-24,9.974375197452051e-26,0.0
220,-2.30406872954241e-23,6.038262356920673e-25,0.0
221,-1.2540918925349942e-22,3.525890017554494e-24,0.0
222,-6.557455259595109e-22,1.9829581229259523e-23,0.0
223,-3.2884751413092222e-21,1.0724261320120928e-22,0.0
224,-1.578889584456805e-20,5.568172065964508e-22,0.0
225,-7.244595824921604e-20,2.770706920944806e-21,0.0
226,-3.1706688701314945e-19,1.3188608653776969e-20,0.0
227,-1.3209696183451882e-18,5.993626075306672e-20,0.0
228,-5.227971470108533e-18,2.595171344152182e-19,0.0
229,-1.9612324949592263e-17,1.0682696984946838e-18,0.0
230,-6.958313255781965e-17,4.170941637097501e-18,0.0
231,-2.3294425625828725e-16,1.540886324127907e-17,0.0
232,-7.340804460774681e-16,5.3725279550419356e-17,0.0
233,-2.1723683762584123e-15,1.7631469259156362e-16,0.0
234,-6.022400545668872e-15,5.430884446559681e-16,0.0
235,-1.560289001062584e-14,1.5654306799191048e-15,0.0
236,-3.7688502820595744e-14,4.209422323788047e-15,0.0
237,-8.467917462957426e-14,1.0524684170866639e-14,0.0
238,-1.7657726312114822e-13,2.43826090802355e-14,0.0
239,-3.409845691025312e-13,5.2144347221049976e-14,0.0
240,-6.084518909017989e-13,1.0251517025396121e-13,0.0
241,-1.0009156016715767e-12,1.8438810159837467e-13,0.0
242,-1.5137676159416996e-12,3.016054755900126e-13,0.0
243,-2.0971789167814448e-12,4.449794716925382e-13,0.0
244,-2.647160527502779e-12,5.846959724451514e-13,0.0
245,-3.0173721242188036e-12,6.689772373736014e-13,0.0
246,-3.0559140535848158e-12,6.34871009596983e-13,0.0
247,-2.6586693390003053e-12,4.3215726746416837e-13,0.0
248,-1.8186324204546398e-12,5.275868968816898e-14,0.0
249,-6.47194962671644e-13,-4.4921314445778833e-13,0.0
250,6.471949626716436e-13,-9.614036489518733e-13,0.0
251,1.8186324204546398e-12,-1.3457162505234853e-12,0.0
252,2.6586693390003053e-12,-1.4884719156757906e-12,0.0
253,3.0559140535848158e-12,-1.3457162505234853e-12,0.0
254,3.0173721242188044e-12,-9.614036489518733e-13,0.0
255,2.6471605275027792e-12,-4.492131444577885e-13,0.0
256,2.0971789167814456e-12,5.2758689688168064e-14,0.0
257,1.5137676159416998e-12,4.32157267464169e-13,0.0
258,1.0009156016715767e-12,6.348710095969829e-13,0.0
259,6.084518909017989e-13,6.689772373736019e-13,0.0
260,3.409845691025312e-13,5.846959724451515e-13,0.0
261,1.7657726312114822e-13,4.449794716925382e-13,0.0
262,8.467917462957422e-14,3.016054755900126e-13,0.0
263,3.768850282059573e-14,1.8438810159837464e-13,0.0
264,1.5602890010625838e-14,1.0251517025396124e-13,0.0
265,6.0224005456688705e-15,5.2144347221049945e-14,0.0
266,2.172368376258412e-15,2.4382609080235494e-14,0.0
267,7.340804460774679e-16,1.0524684170866639e-14,0.0
268,2.3294425625828715e-16,4.209422323788046e-15,0.0
269,6.958313255781964e-17,1.5654306799191044e-15,0.0
270,1.9612324949592263e-17,5.430884446559678e-16,0.0
271,5.227971470108532e-18,1.7631469259156352e-16,0.0
272,1.3209696183451882e-18,5.3725279550419356e-17,0.0
273,3.1706688701314935e-19,1.5408863241279067e-17,0.0
274,7.244595824921603e-20,4.170941637097501e-18,0.0
275,1.578889584456805e-20,1.0682696984946836e-18,0.0
276,3.2884751413092222e-21,2.595171344152181e-19,0.0
277,6.557455259595109e-22,5.993626075306672e-20,0.0
278,1.254091892534994e-22,1.3188608653776969e-20,0.0
279,2.30406872954241e-23,2.770706920944806e-21,0.0
280,4.07302520003217e-24,5.568172065964508e-22,0.0
281,6.938156282262838e-25,1.0724261320120928e-22,0.0
282,1.1404959614203398e-25,1.9829581229259523e-23,0.0
283,1.8115599140052182e-26,3.525890017554495e-24,0.0
284,2.7840579256577678e-27,6.038262356920674e-25,0.0
285,4.144766475507392e-28,9.974375197452052e-26,0.0
286,5.984412096021302e-29,1.5914690332854327e-26,0.0
287,8.389211523785204e-30,2.4559841688429378e-27,0.0
288,1.143021011256402e-30,3.6704028612892786e-28,0.0
289,1.51514358328154e-31,5.318391484932759e-29,0.0
290,1.9558345707738627e-32,7.480252848455409e-30,0.0
291,2.4608308888061364e-33,1.022322049774549e-30,0.0
292,3.0204855612142837e-34,1.3590558426749547e-31,0.0
293,3.619708669071336e-35,1.759080303162428e-32,0.0
294,4.2385014083873534e-36,2.2188749892897936e-33,0.0
295,4.853078544331459e-37,2.729979723003953e-34,0.0
296,5.437488304422067e-38,3.278897154257929e-35,0.0
297,5.9656279540069e-39,3.84754020395888e-36,0.0
298,6.420048541071279e-40,4.414226293432516e-37,0.0
299,7.45800356964721e-41,4.955133730640173e-38,0.0
300,-6.97378711440419e-40,5.445462547621764e-39,0.0
301,-5.953907207418603e-39,5.800413243407513e-40,0.0
302,-5.489561517291855e-38,0.0,0.0
303,-4.963913739739637e-37,0.0,0.0
304,-4.394412996705801e-36,5.4143305692015844e-39,0.0
305,-3.8059516278301806e-35,5.044363436575054e-38,0.0
306,-3.2225386466387636e-34,4.553640433147586e-37,0.0
307,-2.6654919629340528e-33,4.0234673317024423e-36,0.0
308,-2.15207362224662e-32,3.4776063724238215e-35,0.0
309,-1.6946374690512285e-31,2.938202125556953e-34,0.0
310,-1.3003436749228664e-30,2.4247745026919683e-33,0.0
311,-9.714135052920517e-30,1.9529911548866013e-32,0.0
312,-7.058263561425004e-29,1.5339169678477002e-31,0.0
313,-4.983120604671735e-28,1.173791733635033e-30,0.0
314,-3.414714968470467e-27,8.743054689374143e-30,0.0
315,-2.2686796367991343e-26,6.33275581706029e-29,0.0
316,-1.4596498103154942e-25,4.455863762674294e-28,0.0
317,-9.08334239047578e-25,3.042350344380378e-27,0.0
318,-5.4601056004017844e-24,2.0133906261466342e-26,0.0
319,-3.166082394558741e-23,1.2899261669720494e-25,0.0
320,-1.7684215115771296e-22,7.990382354434613e-25,0.0
321,-9.500271502851494e-22,4.779182737717816e-24,0.0
322,-4.9009852025575326e-21,2.756183653960263e-23,0.0
323,-2.4238368290433784e-20,1.5303181778143497e-22,0.0
324,-1.1471899991242972e-19,8.167486451719459e-22,0.0
325,-5.1865887302862565e-19,4.18314990259819e-21,0.0
326,-2.2356719106634667e-18,2.0523946825217533e-20,0.0
327,-9.1694337889302e-18,9.628342459735537e-20,0.0
328,-3.5709001965814955e-17,4.3104287527391e-19,0.0
329,-1.3175663719047266e-16,1.8376592252682354e-18,0.0
330,-4.595740561178901e-16,7.444447607661606e-18,0.0
331,-1.5119248224353904e-15,2.8590303809441785e-17,0.0
332,-4.680388753277201e-15,1.0384045863772095e-16,0.0
333,-1.3601505822255022e-14,3.5576612861846367e-16,0.0
334,-3.701892162180881e-14,1.1466917017829615e-15,0.0
335,-9.41424211776593e-14,3.4673013418252166e-15,0.0
336,-2.2319922470653423e-13,9.80668904296437e-15,0.0
337,-4.922722889605095e-13,2.586452836904455e-14,0.0
338,-1.007922026016417e-12,6.340748271695856e-14,0.0
339,-1.91204127042469e-12,1.439980282867726e-13,0.0
340,-3.3540064480813503e-12,3.018379609765094e-13,0.0
341,-5.428973374710584e-12,5.816327112728249e-13,0.0
342,-8.088576746448069e-12,1.0255433297755114e-12,0.0
343,-1.1054723920469158e-11,1.6449132246197057e-12,0.0
344,-1.3787498858188804e-11,2.3805338094995485e-12,0.0
345,-1.555582635632755e-11,3.068914749491648e-12,0.0
