,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,1.0033279715777602e-11,0.0,0.0,7.984021036372e-06,0.0,0.0,0.0
1,0.0,0.0,7.025623853447398e-12,0.0,0.0,5.590667282140418e-06,0.0,0.0,0.0
2,0.0,0.0,6.374716054099068e-12,0.0,0.0,5.072704889986288e-06,0.0,0.0,0.0
3,0.0,0.0,7.50739544666765e-12,0.0,0.0,5.974038885839282e-06,0.0,0.0,0.0
4,0.0,0.0,8.66066907790646e-12,0.0,0.0,6.891760826554673e-06,0.0,0.0,0.0
5,0.0,0.0,1.1578300830363083e-11,0.0,0.0,9.213477548093839e-06,0.0,0.0,0.0
6,0.0,0.0,1.1493733347789942e-11,0.0,0.0,9.14618264762423e-06,0.0,0.0,0.0
7,0.0,0.0,4.074187826289577e-12,0.0,0.0,3.2420506786105954e-06,0.0,0.0,0.0
8,0.0,0.0,1.6086273232365152e-12,0.0,0.0,1.2800713976115569e-06,0.0,0.0,0.0
9,0.0,0.0,1.3658719028047013e-11,0.0,0.0,1.0868978353940981e-05,0.0,0.0,0.0
10,0.0,0.0,2.3201108085882464e-11,0.0,0.0,1.8462371255685635e-05,0.0,0.0,0.0
11,0.0,0.0,1.1692081068190298e-11,0.0,0.0,9.304018611242648e-06,0.0,0.0,0.0
12,0.0,0.0,-6.9492863730266525e-12,0.0,0.0,-5.529921437630128e-06,0.0,0.0,0.0
13,0.0,0.0,-2.204043380249855e-12,0.0,0.0,-1.7538760217478378e-06,0.0,0.0,0.0
14,0.0,0.0,2.763088461004933e-11,0.0,0.0,2.1987383012285907e-05,0.0,0.0,0.0
15,0.0,0.0,4.406708791080742e-11,0.0,0.0,3.5066555190151284e-05,0.0,0.0,0.0
16,0.0,0.0,1.7517113570713052e-11,0.0,0.0,1.3939310694703504e-05,0.0,0.0,0.0
17,0.0,0.0,-2.520510333850234e-11,0.0,0.0,-2.00570582082029e-05,0.0,0.0,0.0
18,0.0,0.0,-2.8414969101942864e-11,0.0,0.0,-2.2611321271250896e-05,0.0,0.0,0.0
19,0.0,0.0,2.4509100823946283e-11,0.0,0.0,1.950321152247311e-05,0.0,0.0,0.0
20,0.0,0.0,8.655382282466309e-11,0.0,0.0,6.887553838689798e-05,0.0,0.0,0.0
21,0.0,0.0,9.143646907148099e-11,0.0,0.0,7.276092297220511e-05,0.0,0.0,0.0
22,0.0,0.0,2.2798066998364965e-11,0.0,0.0,1.8141649755596113e-05,0.0,0.0,0.0
23,0.0,0.0,-6.605464656435413e-11,0.0,0.0,-5.256323980388975e-05,0.0,0.0,0.0
24,0.0,0.0,-9.813978605537858e-11,0.0,0.0,-7.809511331962933e-05,0.0,0.0,0.0
25,0.0,0.0,-3.4236381566645216e-11,0.0,0.0,-2.7243732695652173e-05,0.0,0.0,0.0
26,0.0,0.0,9.806840771689812e-11,0.0,0.0,7.803831373144749e-05,0.0,0.0,0.0
27,0.0,0.0,2.2757570540273563e-10,0.0,0.0,0.0001810942454285816,0.0,0.0,0.0
28,0.0,0.0,2.876783990980827e-10,0.0,0.0,0.00022892119577779584,0.0,0.0,0.0
29,0.0,0.0,2.513369485682297e-10,0.0,0.0,0.00020000234633454266,0.0,0.0,0.0
30,0.0,0.0,1.3812341146693172e-10,0.0,0.0,0.00010991223747438208,0.0,0.0,0.0
31,0.0,0.0,-6.0512401558585144e-12,0.0,0.0,-4.815297696179995e-06,0.0,0.0,0.0
32,0.0,0.0,-1.3447183508783883e-10,0.0,0.0,-0.00010700648148506675,0.0,0.0,0.0
33,0.0,0.0,-2.178202019925047e-10,0.0,0.0,-0.00017333126595884735,0.0,0.0,0.0
34,0.0,0.0,-2.491845419808485e-10,0.0,0.0,-0.0001982895604899047,0.0,0.0,0.0
