,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,2.941572199503798e-11,0.0,0.0,2.340767424625238e-05,0.0,0.0,0.0
1,0.0,0.0,-1.2502288110398093e-11,0.0,0.0,-9.948743990385777e-06,0.0,0.0,0.0
2,0.0,0.0,-4.6085801192866245e-11,0.0,0.0,-3.667295407136818e-05,0.0,0.0,0.0
3,0.0,0.0,-3.121271358052361e-11,0.0,0.0,-2.4837637232148145e-05,0.0,0.0,0.0
4,0.0,0.0,1.934617343283975e-11,0.0,0.0,1.5394792135437107e-05,0.0,0.0,0.0
5,0.0,0.0,6.12665276919114e-11,0.0,0.0,4.875307574137315e-05,0.0,0.0,0.0
6,0.0,0.0,6.632226816044722e-11,0.0,0.0,5.277620072130887e-05,0.0,0.0,0.0
7,0.0,0.0,3.949184253990189e-11,0.0,0.0,3.142578603762475e-05,0.0,0.0,0.0
8,0.0,0.0,2.7802844596188052e-12,0.0,0.0,2.2124220834577137e-06,0.0,0.0,0.0
9,0.0,0.0,-2.7850664599582683e-11,0.0,0.0,-2.21622737867401e-05,0.0,0.0,0.0
10,0.0,0.0,-4.635526450573054e-11,0.0,0.0,-3.688738054201225e-05,0.0,0.0,0.0
11,0.0,0.0,-4.877530983097091e-11,0.0,0.0,-3.881314094469583e-05,0.0,0.0,0.0
12,0.0,0.0,-2.9896980528167846e-11,0.0,0.0,-2.3790637580405234e-05,0.0,0.0,0.0
13,0.0,0.0,1.1755595126746804e-11,0.0,0.0,9.354560168339186e-06,0.0,0.0,0.0
14,0.0,0.0,5.950562767525029e-11,0.0,0.0,4.735183276058973e-05,0.0,0.0,0.0
15,0.0,0.0,7.512842805198185e-11,0.0,0.0,5.9783736424026875e-05,0.0,0.0,0.0
16,0.0,0.0,3.5090971486623094e-11,0.0,0.0,2.7923775920984104e-05,0.0,0.0,0.0
17,0.0,0.0,-3.04004004570951e-11,0.0,0.0,-2.41912359307496e-05,0.0,0.0,0.0
18,0.0,0.0,-6.188117064017419e-11,0.0,0.0,-4.924218023838732e-05,0.0,0.0,0.0
19,0.0,0.0,-3.5588010518047344e-11,0.0,0.0,-2.8319296647526674e-05,0.0,0.0,0.0
20,0.0,0.0,1.2563448029902224e-11,0.0,0.0,9.997412232250491e-06,0.0,0.0,0.0
21,0.0,0.0,3.8760228186530733e-11,0.0,0.0,3.0843601093788136e-05,0.0,0.0,0.0
22,0.0,0.0,4.538548357040047e-11,0.0,0.0,3.6115673621874056e-05,0.0,0.0,0.0
23,0.0,0.0,6.185462523387997e-11,0.0,0.0,4.9221056628931994e-05,0.0,0.0,0.0
24,0.0,0.0,9.311577524487191e-11,0.0,0.0,7.409723733746482e-05,0.0,0.0,0.0
25,0.0,0.0,1.1196212593948064e-10,0.0,0.0,8.909429360092996e-05,0.0,0.0,0.0
26,0.0,0.0,9.526344451711329e-11,0.0,0.0,7.580625344530648e-05,0.0,0.0,0.0
27,0.0,0.0,5.045060398232029e-11,0.0,0.0,4.014626272793995e-05,0.0,0.0,0.0
28,0.0,0.0,6.921236378686661e-12,0.0,0.0,5.507600546433559e-06,0.0,0.0,0.0
29,0.0,0.0,-7.27493496314206e-12,0.0,0.0,-5.789057559376813e-06,0.0,0.0,0.0
30,0.0,0.0,1.4503350260444595e-11,0.0,0.0,1.1541096915216083e-05,0.0,0.0,0.0
31,0.0,0.0,4.9133560910614246e-11,0.0,0.0,3.909822062324576e-05,0.0,0.0,0.0
32,0.0,0.0,6.089938632306047e-11,0.0,0.0,4.846092158089273e-05,0.0,0.0,0.0
33,0.0,0.0,3.463913579398524e-11,0.0,0.0,2.7564225925648932e-05,0.0,0.0,0.0
34,0.0,0.0,-1.4386119772261323e-11,0.0,0.0,-1.1447810302037387e-05,0.0,0.0,0.0
35,0.0,0.0,-5.929776635291267e-11,0.0,0.0,-4.71864263115318e-05,0.0,0.0,0.0
36,0.0,0.0,-8.354693455394632e-11,0.0,0.0,-6.648279544665371e-05,0.0,0.0,0.0
37,0.0,0.0,-8.934444785274904e-11,0.0,0.0,-7.10961890176013e-05,0.0,0.0,0.0
38,0.0,0.0,-9.738144535600114e-11,0.0,0.0,-7.749166078286356e-05,0.0,0.0,0.0
39,0.0,0.0,-1.3325731966288954e-10,0.0,0.0,-0.00010604002615077112,0.0,0.0,0.0
40,0.0,0.0,-1.9376912347071903e-10,0.0,0.0,-0.0001541925274501015,0.0,0.0,0.0
