% Model,Evan_segmented_hall_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 23 2020, 10:32"
% Table,Probe Table 1 - 
% B_app ,"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz) (W/m^3), Power channel density","Current density, x component (A/cm^2), Current in Load","ec.Ex*(chan_len [mm]) (V), dV Hall","ec.Ey*(chan_len [mm]) (V), dV Faraday","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity, Point: (0, 0, 0)","Applied Magnetic Field, Point: (0, 0, 0)","plasma conductivity, Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power"
0,0,0,0,0,0,NaN,1800,0,60,0,0,0
1,2.4634488642626047E9,3.0760300993116036E7,47.3152659878519,-93.87804117780598,0.0015411937984318256,0.6703767537245924,1800,1,60,-2.1537050711952418E7,1.9374303769804593E7,-758201.8431204421
2,2.516217610078453E10,1.4339323725488644E7,151.21804140244095,-295.70502806734777,0.0010130541050475071,0.5149129568156428,1800,2,60,-3.6975342128788196E7,2.4775694502357557E7,-7739529.295481007
3,4.733667807177042E10,-1.0829805378508456E7,207.40938255895514,-398.26441659506327,3.967930247581952E-4,0.3078328237562403,1800,3,60,-2.8641413602844507E7,9350699.01835464,-1.4559813741336422E7
4,3.9480788089625885E10,-1.120898214652999E7,189.41851022071745,-360.5110529111793,1.6763346640037135E-4,0.15694688161815068,1800,4,60,-2.1216634798708633E7,5238700.685063101,-1.2143479729999531E7
5,2.4569175680850254E10,-6604325.801740104,149.4255292825711,-278.33327637460235,8.359252864965889E-5,0.07876328295393578,1800,5,60,-1.73070385775814E7,6449694.246860316,-7556969.523378631
6,1.4434537830079865E10,-3340164.075468011,114.53308307382798,-203.00436147930137,4.9000225436919E-5,0.0424627499314447,1800,6,60,-1.5241989221626231E7,7602874.59684227,-4439764.333473566
7,8.647070594700985E9,-1490405.9951605825,88.64699377391827,-146.3086199583079,3.249730007228636E-5,0.02469940555326492,1800,7,60,-1.395592364629764E7,7971466.575160027,-2659660.267265177
8,5.388007486918622E9,-465490.6673274753,69.97511247846771,-106.49962434318358,2.3497685777572864E-5,0.015080394570643568,1800,8,60,-1.3001115748536266E7,7821947.765708489,-1657240.9736047816
9,3.4993954162507405E9,114074.59625372966,56.39310653285065,-79.00319835902984,1.8029923286982153E-5,0.00952083597042356,1800,9,60,-1.2196013410058377E7,7410033.780934407,-1076356.927360605
10,2.3609084020005326E9,446871.0795080471,46.3200563267042,-59.86688499601119,1.441851039229852E-5,0.006209697296722822,1800,10,60,-1.1473348436896604E7,6888700.609177996,-726170.8054871211
