% Model,Evan_segmented_hall_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 26 2020, 15:06"
% Table,Probe Table 1 - 
% B_app ,"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz) (W/m^3), Power channel density","Current density, x component (A/cm^2), Current in Load","ec.Ex*(chan_len [mm]) (V), dV Hall","ec.Ey*(chan_len [mm]) (V), dV Faraday","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity, Point: (0, 0, 0)","Applied Magnetic Field, Point: (0, 0, 0)","plasma conductivity, Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","(sig_b/gamma)*((1-beta_i)*ec.Ex^2+beta*ec.Ex*u_x*B_app), Power_out_ideal_v1"
0,0,0,0,0,0,NaN,1800,0,60,0,0,0,0
1,2.4634488449452934E9,3.0760300947051164E7,47.31526580233914,-93.87804097084795,0.0015411937974972206,0.6703767523341145,1800,1,60,-2.1537050700192373E7,1.9374303720014863E7,-758201.8827525387,1.2425236524468863E7
2,2.516217617545052E10,1.4339323721392352E7,151.2180416268017,-295.70502804783604,0.001013054102018307,0.5149129567803975,1800,2,60,-3.697534215284942E7,2.477569456407537E7,-7739529.25564847,-1982770.6258655922
3,4.7336676768917465E10,-1.0829805326143125E7,207.40937970467905,-398.26441441009166,3.967930240006422E-4,0.30783282207207485,1800,3,60,-2.8641413458517794E7,9350698.863620669,-1.4559813773654526E7,-1.5992822046090487E7
4,3.948078829613113E10,-1.1208982085553763E7,189.41851071609543,-360.51105086677495,1.6763346672748417E-4,0.1569468807357008,1800,4,60,-2.1216634787796397E7,5238700.603686307,-1.2143479809171548E7,-1.5135191320248477E7
5,2.45691739205446E10,-6604325.485434228,149.42552392963228,-278.3332681589231,8.359253128763438E-5,0.07876328079740223,1800,5,60,-1.7307038498891894E7,6449694.379070009,-7556969.345394933,-1.111297820832825E7
6,1.443453721714208E10,-3340164.1290030014,114.53308064210225,-203.00436311738903,4.900022926840913E-5,0.042462750136869586,1800,6,60,-1.5241989186662607E7,7602874.623640748,-4439764.281293408,-8377278.912553293
7,8.647070282824501E9,-1490406.0053273286,88.64699217528889,-146.30862065193503,3.249729911236875E-5,0.024699405611925743,1800,7,60,-1.3955923644790666E7,7971466.648721278,-2659660.1877366705,-6883140.636384549
8,5.388007299034146E9,-465490.63122674025,69.97511125842108,-106.49962247023441,2.3497686126562032E-5,0.015080394374303563,1800,8,60,-1.3001115759984905E7,7821947.819819113,-1657240.9291041726,-6081308.062745722
9,3.499395663766692E9,114074.63162802508,56.39310852722225,-79.00319584046576,1.8029924298856616E-5,0.009520835837184684,1800,9,60,-1.2196013418743955E7,7410033.748496066,-1076356.9687360055,-5623858.597413568
10,2.3609084139553943E9,446871.1275572543,46.320056443979375,-59.866880843961745,1.4418509565525866E-5,0.006209697170052366,1800,10,60,-1.1473348448140545E7,6888700.606384532,-726170.819542063,-5334845.729560923
