% Model,Evan_segmented_hall_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 6 2020, 11:03"
% Table,Probe Table 1 - 
% B_app (T),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","ec.Jz*ec.Ez (W/m^3), Odd power"
0,0.5,0,0,NaN,1800,0,60,0,0,0,0
1,0.5,0,1.873146900955751E7,0.5518671183279085,1800,1,60,2309634.9658842813,-6364127.879477207,-1036474.1315854237,3018018.7820076477
2,0.5,0,7.492587604040776E7,0.2759335591639839,1800,2,60,9238539.863139288,-2.5456511518423196E7,-4145896.5276264935,1.2072075127657235E7
3,0.5,0,1.6858322110766795E8,0.18395570611145343,1800,3,60,2.0786714692156367E7,-5.727715091561495E7,-9328267.186150933,2.716216903730817E7
4,0.5,0,2.997035041748534E8,0.13796677958370832,1800,4,60,3.695415945310229E7,-1.0182604607163984E8,-1.6583586107403297E7,4.8288300511134066E7
5,0.5,0,4.682867253786123E8,0.11037342366823606,1800,5,60,5.774087414441508E7,-1.5910319698613185E8,-2.5911853294119574E7,7.545046954759918E7
6,0.5,0,6.743328844265959E8,0.09197785305628715,1800,6,60,8.314685877180906E7,-2.2910860365682122E8,-3.731306873279497E7,1.0864867615221678E8
7,0.5,0,9.17841981634786E8,0.07883815976293453,1800,7,60,1.1317211332668766E8,-3.1184226608853036E8,-5.0787232445102856E7,1.4788292031673947E8
8,0.5,0,1.1988140167692778E9,0.06898338979235691,1800,8,60,1.4781663781234658E8,-4.073041842832115E8,-6.633434442640923E7,1.931532020444437E8
9,0.5,0,1.5172489897624352E9,0.06131856870296078,1800,9,60,1.870804322278607E8,-5.154943582498378E8,-8.395440468758737E7,2.4445952133437958E8
10,0.5,0,1.873146901305353E9,0.05518671183365123,1800,10,60,2.3096349657982513E8,-6.364127879477689E8,-1.0364741317539634E8,3.0180187819253355E8
