% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 3 2020, 14:48"
% Table,Probe Table 1 - 
% resistance (Ω),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1,0,0,-5.233732533759739E7,0.007535250121580586,2.0932145837100312E8,4.7719090632424396E-4,-5.233732533667958E7,1800,6,60,-4.068046650289858E-6,81.3807013130697,-5.409053052157705E-4
1.9952623149688795,0,0,-1.028712129416164E8,0.014921910813385937,4.114574377570186E8,9.046786867883026E-7,-1.0287121294161472E8,1800,6,60,-1.713072951678148E-6,161.15663678456838,2.1620929584000483E-5
3.9810717055349722,0,0,-1.9928542242971918E8,0.02933648412927451,7.971151268209627E8,3.5648059805071028E-6,-1.9928542242971262E8,1800,6,60,-3.319254199671852E-6,316.83402859616456,4.316588559306447E-5
7.943282347242813,0,0,-3.7538050016495234E8,0.056872530599400783,1.501497129176941E9,1.3281676132100586E-5,-3.753805001649275E8,1800,6,60,-6.3875206429919E-6,614.2233304735302,8.349969034880664E-5
15.848931924611133,0,0,-6.708802764262357E8,0.10739581101636445,2.68349839592697E9,2.2067852072676078E-6,-6.708802764262311E8,1800,6,60,-3.544429386424956E-6,1159.874758976725,3.305263898373583E-5
31.622776601683793,0,0,-1.0925399212372646E9,0.19358984111873653,4.370140697912164E9,6.894280402017992E-6,-1.0925399212372513E9,1800,6,60,-6.34837249410782E-6,2090.7702840823413,5.847657999405693E-5
63.0957344480193,0,0,-1.532478659145805E9,0.323862480700321,6.129900025548973E9,1.8930440505104554E-5,-1.5324786591457686E9,1800,6,60,-1.0586218270486429E-5,3497.7147915634655,9.69503782652125E-5
125.89254117941675,0,0,-1.748702592015888E9,0.48867611151583484,6.994799134978417E9,4.234377697975907E-5,-1.748702592015805E9,1800,6,60,-1.5947694767322654E-5,5277.7020043709745,1.4497713754554965E-4
251.18864315095797,0,0,-1.5793099871315696E9,0.6559894434151646,6.317237250143065E9,2.748311897638438E-5,-1.579309987131517E9,1800,6,60,-7.0796966173182735E-6,7084.685988883701,-1.3551434492487966E-4
501.18723362727195,0,0,-1.1534106174837952E9,0.7918722043072169,4.613642233167712E9,4.4554417026796925E-5,-1.1534106174837105E9,1800,6,60,-8.535590090171881E-6,8552.21980651796,-1.7205970703738314E-4
1000,0,0,-7.197643394057401E8,0.8836052854950947,2.87905817946528E9,5.7487081467321327E-5,-7.1976433940563E8,1800,6,60,-9.518467648156174E-6,9542.937083347122,-1.9525749860334148E-4
1995.2623149688789,0,0,-4.0657713274049413E8,0.9380687998961273,1.6263097731375859E9,6.348639938282955E-5,-4.065771327403714E8,1800,6,60,-1.0102056334407702E-5,10131.14303887834,-2.0527469326932395E-4
3981.071705534969,0,0,-2.1696931707388973E8,0.9679714702233977,8.678787043133179E8,6.728446306808491E-5,-2.1696931707375932E8,1800,6,60,-1.0422471657758264E-5,10454.09187841262,-2.113412364552411E-4
7943.282347242814,0,0,-1.1230173998527092E8,0.9836871162785651,4.4920843088201416E8,6.618111128157794E-5,-1.1230173998514314E8,1800,6,60,-1.0590915398215811E-5,10623.820855808508,-2.0983420769191678E-4
