% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 29 2020, 12:16"
% Table,Probe Table 1 - 
% resistance ,beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V*m), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (kg/(m^2*s^3)), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.1,0,0,-2.20146563522783E8,-0.010649845679427743,-1.128924711263498,0.45206140944909284,1.1148168267640698E-4,8.95553005296E10,2.158124622834373E8,-3240951.2007623888,0.46,NaN,6.131824753823977E9,1800,6,60
0.15848931924611134,0,0,-2.2173685495538172E8,-0.010645001991204196,-1.7523372359853497,0.4522101518709051,1.1068919114039288E-4,1.4163656071843246E11,2.1561612002873176E8,-5028583.652545638,0.46,NaN,9.697813126903873E9,1800,6,60
0.251188643150958,0,0,-2.2424849742725602E8,-0.010637343839093026,-2.738280809940799,0.45245957099180556,1.1085660703608397E-4,2.2398692180645258E11,2.1530592953655496E8,-7851986.0886453325,0.46,NaN,1.5336317823105124E10,1800,6,60
0.3981071705534973,0,0,-2.2821177470152152E8,-0.010625225576486432,-4.297106449614831,0.45287633427147383,1.1069624928538564E-4,3.5403628648351276E11,2.148157337612485E8,-1.2307937851672484E7,0.46,NaN,2.424075908822385E10,1800,6,60
0.6309573444801934,0,0,-2.3445332876660925E8,-0.01060609451299291,-6.759674920287107,0.45356947599370284,1.1072593692448734E-4,5.589688360343177E11,2.1404257735088533E8,-1.9326564732360564E7,0.46,NaN,3.827242971820008E10,1800,6,60
1,0,0,-2.442487033134024E8,-0.01057590522008596,-10.64387227028719,0.4547184331905227,1.0977708456828242E-4,8.807782742614211E11,2.1282613946284717E8,-3.0344536452030323E7,0.46,NaN,6.030662610485525E10,1800,6,60
1.584893192461114,0,0,-2.5953822300080845E8,-0.010528418888767693,-16.754406624458653,0.4566123594486055,1.0926158277598561E-4,1.383367398900912E12,2.109193097420918E8,-4.755053807492038E7,0.46,NaN,9.47187537761657E10,1800,6,60
2.511886431509581,0,0,-2.83193475817014E8,-0.010454023159095244,-26.32704061400204,0.4597143416651728,1.0843722978729053E-4,2.1615704726307104E12,2.079494079916874E8,-7.41907219268203E7,0.46,NaN,1.480020864519471E11,1800,6,60
3.981071705534973,0,0,-3.1928517588813144E8,-0.010338251075528685,-41.22442933650307,0.4647481864933445,1.0743456232397375E-4,3.350371511629897E12,2.033693266016655E8,-1.1488569622273274E8,0.46,NaN,2.293989395159103E11,1800,6,60
6.309573444801933,0,0,-3.731584245955169E8,-0.010159924071377505,-64.17082799440787,0.4728062660519626,1.0560042553061102E-4,5.128356781205275E12,1.9641443682980773E8,-1.757490194332133E8,0.46,NaN,3.511370613629049E11,1800,6,60
10,0,0,-4.5086131950255924E8,-0.009889598854824511,-98.96032707201725,0.48546428663177865,1.0260585230774813E-4,7.701122730775896E12,1.8610061693819875E8,-2.6381804734103036E8,0.46,NaN,5.2729357964915E11,1800,6,60
