% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 4 2020, 16:32"
% Table,Probe Table 1 - 
% resistance (Ω),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.001,0,0,9.969410000305227E9,-3.468432661930162E7,2.875030756816506E7,174458.31083517335,-5759560.740296164,0.01953181224469969,1800,6,60,-0.01826716892130689,95.99233984044633,-0.002759921876939614
0.001584893192461114,0,0,1.5783964549408918E10,-3.798651238161402E7,2.872274840957188E7,174277.24830567557,-9089486.723736666,0.019922098685142872,1800,6,60,-0.018246206798562446,101.14267501155274,-0.004255751842824246
0.0025118864315095794,0,0,2.4975567643013298E10,-4.3206498415243275E7,2.8679328716446463E7,173991.37905022514,-1.43531783197416E7,0.020542431922288707,1800,6,60,-0.018241210208201245,109.29460076905498,-0.006664274811749618
0.003981071705534973,0,0,3.94833389859014E10,-5.144575294063047E7,2.8611110313139535E7,173540.8022476707,-2.266110182523986E7,0.021529459741230956,1800,6,60,-0.017995447247595123,122.18775336954845,-0.011431538098494554
0.00630957344480193,0,0,6.232702884519714E10,-6.4419786193921626E7,2.8504408490272105E7,172831.68875375946,-3.574254601489663E7,0.02310191980275592,1800,6,60,-0.018240901028584628,142.55532029570728,-0.004301073104304678
0.01,0,0,9.81608261639591E10,-8.477306410887453E7,2.8338651213647444E7,171722.2473253359,-5.626269064790406E7,0.025609118219823476,1800,6,60,-0.018460641034655466,174.66986367773512,-5.660791840812182E-4
0.01584893192461114,0,0,1.5403927238020337E11,-1.16514785977295E8,2.8083450643819705E7,169997.01861298925,-8.826133831486182E7,0.02960610103008825,1800,6,60,-0.0185292872645179,225.15671745754037,-4.7141088091328715E-4
0.025118864315095808,0,0,2.4037101555115628E11,-1.6556129247289452E8,2.769503936151044E7,167339.40612365564,-1.3769891370526597E8,0.03596713257458161,1800,6,60,-0.018893965047368646,304.1607109036529,-0.0020939482035279224
0.039810717055349734,0,0,3.718402778344276E11,-2.402589078884235E8,2.7111206200058293E7,163298.44292771342,-2.1298440324543387E8,0.04604659565626346,1800,6,60,-0.01874716193535281,426.90693999068696,-1.5331661695844358E-4
0.06309573444801933,0,0,5.676096339825923E11,-3.5149237887278837E8,2.624402526831928E7,157263.65771789485,-3.2509108994675225E8,0.061899183814774855,1800,6,60,-0.01869267623373917,615.5270203207085,-5.224447005244836E-5
0.1,0,0,8.491861520831034E11,-5.114533605002078E8,2.4969941386093825E7,148468.09856914065,-4.8633495101555955E8,0.0866215344228727,1800,6,60,-0.018515715962288,900.567336954187,1.9384622548180975E-4
0.15848931924611143,0,0,1.233036265681226E12,-7.294101613276491E8,2.3128897245055806E7,136082.4595327289,-7.061451816231309E8,0.12431910565556427,1800,6,60,-0.01833592593355422,1320.6804228285148,5.475278670706222E-5
0.25118864315095824,0,0,1.7147074219997424E12,-1.0026551418189442E9,2.056362737469027E7,119496.85829561963,-9.819720175860621E8,0.17879440111683048,1800,6,60,-0.017499113561592616,1917.6603394984156,1.758654297800941E-4
0.3981071705534973,0,0,2.245956644308088E12,-1.3035171542168312E9,1.722947145912244E7,98854.68347042982,-1.2861888280743632E9,0.2528389032496986,1800,6,60,-0.015950895081233395,2723.365167634061,2.5014820101573867E-4
0.6309573444801936,0,0,2.7205160982911055E12,-1.571350670400122E9,1.333387229425774E7,75628.70227762745,-1.5579411694033656E9,0.34644387420815814,1800,6,60,-0.01470609633262603,3738.237632210405,-3.6112735308169454E-6
1,0,0,2.998271904047897E12,-1.7264129466502311E9,9367424.702395203,52637.150631659235,-1.7169928847973084E9,0.45480872131994027,1800,6,60,-0.012419860944939432,4910.839318583959,-1.4145827135900893E-4
1.584893192461114,0,0,2.978072074845217E12,-1.7113686543441038E9,5916030.375799876,33011.15943697579,-1.7054196128089385E9,0.5683237383672458,1800,6,60,-0.00990564714261175,6137.70008976818,-3.4913621873387476E-4
2.5118864315095824,0,0,2.6675666984821416E12,-1.5309833348349485E9,3361897.9636522587,18666.510078743373,-1.5276027703611715E9,0.675457285360845,1800,6,60,-0.00746395665254225,7294.92822877722,-5.395661291718654E-4
3.981071705534973,0,0,2.177567549747957E12,-1.2487470088753E9,1738032.9950014895,9617.75670407642,-1.2469993581236491E9,0.7670813682766091,1800,6,60,-0.005340821725737152,8284.478751947217,-7.436164552079346E-4
6.309573444801936,0,0,1.6472764669069033E12,-9.441599203396848E8,831619.8477460151,4591.686754192382,-9.433237088050772E8,0.8390826398983693,1800,6,60,-0.003653934983150156,9062.09251090297,-8.961180643943357E-4
10,0,0,1.1760708842421758E12,-6.738617195316105E8,375223.3480815064,2068.7474073875865,-6.734844274361379E8,0.8919967228981054,1800,6,60,-0.002408093924843445,9633.564607299435,-0.0010294029599286247
15.848931924611142,0,0,8.05537081765871E11,-4.6145904996688616E8,162327.1224082768,894.1372228213173,-4.6129582870725995E8,0.9289992019405157,1800,6,60,-0.0015375426849589286,10033.191380956903,-0.0011113400720787925
25.11886431509582,0,0,5.362382496859666E11,-3.0714876504412436E8,68226.04719751501,375.5833659604712,-3.070801634135915E8,0.9539849908250825,1800,6,60,-9.430790222395191E-4,10303.037900910647,-0.0011825606461900407
39.81071705534978,0,0,3.502427481602712E11,-2.0059702744203722E8,28128.31950121329,154.78882635672247,-2.0056874433371866E8,0.9704603453129603,1800,6,60,-5.580245283229815E-4,10480.971729380273,-0.0011924403511722555
63.09573444801943,0,0,2.2593108148835287E11,-1.2939244855927846E8,11451.58730568748,63.0040344976292,-1.2938093396793564E8,0.9811544387851274,1800,6,60,-3.0270599075946027E-4,10596.467938878432,-0.0012353555346625235
