% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 9 2020, 10:39"
% Table,Probe Table 1 - 
% beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-44252.26807881309,6.325100336871206E-6,148772.33983527642,6.348021744357708E-4,-44252.26685886323,1800,6,60,-3.4736866171767455E-8,0.0682909700081284,-6.19512955286642E-4
0.1,0,1.2618675813000122E7,0.02907674482343712,147466.94622828814,-1.2675189736587645E7,-44040.75123164598,1800,6,60,-594.3649457052815,0.06799065096750341,-0.004335929279774896
0.2,0,4.951671196762475E7,0.057836192730251104,143870.5942568555,-4.962084080506478E7,-43186.27535664565,1800,6,60,-1179.7046587121824,0.06715630914096593,-0.02173178436102437
0.30000000000000004,0,1.0779104407285947E8,0.08583907894482097,138799.08515025387,-1.0801991971854393E8,-41359.40963284973,1800,6,60,-1744.6165909007243,0.0659617852644027,-0.05907020917218696
0.4,0,1.8376192190373546E8,0.11242465239306873,133220.12263949536,-1.8429298430763814E8,-39987.8237829648,1800,6,60,-2273.6138449407804,0.06462220426416654,-0.12000585315381358
0.5,0,2.73719276036415E8,0.13670825524633365,127899.23819304405,-2.749317611896041E8,-38821.68192042276,1800,6,60,-2747.114330367551,0.0633181421727767,-0.21110682724910326
0.6000000000000001,0,3.738969971261304E8,0.1576868919510075,123195.0924573001,-3.765311382170153E8,-37413.45477743079,1800,6,60,-3144.0627970111154,0.06214238228764188,-0.3365019005102855
0.7000000000000001,0,4.795832934551887E8,0.17469299035721794,119060.15985231873,-4.8491708896246153E8,-36785.92623384195,1800,6,60,-3446.978125793332,0.061090152041839686,-0.49523402318620746
0.8,0,5.84187405053177E8,0.18756412630565863,115196.2688025495,-5.941053933705757E8,-36318.84741401977,1800,6,60,-3647.1343456663744,0.06009022322695177,-0.6781450877593233
0.9,0,6.793931060617085E8,0.1964560100701021,111255.78522945178,-6.962119601003339E8,-35096.74724034648,1800,6,60,-3746.8910337081984,0.0590530710071648,-0.870716499278391
1,0,7.567628524708636E8,0.20150139986595605,106988.2095315225,-7.828073053523488E8,-34340.616129268645,1800,6,60,-3758.1167064974816,0.05790895697080875,-1.0559466159125666
1.1,0,8.099442892915026E8,0.20328824902930032,102294.09163537403,-8.47051324328367E8,-33912.34286309519,1800,6,60,-3698.1919274167003,0.05662389484570535,-1.220374497853309
1.2000000000000002,0,8.361818050591117E8,0.20254395165630573,97205.32022121904,-8.853693208751049E8,-32478.634271036968,1800,6,60,-3585.849248820505,0.05519710407685257,-1.356222039387139
1.3,0,8.364843778464068E8,0.20001590801710456,91834.72387624191,-8.978902944872193E8,-31025.180790696602,1800,6,60,-3438.2685503776024,0.05365024650052154,-1.4610931110193548
1.4000000000000001,0,8.146951167677443E8,0.1963275656301977,86326.86177064721,-8.877249916868004E8,-29686.404516631326,1800,6,60,-3269.676960838541,0.05201617304755341,-1.5363653834999484
1.5,0,7.761245092609831E8,0.1919618663623566,80824.24934002258,-8.596896848082184E8,-28333.207508165895,1800,6,60,-3091.053335590941,0.05033077573201804,-1.5847578182041304
1.6,0,7.263171191606209E8,0.18725083010922158,75449.4600288302,-8.190641879744551E8,-26795.135829748197,1800,6,60,-2910.4354142673706,0.04862822205852943,-1.6071592158614492
1.7000000000000002,0,6.702288806185197E8,0.18251932189304557,70298.40476682491,-7.707142698424191E8,-25320.608085628646,1800,6,60,-2733.4462985879504,0.04693867084672258,-1.602277013358666
1.8,0,6.118277464208336E8,0.17775477559035463,65439.76506344152,-7.186306193877498E8,-23981.33534761449,1800,6,60,-2563.825867754237,0.045287341627394076,-1.5668690282012003
1.9000000000000001,0,5.540116829517447E8,0.17304670698758917,60917.357072697814,-6.657979917796108E8,-22549.992158717934,1800,6,60,-2403.8868724494023,0.043694282256316566,-1.4964397011771429
2,0,4.987086790411439E8,0.16844225959962605,56753.484152648525,-6.142630773040372E8,-21279.360655466015,1800,6,60,-2254.874662977173,0.04217437360903622,-1.389657058166501
