% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 11 2020, 14:26"
% Table,Probe Table 1 - 
% beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0,0,6.0370236569951836E10,-1.7083973470075223E9,1.4887810694875663E7,531321.0185241797,-1.6929782152940965E9,0.4300277704061626,1800,6,60,-0.002899458048174518,4644.299920386497,-0.037397597481322466,5.5,0.5
0.3,0,5.458734911531038E10,-1.5456254488516014E9,1.4256730628788168E7,561632.8408585184,-1.5308070853819141E9,0.4092433547871604,1800,6,60,-0.29642739499370857,4419.828231701317,0.11600916560471598,5.5,0.5
0.6,0,4.147431111969417E10,-1.1763037013645399E9,1.2586983599303389E7,641729.7604205129,-1.163074988004825E9,0.3575368843871501,1800,6,60,-0.5953014478158003,3861.3971750256487,0.2044954321601846,5.5,0.5
0.8999999999999999,0,2.81507661900662E10,-8.005087830091066E8,1.0342211193675574E7,727364.5389590722,-7.894392072764713E8,0.2956002117455864,1800,6,60,-0.8809220621447995,3192.45314395548,0.24749717293335236,5.5,0.5
1.2,0,1.811915940091587E10,-5.1699622256928736E8,8091748.276819767,784204.3680519987,-5.081202699244185E8,0.23822862822427274,1800,6,60,-1.1286017330444786,2572.7554004039853,0.26579372095232434,5.5,0.5
1.5,0,1.152071657727193E10,-3.3005446052932364E8,6173030.374748896,802949.3524111353,-3.230784808021607E8,0.19099399416359591,1800,6,60,-1.326748556926217,2062.398143576954,0.28276711287400325,5.5,0.5
1.7999999999999998,0,7.402491959037262E9,-2.1304964040117908E8,4668929.109682097,790670.4326754168,-2.0759004085882163E8,0.1540780818839738,1800,6,60,-1.4766009627638208,1663.1315577493829,0.28737976731776865,5.5,0.5
2.1,0,4.858072376793776E9,-1.405290797455318E8,3534323.937717833,758598.3082119079,-1.362361574996018E8,0.12575495645004253,1800,6,60,-1.5854819736022236,1356.233187990083,0.28610850486455075,5.5,0.5
2.4,0,3.269134540623709E9,-9.508331015234818E7,2689965.3235584614,716113.1065494,-9.167723172223993E7,0.10404643676885238,1800,6,60,-1.661882799493852,1120.48606377,0.28545805820435594,5.5,0.5
2.6999999999999997,0,2.256778847769139E9,-6.601884490013169E7,2061913.1731491084,669493.6346668565,-6.328743809231549E7,0.08731194030217003,1800,6,60,-1.7133492860010038,938.0175850131648,0.27982628564047873,5.5,0.5
