% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 12:50"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-1.6638695536549914E9,0.4178228198426808,9.10849507531416E9,3.4494613254216924E7,-1.6293622116099463E9,1800,6,60,-0.06707590135721335,4489.902270781405,-0.04077446403511211
0,0.04,-1.6638695539191096E9,0.4178228195241867,9.10849506364055E9,3.449461286066667E7,-1.6293622122674642E9,1800,6,60,-0.06713268345686531,4489.902267904493,-0.040806354577689684
0,0.08,-1.6638695538496964E9,0.4178228195762719,9.10849506565754E9,3.4494612957596906E7,-1.6293622121010108E9,1800,6,60,-0.06715859546749171,4489.9022684015545,-0.04080693039615559
0,0.12,-1.6638695538675075E9,0.4178228193493221,9.108495056444199E9,3.449461273872786E7,-1.6293622123374681E9,1800,6,60,-0.06713654715960084,4489.902266130937,-0.04083364610364786
0,0.16,-1.6638695536327622E9,0.4178228200007436,9.108495081827597E9,3.449461343809566E7,-1.629362211403419E9,1800,6,60,-0.0670951528927251,4489.9022723868475,-0.04079259173675976
0.04,0,-1.5758466229813027E9,0.411899808890221,8.78174126156985E9,7708751.939195336,-1.568117367601193E9,1800,6,60,-569.3161909515452,4408.632447692387,-0.026305595404303873
0.04,0.04,-1.6815175064920285E9,0.4251895202854222,9.37129967835301E9,4490168.689100682,-1.6770064446366863E9,1800,6,60,-589.1851979854322,4554.214557520813,0.03165523509158496
0.04,0.08,-1.7973136558815043E9,0.43934870219024647,1.0019462458267935E10,561624.5412740306,-1.7967306581368425E9,1800,6,60,-610.5316724410651,4709.076929376604,-0.0030021342478605286
0.04,0.12,-1.9243709895902064E9,0.45445038862663467,1.0733495094959604E10,-4260777.393369917,-1.9286097956472435E9,1800,6,60,-633.5596691201364,4873.984628836263,0.008681772758867166
0.04,0.16,-2.0639073423557537E9,0.47056911672512736,1.1521522815975513E10,-1.0218023267847836E7,-2.07410263941301E9,1800,6,60,-658.4639940706381,5049.734167670371,0.04908517311731407
0.08,0,-1.34962813255051E9,0.39709693096526594,7.939900109931385E9,-6.4844210816618234E7,-1.414424626032977E9,1800,6,60,-1125.7095517548273,4191.998257748156,-0.041240777596257404
0.08,0.04,-1.4985242325568283E9,0.41987693780111707,8.893738341292866E9,-9.131519529388086E7,-1.5897833520449018E9,1800,6,60,-1206.673133816968,4436.655913816918,-0.04631924394783663
0.08,0.08,-1.661839499121548E9,0.44473832445955175,9.988297202032806E9,-1.2894769263610007E8,-1.7907185698113797E9,1800,6,60,-1301.2745392622612,4701.747499700832,-0.014630197736086181
0.08,0.12,-1.8339612654981127E9,0.4715946582529708,1.1228906314179785E10,-1.8414781618013623E8,-2.018020376435089E9,1800,6,60,-1414.0010984281653,4985.196751242939,-0.010109295974572744
0.08,0.16,-2.0008171928903966E9,0.5000578689072287,1.2599835283347132E10,-2.6840124089530078E8,-2.2690948387059674E9,1800,6,60,-1551.944112403769,5280.754866652909,-0.00575822281808006
0.12,0,-1.0639161002037399E9,0.37944140826550216,6.869192866935065E9,-1.6471155666128218E8,-1.2285253355620515E9,1800,6,60,-1653.5824565811536,3899.1184552519576,-0.018044208433901376
0.12,0.04,-1.1760303381484063E9,0.40706347646409413,7.8791687853914585E9,-2.4459840891005462E8,-1.4204848190195596E9,1800,6,60,-1832.379998975691,4175.935442198496,0.0012055363170689214
0.12,0.08,-1.2638909533486936E9,0.43661628584417655,8.983748396872982E9,-3.745044062178034E8,-1.6381726572942007E9,1800,6,60,-2057.83405737557,4459.050227046256,0.001882964453747992
0.12,0.12,-1.282832158416826E9,0.46694230679282583,1.0084226396687637E10,-5.984999672702941E8,-1.8809432767786405E9,1800,6,60,-2352.4436399362407,4724.271712599382,0.037255271214325765
0.12,0.16,-1.1613232263305705E9,0.49621149949858523,1.097854053665617E10,-1.012395148928037E9,-2.1729458514093685E9,1800,6,60,-2752.5049342735806,4929.307135038226,-0.01134743812883484
0.16,0,-7.837985210999821E8,0.36354965764301195,5.803899335383879E9,-2.7258317779776794E8,-1.0561942695922552E9,1800,6,60,-2139.0568941868455,3584.045461266059,-0.013843159961976478
0.16,0.04,-8.160302194514395E8,0.39369461888221413,6.676707528556747E9,-4.3075533546844643E8,-1.246477522539287E9,1800,6,60,-2437.3455756109415,3844.100650826748,-0.005577852013615871
0.16,0.08,-7.645433266594642E8,0.4253671249283329,7.503760370100251E9,-7.136046938729804E8,-1.4775747625888183E9,1800,6,60,-2831.362390789964,4075.2387049086324,0.006570091529696019
0.16,0.12,-5.673095120922749E8,0.45728062506243977,8.075986237519888E9,-1.2513213647227893E9,-1.8174311037435708E9,1800,6,60,-3366.573356186324,4227.770063178229,0.027256427240300293
0.16,0.16,-2.781154438195869E8,0.4891064133139969,8.135277541301157E9,-2.2652806578637013E9,-2.540436784869623E9,1800,6,60,-4092.9072165429598,4243.261149121742,0.024565631653422917
