% Model,Evan_continuous_faraday_v5.2.mph,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,
% Date,"Dec 7 2020, 13:30",,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.25,0,-15388161.7442988,0.051460606169411,262570542.510504,-42275019.4576706,-57593692.2345737,1800,6,60,-176.044998936835,241.070468945262,-0.02831278356901
0.25,0.02,-12293735.4205249,0.046451605318207,222642293.798582,-50941568.5699775,-63166370.4357091,1800,6,60,-171.027786269445,221.985621840007,-0.001560910300484
0.25,0.04,-8494417.32046727,0.039902435552733,167855846.800959,-56291091.4252881,-64722587.1726879,1800,6,60,-158.57464818802,192.747719595309,-0.0122876242358
0.25,0.06,-4763379.01570142,0.031488129795925,104394372.549389,-54853328.0937713,-59567430.1951387,1800,6,60,-135.479566274343,152.005588848895,-0.02444868931877
0.35,0,-290850.596392111,0.040194089021316,99037573.3726998,-39366655.9028413,-39601755.8368786,1800,6,60,-165.302912537699,148.054293862067,-0.011135828345279
0.35,0.02,210131.151097791,0.032954981618091,67418184.0241241,-40569043.4785895,-40311748.4528653,1800,6,60,-146.746277136431,122.154518741859,-0.007565552109254
0.35,0.04,262256.37272159,0.023891207687676,34869550.5288462,-35244835.3686629,-34950488.194064,1800,6,60,-115.342565085556,87.8504896780305,-0.007058425903859
0.35,0.06,18056.1353216196,0.012810910946732,9522744.61006633,-21412479.6838805,-21381366.346141,1800,6,60,-67.4327766727889,45.9094490062978,-0.004644302733858
0.45,0,2267478.76192227,0.032848675723321,43374547.8613359,-31735559.6011368,-29425637.2363073,1800,6,60,-149.602267659857,97.9802385073066,-0.006397312954183
0.45,0.02,1341384.53398407,0.024263018547825,23385014.2171799,-28223942.3237843,-26852430.1344327,1800,6,60,-119.721754497382,71.9432132429914,-0.001876222776493
0.45,0.04,365834.968892048,0.013759048386882,7177440.36292481,-18195208.6137149,-17815605.5148015,1800,6,60,-73.7337525264887,39.857110275909,-0.001434877526785
0.45,0.06,-1105.77542509207,0.003087929273529,51546.7220781065,-2136112.335335,-2136928.78838838,1800,6,60,-8.87684477444211,3.37770361358462,0.001705815173738
