% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 17 2020, 09:47"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-7.477856320733492E8,0.878161849920226,4.062042974785629E9,879322.9292948203,-7.468923765060432E8,1800,6,60,-0.08573060159071398,9484.147979138415,0.09820692553915503
0,0.04,-7.551867220892478E8,0.8824589395887655,4.101893644434137E9,854190.9665126646,-7.543193280654551E8,1800,6,60,-0.07680703512665919,9530.55654755865,0.09751150171837807
0,0.08,-7.626990403528426E8,0.8867984507839928,4.1423351404878483E9,828394.103236289,-7.618581718751552E8,1800,6,60,-0.06743829494030464,9577.423268467248,0.09542092562891151
0,0.12,-7.703239455862987E8,0.8911811823878507,4.183380781164967E9,801928.1236573542,-7.695102701332979E8,1800,6,60,-0.059058560083681044,9624.756769788828,0.09354728518591428
0,0.16,-7.780638633274633E8,0.8956077582322791,4.2250424389377656E9,774767.0478019079,-7.772780734217288E8,1800,6,60,-0.051186888418823996,9672.563788908696,0.0899073760575552
0.04,0,-7.370138100818341E8,0.8722946398836224,4.007945332564855E9,800459.4641994346,-7.361987199479141E8,1800,6,60,-6.5945560414048945,9420.782110743072,0.09816323205788904
0.04,0.04,-7.438270874733557E8,0.8762542470997804,4.0444144512064447E9,716191.6109460612,-7.430969204132125E8,1800,6,60,-6.214341467223703,9463.545868677651,0.0974581711111507
0.04,0.08,-7.506977435062493E8,0.8802295270387536,4.081194071465033E9,630986.2627592474,-7.500534352540562E8,1800,6,60,-5.846723495732005,9506.478892018751,0.09385899375726055
0.04,0.12,-7.576208338539716E8,0.88421725979142,4.1182561687860737E9,544536.7154334944,-7.570636256310073E8,1800,6,60,-5.493698333085023,9549.546405747187,0.09414635668232124
0.04,0.16,-7.645889915215875E8,0.888213665996416,4.155566948531906E9,456471.32123699895,-7.641204949732239E8,1800,6,60,-5.156149061225866,9592.707592761139,0.0911884920723786
0.08,0,-7.060625502365497E8,0.8554812569351234,3.8549289616902037E9,1008481.649280468,-7.050374092952143E8,1800,6,60,-14.63144456559711,9239.197574899381,0.09524418533574949
0.08,0.04,-7.112208558550867E8,0.8584958557054858,3.88214531396745E9,766536.1689574858,-7.10438104498132E8,1800,6,60,-14.145116990449903,9271.755241619303,0.09325633771866519
0.08,0.08,-7.162952807074566E8,0.8614510975582115,3.908918710044002E9,516792.7392165834,-7.157627107654755E8,1800,6,60,-13.677192045936577,9303.671853628593,0.09338578646359458
0.08,0.12,-7.212611424495395E8,0.8643339840345566,3.935125246862371E9,258046.57075112566,-7.209877480900592E8,1800,6,60,-13.230032046339092,9334.807027573373,0.08875585518472971
0.08,0.16,-7.260901244074851E8,0.8671287568848469,3.960614378943384E9,-11388.558739309343,-7.260865830522487E8,1800,6,60,-12.807030334961718,9364.990574356294,0.09137153156941938
0.12,0,-6.591469238338368E8,0.8296400955264953,3.6255579173289723E9,2410778.073078929,-6.567181462379808E8,1800,6,60,-22.4549540657383,8960.113031686142,0.09265655594736226
0.12,0.04,-6.619305787134671E8,0.8313068003412849,3.6401396730633984E9,2041304.2656228084,-6.598714170593667E8,1800,6,60,-22.232963841846857,8978.11344368587,0.08892093958381517
0.12,0.08,-6.644467739636991E8,0.8328107675708992,3.6533227795592546E9,1653519.7809914201,-6.627755269658036E8,1800,6,60,-22.039158011306302,8994.356289765738,0.08830514886383174
0.12,0.12,-6.666517894475609E8,0.834126475236689,3.6648752279327216E9,1245120.5468476012,-6.653890567825474E8,1800,6,60,-21.879608805874152,9008.565932556156,0.0876070132761355
0.12,0.16,-6.684925747055513E8,0.8352240653963778,3.674526468221024E9,813254.2735560663,-6.67661804817838E8,1800,6,60,-21.75874921721474,9020.41990628082,0.08539881881459346
0.16,0,-6.022773015687987E8,0.7966397007456861,3.342868348384291E9,4873979.600812568,-5.973870053139962E8,1800,6,60,-26.337694610619618,8603.708768053357,0.0896799146653425
0.16,0.04,-6.024909251237599E8,0.7967785397804594,3.3440336457162147E9,4520617.333359382,-5.979539873744773E8,1800,6,60,-26.379336877998742,8605.208229629028,0.09169665554429464
0.16,0.08,-6.022735932173481E8,0.7966463554162105,3.342924197422655E9,4149205.1306826146,-5.981080607775754E8,1800,6,60,-26.447039053356907,8603.780638495138,0.08943715115228497
0.16,0.12,-6.015681947009172E8,0.7962066252806759,3.3392347841667695E9,3758460.7811376317,-5.977933962787386E8,1800,6,60,-26.545722695122258,8599.03155303134,0.08695694684886371
0.16,0.16,-6.003076791350998E8,0.7954166848821567,3.332612161710557E9,3346528.134491045,-5.969447994315816E8,1800,6,60,-26.67818184994292,8590.500196727235,0.08593426496566499
