% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 18 2020, 14:05"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.2,0,-5.314671504832418E8,0.2394967728243456,3.0038390474183836E9,-1.0025609527677853E7,-5.413684563641858E8,1800,6,60,-85.41904647068205,2579.0819180748426,0.19413692541253227
0.2,0.005,-5.257555898487617E8,0.23822574996868512,2.9719323375625105E9,-1.0936436335012889E7,-5.365689413259684E8,1800,6,60,-85.27719676062938,2565.3478753810564,0.19199245645566332
0.2,0.01,-5.188284730024466E8,0.23667444487431558,2.9332237750908055E9,-1.188008419175277E7,-5.305869608019612E8,1800,6,60,-85.0904411370571,2548.586660504293,0.19105360785577127
0.2,0.015,-5.10606975583496E8,0.23481912257585794,2.8872667730580373E9,-1.2854792652356477E7,-5.2334195225483114E8,1800,6,60,-84.85384777339424,2528.5425360810036,0.1885458252702362
0.2,0.02,-5.0101405031228507E8,0.23263471358015614,2.833625473147534E9,-1.3857367942341965E7,-5.1475369691741574E8,1800,6,60,-84.55952091286831,2504.944058162329,0.18578620418615496
0.2,0.025,-4.8997590895232475E8,0.23009452958557425,2.7718779020564547E9,-1.4883609815050628E7,-5.04744229715249E8,1800,6,60,-84.19811457427453,2477.501097268458,0.18412712546616739
0.4,0,-1.003205340331428E8,0.10440910908355461,5.735585147501565E8,-1924826.9420647412,-1.0223500055752559E8,1800,6,60,-25.122810730167213,1126.9786097182096,0.2550514043618365
0.4,0.005,-9.111410315348092E7,0.0995246428537474,5.2112012362136316E8,-2140497.187139272,-9.324495638803267E7,1800,6,60,-24.079857887287734,1074.2261729482045,0.2449023539748614
0.4,0.01,-8.164633377323514E7,0.09423556117125584,4.671720932364596E8,-2330382.7798598385,-8.396780497882614E7,1800,6,60,-22.940207749334533,1017.1037450948648,0.22883994538170382
0.4,0.015,-7.202250813777363E7,0.0885327904311995,4.123070202190688E8,-2489287.875778632,-7.450362524807237E7,1800,6,60,-21.706898361645635,955.5142585063122,0.21742180733484143
0.4,0.02,-6.236439878720738E7,0.08241026306147774,3.572163399332278E8,-2611153.6157779605,-6.496812272716646E7,1800,6,60,-20.37761612676687,889.390457686268,0.20756782507550006
0.4,0.025,-5.2810739032857515E7,0.07586498437867663,3.0268867341182303E8,-2689768.3470206237,-5.549381049328486E7,1800,6,60,-18.951105393467966,818.7001922942599,0.19325940490704424
0.6000000000000001,0,-2.637322550341283E7,0.053677041555047884,1.5049696166119993E8,-392065.60425872885,-2.6652604008420963E7,1800,6,60,-9.185640342664813,577.2855322970123,-4.0965231556513215
