% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 08:49"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.04,0,2.1289718823521512E9,-3.271490422574901E8,5.091335366217356E7,-2.7536479426950866E8,0.09143265219917969,1800,6,60,-51.81998737895669,685.1258146160717,-0.11577775174511437
0.04,0.02,2.235399521399102E9,-3.4527570305678767E8,5.156940066950815E7,-2.9282729220749915E8,0.09253819141938537,1800,6,60,-53.19762218231925,702.0417585558458,-0.12034880545848002
0.04,0.04,2.349577269885209E9,-3.6476878475112975E8,5.220098191941436E7,-3.116804893626665E8,0.09370463846164348,1800,6,60,-54.645217816165214,719.7476153728069,-0.12546718097482953
0.04,0.06,2.4722179095864644E9,-3.857563297867721E8,5.2799455126964115E7,-3.3206106052394956E8,0.09493599371146008,1800,6,60,-56.16793953460763,738.2929864034526,-0.1301360554070607
0.04,0.08,2.604108092230726E9,-4.0837981838048345E8,5.335430553164942E7,-3.541209895968168E8,0.09623758553601185,1800,6,60,-57.77137436302675,757.7306804893612,-0.13536541994486417
0.04,0.1,2.746114307591038E9,-4.327952899731888E8,5.385275197677935E7,-3.7802908445473224E8,0.09761342530975475,1800,6,60,-59.461682434054765,778.1165885171374,-0.14052030093802548
0.04,0.12,2.8991902759988565E9,-4.591747944183053E8,5.427916583737092E7,-4.039730097966292E8,0.09906842223102234,1800,6,60,-61.24554890626469,799.5096836716758,-0.14564259879828736
0.04,0.14,3.064383381119676E9,-4.8770742300736254E8,5.461453181040383E7,-4.321608559412748E8,0.10060810806831667,1800,6,60,-63.130306490838414,821.971799395945,-0.15143010483639416
0.04,0.16,3.2428383129064136E9,-5.186002799811836E8,5.4835581874325275E7,-4.628229769204436E8,0.10223666101583972,1800,6,60,-65.12399049793444,845.5669823318882,-0.15637637871728022
0.08,0,1.6189284277584717E9,-2.4201122421955755E8,2.304526909772565E7,-2.180813098023084E8,0.08378201209682525,1800,6,60,-94.90662171676378,597.4467365371402,-0.07276428893762131
