% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 12:04"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-3.420119501144024E8,0.09720390295703057,2.325512242103565E9,8.80699307689853E7,-2.5390952033313105E8,1800,6,60,-0.03405821007246951,717.4313114898226,-0.03139224435403412
0,0.04,-3.420119512495985E8,0.0972039024687552,2.3255122367345243E9,8.80699295380323E7,-2.539095226945821E8,1800,6,60,-0.034068822922751714,717.4313106616132,-0.0314326977040407
0,0.08,-3.420119485404611E8,0.09720390359643562,2.3255122500800633E9,8.806993346999064E7,-2.5390951606519356E8,1800,6,60,-0.034022298052908836,717.4313127201907,-0.03135370909762963
0,0.12,-3.420119492103869E8,0.09720390329399248,2.3255122461867886E9,8.806993241985226E7,-2.5390951778441897E8,1800,6,60,-0.03403377037539919,717.4313121196028,-0.03135687331137169
0,0.16,-3.4201195169050044E8,0.0972039022920436,2.325512235136059E9,8.80699289040288E7,-2.5390952376860404E8,1800,6,60,-0.03407806445989132,717.4313104151137,-0.03143594898373851
0.04,0,-3.030242252811483E8,0.0941068976255056,2.1036032537880282E9,7.258094039359738E7,-2.304057303069888E8,1800,6,60,-61.64422754537398,682.3432959491961,-0.03325545252744891
0.04,0.04,-3.392751752088321E8,0.09630485774085305,2.3218423518165383E9,7.456563498303173E7,-2.6467096301234502E8,1800,6,60,-64.89257584979421,716.8649988776955,-0.03546777235023765
0.04,0.08,-3.8134814642119426E8,0.09875759370477492,2.573686196642546E9,7.642248443224575E7,-3.0488592665866363E8,1800,6,60,-68.48968387824033,754.7425045087089,-0.04243524373492533
0.04,0.12,-4.304023478648262E8,0.10150138897436198,2.8657043152414975E9,7.804432772721383E7,-3.523169578999188E8,1800,6,60,-72.47588390331354,796.4099931857577,-0.04473354562029458
0.04,0.16,-4.8784220731341356E8,0.10457792783998987,3.20586576320086E9,7.926584835774222E7,-4.0853375097718155E8,1800,6,60,-76.91815194288412,842.3521307377237,-0.050497240835502305
0.08,0,-2.166724567678142E8,0.08631372770702565,1.6009446273843315E9,3.742033991224977E7,-1.7920268407409912E8,1800,6,60,-111.94852206101626,595.263382042304,-0.022260549467278908
0.08,0.04,-2.5458409676816458E8,0.08839604776878653,1.8399200681241324E9,3.0842293033583965E7,-2.236872129332784E8,1800,6,60,-121.63891674379163,638.1466447486782,-0.04732302581207487
0.08,0.08,-2.9675266963557E8,0.09044890774703744,2.1048156354157026E9,1.9567214645068496E7,-2.77124072650867E8,1800,6,60,-132.52045348092736,682.5398970016797,-0.026841657609961603
0.08,0.12,-3.393841290860291E8,0.0921049682838694,2.3728837133183265E9,997635.1053518795,-3.3831603020378727E8,1800,6,60,-144.3875891739123,724.7016326578861,-0.04707762430876921
0.08,0.16,-3.728981188376592E8,0.09259013235185502,2.585705537881236E9,-2.8395069134110067E7,-4.012106799304709E8,1800,6,60,-156.43791923175488,756.5028086596182,-0.027725551515254177
0.12,0,-1.3286585704764582E8,0.07674487562131126,1.0904437071752784E9,2325619.91362401,-1.3047833379019956E8,1800,6,60,-146.1102530608763,491.2727069962949,-0.022520326606684876
0.12,0.04,-1.4840806237592763E8,0.07613396292117422,1.1967025290935154E9,-1.7236586648686476E7,-1.655723903860936E8,1800,6,60,-158.62096893320972,514.6525351255681,-0.017494882559955387
0.12,0.08,-1.5268606398071638E8,0.07351706721601348,1.2265071529606786E9,-4.647620721277726E7,-1.99077504492892E8,1800,6,60,-169.26809241546954,521.0219916007159,-0.014286262402968012
0.12,0.12,-1.3338682780923076E8,0.06688073375241062,1.0888734671291127E9,-8.397307641466095E7,-2.1726447842941222E8,1800,6,60,-172.65300459515703,490.91886294290265,-0.03535257956937677
0.12,0.16,-8.287168541637783E7,0.053010179050302225,7.059227249822099E8,-1.135972009317078E8,-1.963802683053707E8,1800,6,60,-156.78793163166165,395.27522393701474,-0.0535203087563682
0.16,0,-7.389222007631482E7,0.06752746122855169,7.054863153548317E8,-2.2304414853277326E7,-9.612662292606585E7,1800,6,60,-165.60412710395727,395.1530232053477,-0.021041437396404496
0.16,0.04,-7.166790869266601E7,0.06316820459347729,6.867065805519887E8,-4.806076654163781E7,-1.1964776528285283E8,1800,6,60,-174.00548233543154,389.8581490575806,-0.03735528385636545
0.16,0.08,-5.475143508588514E7,0.05430986650353765,5.450646294129239E8,-7.655524046414334E7,-1.312214445293796E8,1800,6,60,-170.5088175758757,347.3321720458162,-0.033577703637636354
0.16,0.12,-2.5138159256675895E7,0.03796016328756011,2.700946828578574E8,-8.588526940053546E7,-1.1095994939697641E8,1800,6,60,-138.57677161336403,244.5000933460757,-0.05472117056728642
