% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 19 2020, 12:23"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.16,0,2.5844363403754322E10,-7.35379351044474E8,9877377.856629508,741683.8567004913,-7.247602893311483E8,0.2834673176331419,1800,6,60,-0.9340931503151882,3061.406800354261,0.2508878033320753,5.5,0.5
0.16,0.01,2.5874227592935226E10,-7.360642142380363E8,9713866.63689331,752862.5844972687,-7.255974850166389E8,0.2835362907820099,1800,6,60,-0.9908439821975181,3062.150883499223,0.26590962217903513,5.5,0.5
0.16,0.02,2.5762380410616993E10,-7.32740211479298E8,9512664.135589577,766330.3160831025,-7.224612170276263E8,0.2828395192372109,1800,6,60,-1.0545149414418058,3054.624330622826,0.28776548513717354,5.5,0.5
0.16,0.03,2.5482597792984936E10,-7.246664111091977E8,9268703.848422185,782589.3847036209,-7.146151178760722E8,0.28123003182382794,1800,6,60,-1.1264086181181565,3037.239370999781,0.30377137046795416,5.5,0.5
0.16,0.04,2.5006368454098152E10,-7.110385950147915E8,8976025.966735445,802265.9918298726,-7.012603030562185E8,0.2785368802610403,1800,6,60,-1.2082155455720214,3008.149636942686,0.3282202036931149,5.5,0.5
0.16,0.05,2.430383067294336E10,-6.910124850506464E8,8628007.025236286,826139.860390717,-6.81558338165006E8,0.27456335881305566,1800,6,60,-1.3020510242345065,2965.230606672922,0.35469368254756833,5.5,0.5
0.2,0,1.8119163436631542E10,-5.169962705002302E8,8091764.982448847,784206.0844503416,-5.0812029943332803E8,0.23822865838874902,1800,6,60,-1.1286078533289547,2572.7557273292296,0.26920275713424363,5.5,0.5
0.2,0.01,1.7680174933715992E10,-5.044115023811533E8,7800209.421367988,801573.027952318,-4.9580971993183345E8,0.2352793446577758,1800,6,60,-1.2119703765780074,2540.8952237463845,0.2884570926519149,5.5,0.5
0.2,0.02,1.7060448137233166E10,-4.8670589116881853E8,7453129.306549845,822250.1655510373,-4.784305116967143E8,0.2310960224937299,1800,6,60,-1.3074030470510893,2495.7038272591208,0.313877593788173,5.5,0.5
0.2,0.03,1.6239505083200052E10,-4.6329966157123256E8,7043788.9424092565,846964.0821300079,-4.554089085466948E8,0.22547186181486956,1800,6,60,-1.4175871754999523,2434.9448779808026,0.34332004933846477,5.5,0.5
0.2,0.04,1.5200473215266127E10,-4.337125240915364E8,6565075.871715974,876644.569071752,-4.262708036507546E8,0.2181772054276229,1800,6,60,-1.546040964052016,2356.138996979643,0.3773617372165756,5.5,0.5
0.2,0.05,1.3932975651871613E10,-3.9764797312712884E8,6009373.828780484,912504.1630659628,-3.907260951352846E8,0.20896123076861892,1800,6,60,-1.6974049356807162,2256.5699823863397,0.41485554292739746,5.5,0.5
0.24,0,1.2608676467539738E10,-3.6091402825749E8,6523628.272118826,802029.721553805,-3.5358837026381695E8,0.19957780164921493,1800,6,60,-1.2911441502331131,2155.1687172053803,0.27814165866014784,5.5,0.5
0.24,0.01,1.1918343514036545E10,-3.411793645674055E8,6127898.164655169,822132.4361752153,-3.34229333966573E8,0.19405312781644388,1800,6,60,-1.4001665201803666,2095.4647772011435,0.30593550619681276,5.5,0.5
0.24,0.02,1.1058334893467848E10,-3.166246137490801E8,5666965.1507728305,845806.4034317533,-3.1011184219487864E8,0.1869736708698178,1800,6,60,-1.526913890549478,2018.947816811924,0.33999552453585513,5.5,0.5
0.24,0.03,1.0025093563684013E10,-2.8714522318907624E8,5135127.844952697,873862.5308452754,-2.8113623281328064E8,0.178123480394103,1800,6,60,-1.675839349835193,1923.2709761795618,0.3776221265336618,5.5,0.5
0.24,0.04,8.82508335054038E9,-2.5291866346204218E8,4527127.476092618,907434.4052518915,-2.474841015807016E8,0.16727956888167717,1800,6,60,-1.8529996077427031,1806.0059866671472,0.4218136220757944,5.5,0.5
0.24,0.05,7.478796971848382E9,-2.1451638668023458E8,3838295.639583637,948210.6812781784,-2.097298803593717E8,0.1542234411775918,1800,6,60,-2.066846184315811,1664.7444196231013,0.47025458534593045,5.5,0.5
0.28,0,8.816354420368258E9,-2.532601920190666E8,5222226.890965441,798577.4221467519,-2.4723938770595548E8,0.16770121636341878,1800,6,60,-1.4220398180003837,1810.5345834141663,0.2835678738191174,5.5,0.5
0.28,0.01,8.042917910485796E9,-2.3112497201793435E8,4757272.716584563,818047.3799870749,-2.2554965192136312E8,0.16026068414055156,1800,6,60,-1.5541238919885665,1730.079278489958,0.3187043749704965,5.5,0.5
