% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 07:52"
% Table,Probe Table 1 - 
% mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,-123.8623143489907,-0.3425447618842701,-0.2397826650104083,1.7490392892179825E-4,1.4577092137622921E-5,161684.72387591263,1.9510308696530922,-121.90415412039417,110,NaN,185.17935447491874,1800,6,0,0,60
0,0.1,-87.79096124107546,-0.2881376305261165,-0.20169746154476748,1.4709438689980482E-4,1.0524907960448554E-5,114402.17694824397,1.243965170546105,-86.54274160480084,110,NaN,131.02611533084524,1800,6,0,0.1,60
0,0.2,-59.384065312964246,-0.2367757379489656,-0.16574393706438648,1.2085778842137551E-4,7.280820413190515E-6,77251.8209808821,0.7476325708048567,-58.634062442362506,110,NaN,88.47738981346586,1800,6,0,0.2,60
0,0.30000000000000004,-37.83796744085226,-0.18883946382813024,-0.13218835882090277,9.63810382228763E-5,4.760772895016937E-6,49138.26805140516,0.4166728365863901,-37.42008457539591,110,NaN,56.278617668037526,1800,6,0,0.30000000000000004,60
0,0.4,-22.27825333833466,-0.144775584187612,-0.10134347176800787,7.388864625783424E-5,3.0069615934660753E-6,28881.84811875257,0.2102191165648145,-22.067484743127576,110,NaN,33.0787093700818,1800,6,0,0.4,60
0,0.5,-11.763756390488405,-0.10511229328901507,-0.07357901394227728,5.3645107544905854E-5,1.6699075758686195E-6,15224.440827968283,0.09248305522346716,-11.671060662039789,110,NaN,17.436725357730356,1800,6,0,0.5,60
0.5,0,1.1193704030711272E8,-439.4627706952008,-307.6256473779429,0.35467057842772487,470.03490495529275,2.661206078420767E11,-5.886095462048889E8,-4.732525216072682E8,110,NaN,3.047909610217077E8,1800,6,0.5,0,60
0.5,0.1,1.021757032542775E8,-457.3450849245199,-320.14333683855233,0.3639552029305286,471.5696057212918,2.882188360205389E11,-6.151735266465216E8,-5.0937719296720606E8,110,NaN,3.3010031326618755E8,1800,6,0.5,0.1,60
0.5,0.2,9.028543721007903E7,-475.2190459628713,-332.6551790335926,0.3731947222194645,472.5333979932717,3.1118739991677185E11,-6.416397953737831E8,-5.475329779220246E8,110,NaN,3.5640647091398394E8,1800,6,0.5,0.2,60
0.5,0.30000000000000004,7.606497780759804E7,-492.9707388368002,-345.0814330392751,0.38232949727011156,472.89169050418127,3.3487028454833673E11,-6.677112137517601E8,-5.876210162372732E8,110,NaN,3.835307482300219E8,1800,6,0.5,0.30000000000000004,60
0.5,0.4,5.9286876758446366E7,-510.47700404009476,-357.3358867215221,0.3912947349877148,472.6029023147431,3.59076260165565E11,-6.929899612419165E8,-6.294620751685189E8,110,NaN,4.112541276055156E8,1800,6,0.5,0.4,60
0.5,0.5,3.96669721550353E7,-527.6073179977127,-369.3271730714614,0.4000114079507447,471.6147777424461,3.8357999490204974E11,-7.169275176894622E8,-6.727719133606211E8,110,NaN,4.393185338892489E8,1800,6,0.5,0.5,60
1,0,8.185248941354537E7,-313.6947972987133,-219.58757725717274,0.3498343152228275,533.2286927696077,1.3559664980126808E11,-4.621904854978652E8,-3.760083221257268E8,110,NaN,1.553003863149818E8,1800,6,1,0,60
1,0.1,7.745716511261219E7,-318.53897716495896,-222.97852199027776,0.3532023155939904,534.2869154905466,1.3981684248785892E11,-4.7210084011458784E8,-3.900745792587503E8,110,NaN,1.6013382103119177E8,1800,6,1,0.1,60
1,0.2,7.246712798748672E7,-323.2812129015886,-226.2981054363742,0.35649472870691123,535.1332920641652,1.4401086581335568E11,-4.816667231968928E8,-4.043571689895923E8,110,NaN,1.6493728368029323E8,1800,6,1,0.2,60
1,0.30000000000000004,6.6795536898601405E7,-327.91015719881943,-229.53838443447492,0.35969347995770024,535.7354547773626,1.4816446818618594E11,-4.9074068880273503E8,-4.1878585763479465E8,110,NaN,1.6969445175225392E8,1800,6,1,0.30000000000000004,60
1,0.4,6.031942523184318E7,-332.41616000123975,-232.69260390827748,0.362777786752749,536.039901810429,1.5226447323568393E11,-4.99107209381932E8,-4.332548231153961E8,110,NaN,1.743902341997815E8,1800,6,1,0.4,60
1,0.5,5.2852312454220064E7,-336.7881819495289,-235.75303626333127,0.3657098143461093,535.950152461956,1.562960544358841E11,-5.064288471151982E8,-4.4759413021921784E8,110,NaN,1.7900765003394067E8,1800,6,1,0.5,60
1.5,0,6.400871689880306E7,-234.47584791965883,-164.134004820039,0.3436883395987486,563.4511760355049,7.575835882227837E10,-3.637364192646768E8,-2.948439437566714E8,110,NaN,8.676691060532999E7,1800,6,1.5,0,60
1.5,0.1,6.120945228157189E7,-236.5391269013806,-165.57830812594685,0.3455927714925276,564.1358452039373,7.709750194897426E10,-3.6824056624749273E8,-3.0189743583258617E8,110,NaN,8.830064646983467E7,1800,6,1.5,0.1,60
1.5,0.2,5.808293535461723E7,-238.5579754066572,-166.99150992547442,0.3474355906145618,564.6412206696115,7.841916406004279E10,-3.7241538935115725E8,-3.089172710855848E8,110,NaN,8.981436112818098E7,1800,6,1.5,0.2,60
1.5,0.30000000000000004,5.457010587537212E7,-240.53022318667635,-168.37209103633708,0.3491929391834939,564.9245131605419,7.972116493661734E10,-3.761565674206305E8,-3.1584999232882947E8,110,NaN,9.130555755088629E7,1800,6,1.5,0.30000000000000004,60
