% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 15:50"
% Table,Probe Table 1 - 
% mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","Hall parameter, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,-123.8623143898397,0.3425447617137966,0.23978266489107405,1.7490392883525458E-4,-1.457709277781861E-5,161684.72371498225,1.951030872249628,-121.90415415864405,110,NaN,185.1793542906029,1800,6,0,0,60
0,0.1,-87.7909612232054,0.2881376305951317,0.20169746159307597,1.4709438693488044E-4,-1.0524904280403505E-5,114402.17700304788,1.2439651695104539,-86.54274158797723,110,NaN,131.02611539361288,1800,6,0,0.1,60
0,0.2,-59.384065301611955,0.23677573799041465,0.16574393709339671,1.2085778844248248E-4,-7.280818879217974E-6,77251.82100792904,0.7476325703337745,-58.634062431482114,110,NaN,88.4773898444429,1800,6,0,0.2,60
0,0.30000000000000004,-37.83796745204495,0.18883946378868804,0.13218835879329116,9.63810382027631E-5,-4.760771714811573E-6,49138.26803087848,0.41667283677906836,-37.42008458639487,110,NaN,56.27861764452818,1800,6,0,0.30000000000000004,60
0,0.4,-22.278253344769258,0.1447755841645039,0.1013434717518299,7.388864624604666E-5,-3.006963389491552E-6,28881.848109532548,0.21021911669963889,-22.06748474943147,110,NaN,33.07870935952201,1800,6,0,0.4,60
0,0.5,-11.763756383739741,0.10511229331434957,0.07357901396001047,5.3645107557834484E-5,-1.669906159275039E-6,15224.440835307094,0.09248305513456534,-11.671060655379701,110,NaN,17.43672536613561,1800,6,0,0.5,60
0,0.6000000000000001,-5.2978514898515625,0.07047829659810036,0.049335081613868466,3.5969097263491E-5,-8.264135753914213E-7,6844.553551343268,0.03331624637501436,-5.264470120939441,110,NaN,7.839145083857722,1800,6,0,0.6000000000000001,60
0,0.7000000000000001,-1.8514842098207507,0.041628353716677134,0.029140009438418362,2.12452796388838E-5,-3.3359043555225786E-7,2387.8816599520583,0.008732447884532625,-1.8427380430185911,110,NaN,2.7348680428942744,1800,6,0,0.7000000000000001,60
0,0.8,-0.4059877621986306,0.019476452765823802,0.013633592653894664,9.939919196769548E-6,-9.238060233372711E-8,522.7018674153329,0.001276746849897552,-0.4047095564061111,110,NaN,0.5986563978987363,1800,6,0,0.8,60
0,0.9,-0.028325413386915452,0.00513999403359429,0.0035980158060905593,2.6232252887799386E-6,-1.0950390240496924E-8,36.40487611501262,4.455443430324178E-5,-0.028280830848214585,110,NaN,0.04169491895778121,1800,6,0,0.9,60
