% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 19:52"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,-1.6052555944664712E9,-1233.161142192897,-863.217593624138,0.6296541438188878,0.05247753543554751,2.0954340194251145E12,2.528536010947649E7,-1.5798778378649764E9,110,NaN,2.399924431696632E9,1800,6,60
0,0.1,-1.734142443041461E9,-1280.6116922920144,-896.4331631665818,0.6537528312072154,0.04677738567075479,2.259796091624597E12,2.457215145214367E7,-1.709486252760527E9,110,NaN,2.588170183678862E9,1800,6,60
0,0.2,-1.8789489426180356E9,-1331.8635252619274,-932.3096454964859,0.6798250595133852,0.04095461024225027,2.444295895650194E12,2.3655561856633246E7,-1.8552183829942887E9,110,NaN,2.799479909119773E9,1800,6,60
0,0.30000000000000004,-2.0423992437987328E9,-1387.391978327062,-971.1797785194883,0.7081055865264285,0.03497709345277273,2.6523613210950034E12,2.2490961995446105E7,-2.0198429674584007E9,110,NaN,3.037779608984981E9,1800,6,60
0,0.4,-2.2278253340327725E9,-1447.7558418085544,-1013.4347176327484,0.738886462543845,0.030069629223398682,2.8881848116056733E12,2.102191164958746E7,-2.206748474519111E9,110,NaN,3.3078709366994214E9,1800,6,60
0,0.5,-2.439332521109999E9,-1513.6170244162695,-1059.5378015068707,0.7724895491847467,0.024046664892328713,3.156940054486033E12,1.917728625522304E7,-2.420111134934774E9,110,NaN,3.6156793752166505E9,1800,6,60
0,0.6000000000000001,-2.682037315586865E9,-1585.7616736684097,-1110.039336459888,0.8093046885362942,0.018594311662349736,3.4650552362903115E12,1.686634971172884E7,-2.665137997591187E9,110,NaN,3.968567199759856E9,1800,6,60
0,0.7000000000000001,-2.962374736725445E9,-1665.1341485433888,-1165.6003774501407,0.8498111854922461,0.013343617113752645,3.820610655355656E12,1.3971916629925545E7,-2.948380869827101E9,110,NaN,4.3757888679807205E9,1800,6,60
0,0.8,-3.2885008785101504E9,-1752.880748587637,-1227.0233386149841,0.8945927275375313,0.008314250339424846,4.2338851244386094E12,1.0341649522431277E7,-3.2781474115523E9,110,NaN,4.849116821117967E9,1800,6,60
0,0.9,-3.670973580197274E9,-1850.3978519279055,-1295.2856900763875,0.9443611038760406,0.003942139821269165,4.718071943658909E12,5774254.70181233,-3.665195683165305E9,110,NaN,5.403661495958682E9,1800,6,60
0.1,0,-1.595388234794817E9,-1230.4473724624236,-861.3179442572646,0.6283463245715818,14.009120941758395,2.086221487239034E12,2.3494741788935676E7,-1.5717928323153687E9,110,NaN,2.389373213731183E9,1800,6,60
0.1,0.1,-1.7217485988574684E9,-1277.916297816527,-894.5463765462508,0.652491210777096,23.060908540231907,2.250293395665708E12,2.0549131500847057E7,-1.7011044788818293E9,110,NaN,2.5772866378419027E9,1800,6,60
0.1,0.2,-1.8617361175710855E9,-1328.924513262156,-930.2523256592527,0.6784780424699319,33.74223439485502,2.4335201838745244E12,1.5296264370710203E7,-1.8463504421633952E9,110,NaN,2.78713836377899E9,1800,6,60
0.1,0.30000000000000004,-2.0162534310024436E9,-1383.8186063843941,-968.6784042516689,0.7064691806113473,46.708154167053216,2.6387160527767085E12,5704044.417446971,-2.0104648621754274E9,110,NaN,3.0221515278759837E9,1800,6,60
0.1,0.4,-2.1848753820578575E9,-1442.9437917838752,-1010.0662638867038,0.7366359843287982,63.039686169695266,2.869017225246289E12,-1.2685889877484618E7,-2.197479734057246E9,110,NaN,3.2859180818855243E9,1800,6,60
0.1,0.5,-2.3630587882747173E9,-1506.583611701225,-1054.6143852361622,0.7691318574030419,84.67418644142569,3.1276691444668203E12,-5.0769905636476815E7,-2.413745611024526E9,110,NaN,3.5821550688238487E9,1800,6,60
