% Model,Untitled.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Oct 17 2020, 19:42",,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
0,0,-1.26E+09,-1226.982692,-1000.704247,0.792116654,-3.27E-04,8.34E+12,1.03E+08,-1.16E+09,190,380,-91.22495348,-28.27887212,-982.3937711,101.7206021,1080.420709,55.11059188,-91.69608579,-33.06561726,-419.638579,102.1569449,490.5921072,61.29612905,-92.99332962,-61.75495989,-283.477461,102.6509318,330.4461965,61.78471926
0,0.1,-1.35E+09,-1274.223963,-1024.719467,0.805403012,-2.15E-04,8.99E+12,1.01E+08,-1.25E+09,190,380,-94.75852567,-29.96035677,-1022.060113,105.6455299,1123.322826,57.72282545,-95.17803971,-34.55796012,-436.3881913,106.0207494,509.6956478,63.62535694,-96.4777353,-64.09717513,-293.6855059,106.4631843,342.0894112,64.12978195
0,0.2,-1.46E+09,-1325.315295,-1050.67748,0.819863143,5.46E-04,9.72E+12,9.72E+07,-1.36E+09,190,380,-98.58122325,-31.80421383,-1064.921329,109.8911489,1169.659828,60.58718213,-98.94028131,-36.1739588,-454.561264,110.1951117,530.3992779,66.14229111,-100.2393876,-66.62822967,-304.6917292,110.5776985,354.634588,66.66414482
0,0.3,-1.57E+09,-1380.756545,-1078.828572,0.835616064,5.29E-04,1.05E+13,9.28E+07,-1.48E+09,190,380,-102.7305971,-33.83640671,-1111.51415,114.4990302,1220.014388,63.74155639,-103.02014,-37.9303843,-474.374559,114.7213402,552.9388152,68.87128565,-104.315117,-69.37300462,-316.5978837,115.034393,368.1954087,69.41274541
0,0.4,-1.70E+09,-1441.138115,-1109.468013,0.852812498,-8.25E-04,1.15E+13,8.71E+07,-1.62E+09,190,380,-107.2513823,-36.08961181,-1162.250091,119.5187693,1274.827247,67.23143845,-107.4600374,-39.84458113,-496.0618937,119.6464395,577.5618475,71.84118485,-108.7447804,-72.35958189,-329.5142243,119.8766222,382.8952219,72.40368904
0,0.5,-1.85E+09,-1507.167541,-1142.949678,0.871635338,8.23E-04,1.25E+13,7.99E+07,-1.77E+09,190,380,-112.1964778,-38.60570071,-1217.803226,125.0088318,1334.811764,71.11152775,-112.3105931,-41.93730519,-519.9018812,125.0262744,604.5557785,75.0854226,-113.5783395,-75.62271476,-343.5762961,125.1583012,398.8845804,75.67213361
0,0.6,-2.02E+09,-1579.691086,-1179.695456,0.892305329,1.66E-04,1.38E+13,7.07E+07,-1.95E+09,190,380,-117.6307709,-41.44048114,-1278.955724,131.041048,1400.815558,75.44975023,-117.6349538,-44.23535757,-546.3051939,130.9306022,634.3437508,78.64620223,-118.8770415,-79.20544261,-358.9460442,130.9463887,416.3435217,79.26107994
0,0.7,-2.22E+09,-1659.743477,-1220.221169,0.915100943,-9.40E-04,1.52E+13,5.90E+07,-2.16E+09,190,380,-123.6319261,-44.6746948,-1346.537344,137.7012266,1473.723888,80.33028796,-123.5074519,-46.76732648,-575.7587182,137.4415728,667.398926,82.57212902,-124.7079775,-83.15569608,-375.7960384,137.312578,435.4612482,83.21873615
0,0.8,-2.45E+09,-1748.590764,-1265.156543,0.940358767,0.003092126,1.69E+13,4.40E+07,-2.41E+09,190,380,-130.297225,-48.43416346,-1421.898559,145.0966133,1554.99755,85.86046406,-130.0213658,-49.56220695,-608.9550003,144.6617264,704.3730998,86.92322091,-131.1603501,-87.53861992,-394.3502999,144.354118,456.4841426,87.61093702
0,0.9,-2.73E+09,-1847.814947,-1315.287783,0.968486618,-7.14E-04,1.88E+13,2.48E+07,-2.70E+09,190,380,-137.7471337,-52.6385722,-1506.83947,153.3598913,1646.560267,91.49637542,-137.2899801,-52.6385722,-646.8624214,152.7165148,746.0968965,91.77798832,-138.3363503,-92.43342853,-414.7898972,152.1815785,479.6075881,92.51635808
