% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
0,0,-1.26E+09,-1226.982692,-1000.704247,0.792116654,-3.27E-04,8.34E+12,1.03E+08,-1.16E+09,190,380,-91.22495348,-28.27887212,-982.3937711,101.7206021,1080.420709,55.11059188,-91.69608579,-33.06561726,-419.638579,102.1569449,490.5921072,61.29612905,-92.99332962,-61.75495989,-283.477461,102.6509318,330.4461965,61.78471926
0.1,0,-1.26E+09,-1226.189849,-1000.731285,0.792192385,52.26051593,8.33E+12,1.03E+08,-1.16E+09,190,380,-91.05241968,-23.88443913,-1217.492754,102.1283935,1352.606417,40.21404684,-91.48009163,-33.8076791,-490.4668955,102.7147836,580.8263842,60.8358537,-92.68006163,-60.84172726,-326.25369,103.1587041,386.2854968,61.01876443
0.2,0,-1.26E+09,-1223.845851,-1000.813545,0.792450474,104.3800333,8.30E+12,1.04E+08,-1.15E+09,190,380,-90.55087932,-9.655318031,-1489.45903,103.313557,1678.041402,29.37124315,-90.90921138,-23.22440846,-566.6132892,104.0771142,681.5278889,53.00659841,-92.05669319,-59.03050127,-371.7684646,104.5077372,448.2238858,59.73913928
0.3,0,-1.25E+09,-1220.04027,-1000.948752,0.792905168,156.229231,8.25E+12,1.04E+08,-1.15E+09,190,380,-89.7477928,8.07142498,-1794.047211,105.1796687,2056.052561,21.65593705,-90.01418945,-8.706609998,-646.0476758,106.131849,790.7899287,49.08627277,-91.15288669,-56.72270024,-418.9025825,106.5894607,515.1605274,58.65036826
0,0.1,-1.35E+09,-1274.223963,-1024.719467,0.805403012,-2.15E-04,8.99E+12,1.01E+08,-1.25E+09,190,380,-94.75852567,-29.96035677,-1022.060113,105.6455299,1123.322826,57.72282545,-95.17803971,-34.55796012,-436.3881913,106.0207494,509.6956478,63.62535694,-96.4777353,-64.09717513,-293.6855059,106.4631843,342.0894112,64.12978195
0.1,0.1,-1.35E+09,-1273.274921,-1024.732928,0.805469521,54.30587507,8.98E+12,1.01E+08,-1.25E+09,190,380,-94.54348219,-24.36284536,-1296.500027,106.1729081,1441.405653,40.66376771,-94.91033988,-34.74493867,-518.6295002,106.727739,614.6468446,61.95631446,-96.0940876,-62.95867534,-343.0491832,107.1076248,406.6309347,63.16202079
0.2,0.1,-1.35E+09,-1270.477916,-1024.775394,0.80568782,108.4515489,8.94E+12,1.01E+08,-1.25E+09,190,380,-93.92002649,-7.527334235,-1618.004846,107.6961776,1828.128797,28.72392249,-94.20153863,-21.81248888,-607.4918304,108.4625568,732.9039243,53.89139521,-95.32348306,-60.77003841,-395.7641909,108.8217638,478.8221583,61.73813762
0.3,0.1,-1.34E+09,-1265.962574,-1024.84773,0.806099563,162.2818279,8.87E+12,1.02E+08,-1.24E+09,190,380,-92.9301077,13.67656651,-1979.979327,110.0672485,2281.853713,20.55950715,-93.0997125,-4.190179549,-700.0003147,111.0552742,861.5812505,50.33144165,-94.21327592,-57.99153835,-450.2332129,111.4425609,557.0367498,60.27152012
0,0.2,-1.46E+09,-1325.315295,-1050.67748,0.819863143,5.46E-04,9.72E+12,9.72E+07,-1.36E+09,190,380,-98.58122325,-31.80421383,-1064.921329,109.8911489,1169.659828,60.58718213,-98.94028131,-36.1739588,-454.561264,110.1951117,530.3992779,66.14229111,-100.2393876,-66.62822967,-304.6917292,110.5776985,354.634588,66.66414482
0.1,0.2,-1.46E+09,-1324.162799,-1050.671074,0.819919664,56.52369555,9.70E+12,9.74E+07,-1.36E+09,190,380,-98.30668633,-24.5277086,-1390.418812,110.5912902,1547.527265,40.8497721,-98.60058292,-35.49567687,-551.5154262,111.1137274,654.4007682,62.99838367,-99.75831719,-65.1870385,-362.4907347,111.4153533,430.3700745,65.44097208
0.2,0.2,-1.45E+09,-1320.777095,-1050.654855,0.82010178,112.8537393,9.65E+12,9.81E+07,-1.35E+09,190,380,-97.51509942,-4.183304665,-1777.63155,112.5974215,2016.456964,27.69715525,-97.7030944,-19.35027925,-656.850498,113.3773747,795.7013643,54.87990478,-98.78768847,-62.4919356,-424.4477252,113.6480532,515.9053351,63.85347699
0.3,0.2,-1.44E+09,-1315.352624,-1050.634871,0.820449772,168.8192715,9.57E+12,9.92E+07,-1.34E+09,190,380,-96.27163037,21.70563527,-2215.455855,115.6704811,2572.362401,19.13658973,-96.32180257,2.515005897,-766.0623032,116.7127942,949.7772201,51.69445317,-97.39996089,-59.0952088,-488.1891713,117.0129365,608.7186786,61.57582816
0,0.3,-1.57E+09,-1380.756545,-1078.828572,0.835616064,5.29E-04,1.05E+13,9.28E+07,-1.48E+09,190,380,-102.7305971,-33.83640671,-1111.51415,114.4990302,1220.014388,63.74155639,-103.02014,-37.9303843,-474.374559,114.7213402,552.9388152,68.87128565,-104.315117,-69.37300462,-316.5978837,115.034393,368.1954087,69.41274541
0.1,0.3,-1.57E+09,-1379.329836,-1078.792252,0.83565804,58.9316909,1.05E+13,9.31E+07,-1.48E+09,190,380,-102.3697033,-24.1478806,-1505.584389,115.4597041,1678.546759,40.62872874,-102.576494,-35.88512439,-590.8663033,115.9531789,702.3717888,63.91863438,-103.696699,-67.51356195,-385.5272139,116.1601563,458.7888355,67.86302654
0.2,0.3,-1.56E+09,-1375.163723,-1078.690881,0.835796304,117.6404728,1.05E+13,9.39E+07,-1.47E+09,190,380,-101.3373166,1.105278581,-1982.656751,118.1802954,2261.623505,26.16939166,-101.4074716,-15.1713676,-718.0724815,118.9897738,874.8108259,56.02192339,-102.4416921,-64.11506164,-459.6666388,119.1523773,562.2316346,66.09135377
