% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 14:15"
% Table,Probe Table 1 - 
% mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,-123.86231441742564,0.34254476159956443,0.23978266481111912,1.749039287772467E-4,-1.4577098212568586E-5,161684.72360714443,1.9510308739454143,-121.90415418452362,110,NaN,185.179354167095,1800,6,0,0,60
0.1,0,1.7635914160457894E8,176.31632912851344,123.42211544807817,0.1545031735576319,-266.20289054442964,4.283703453331084E10,-3.2086416116781956E8,-1.4411025255866328E8,110,NaN,4.9061743202074066E7,1800,6,0.1,0,60
0.2,0,2.135105020131849E8,376.75838736533404,263.73233518833354,0.27474169388781733,-376.3545664810167,1.9559609787129956E11,-5.569684346996673E8,-3.419062081729585E8,110,NaN,2.2401843707521883E8,1800,6,0.2,0,60
0.30000000000000004,0,1.630192005293952E8,450.97107669356785,315.68150621392317,0.3284088391294939,-421.48952007225876,2.802410205019048E11,-6.088156980994617E8,-4.4325014452266383E8,110,NaN,3.209632303529335E8,1800,6,0.30000000000000004,0,60
0.4,0,1.2921961895812313E8,457.9544102257987,320.56986688266613,0.3483240396495077,-449.0361947660009,2.889873411356252E11,-6.069234715749284E8,-4.7459248692662424E8,110,NaN,3.309804909212614E8,1800,6,0.4,0,60
0.5,0,1.1193704047087444E8,439.46277046022306,307.6256472134501,0.354670578377944,-470.03490502832426,2.661206075574913E11,-5.886095464009396E8,-4.73252521638E8,110,NaN,3.0479096069576806E8,1800,6,0.5,0,60
0.6000000000000001,0,1.0234147954728243E8,413.033367926492,289.12496274317505,0.35574537812955404,-487.2295425165406,2.350740041707353E11,-5.643396602086991E8,-4.583690683127115E8,110,NaN,2.6923293247901046E8,1800,6,0.6000000000000001,0,60
0.7000000000000001,0,9.588399621744539E7,385.4675783015181,269.8288028842996,0.35483333743266887,-501.6397799131672,2.0474346013551425E11,-5.381094153885086E8,-4.384129577032535E8,110,NaN,2.3449501518741915E8,1800,6,0.7000000000000001,0,60
0.8,0,9.070848249953626E7,359.2895878333023,251.50410782463138,0.3532419928068473,-513.8475338710159,1.77878554234267E11,-5.117965072883706E8,-4.1709647923983085E8,110,NaN,2.0372633269493777E8,1800,6,0.8,0,60
0.9,0,8.611319152727084E7,335.31916862304894,234.72472122269772,0.35150161162507404,-524.2694668941047,1.549355539272314E11,-4.863384563011718E8,-3.9605929556593764E8,110,NaN,1.7744945331680134E8,1800,6,0.9,0,60
1,0,8.185248945039625E7,313.69479743083707,219.58757734966414,0.3498343153190205,-533.228692975785,1.3559664991549078E11,-4.621904856465717E8,-3.7600832223522425E8,110,NaN,1.5530038644580236E8,1800,6,1,0,60
1.1,0,7.784135277295655E7,294.2898030930535,206.0040058992575,0.3483095087036185,-540.9814486759557,1.1933964910499542E11,-4.3953810727913684E8,-3.572193215384102E8,110,NaN,1.3668105838796955E8,1800,6,1.1,0,60
1.2000000000000002,0,7.405858393194911E7,276.89028229384826,193.82427371954043,0.3469449187884769,-547.7317128358277,1.056451966575664E11,-4.184235627458457E8,-3.397584700511527E8,110,NaN,1.2099664613608234E8,1800,6,1.2000000000000002,0,60
1.3,0,7.049581792907867E7,261.2634769818143,182.88544926978264,0.3457327964108565,-553.6427067328101,9.405713205696191E10,-3.9880740082877034E8,-3.235951977133173E8,110,NaN,1.0772470385908328E8,1800,6,1.3,0,60
1.4000000000000001,0,6.71489154607318E7,247.19078855709873,173.03451268108614,0.34465239157390326,-558.8469908819917,8.41974412692047E10,-3.8061164522956383E8,-3.0865455984715855E8,110,NaN,9.643228778148E7,1800,6,1.4000000000000001,0,60
1.5,0,6.4008716961913995E7,234.47584772994887,164.13400468724456,0.34368833962364775,-563.4511761780352,7.575835869968929E10,-3.637364193980765E8,-2.9484394382609624E8,110,NaN,8.676691046492717E7,1800,6,1.5,0,60
1.6,0,6.106940251999581E7,222.94745836250067,156.06408732661728,0.342823918382614,-567.544834197264,6.84919260520581E10,-3.4808248263232493E8,-2.8206770011662626E8,110,NaN,7.844458245046048E7,1800,6,1.6,0,60
1.7000000000000002,0,5.8318396450496145E7,212.45760133978203,148.72114664335746,0.3420471594240668,-571.2001619873058,6.219835168909486E10,-3.3354691379388976E8,-2.702332483864094E8,110,NaN,7.123648010204156E7,1800,6,1.7000000000000002,0,60
1.8,0,5.574628090756589E7,202.87900658411144,142.01609308852747,0.3413460905479894,-574.4761182859719,5.671638566892295E10,-3.200345707511255E8,-2.5925283132308593E8,110,NaN,6.49579220259678E7,1800,6,1.8,0,60
1.9000000000000001,0,5.33406082644926E7,194.10420518813254,135.87369800923145,0.3407104527447993,-577.4236431270881,5.191635773846213E10,-3.0745599629020697E8,-2.4904765799675477E8,110,NaN,5.946039540554012E7,1800,6,1.9000000000000001,0,60
