% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 11 2020, 15:49"
% Table,Probe Table 1 - 
% resistance ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
1.0E-4,-9.710440123274168E8,2677.527860153247,267.7631948854407,0.2162508145383739,-0.11389400123686581,1.411251073694248E12,1.1920588769362526E8,-8.51402528120705E8,110,NaN,1.6163219169010751E9,1800,6,0,0,60
1.5848931924611142E-4,-1.300245354137123E9,2403.141222600874,380.881558770778,0.28933543020210434,-0.1022265059565415,1.8017514261057134E12,9.602586854989472E7,-1.2038685924737558E9,110,NaN,2.0635664150101266E9,1800,6,0,0,60
2.5118864315095795E-4,-1.569894557606912E9,2067.3675414195695,519.3072847166578,0.3840212102651621,-0.08794870377069089,2.1133511990482954E12,7.106650577682619E7,-1.4985683640547223E9,110,NaN,2.4204451814440107E9,1800,6,0,0,60
3.9810717055349735E-4,-1.697732013479511E9,1692.5589549963902,673.8264365998748,0.49327530529255764,-0.07201187191756078,2.245039040186607E12,4.763401983515177E7,-1.6499239317029052E9,110,NaN,2.5712687647090735E9,1800,6,0,0,60
6.30957344480193E-4,-1.641730325725642E9,1314.7744611685891,829.5717139781743,0.6052852396106343,-0.05594787391470033,2.1470334310960647E12,2.8742996446932755E7,-1.6128822980520627E9,110,NaN,2.4590218251637197E9,1800,6,0,0,60
0.001,-1.4296686036918635E9,971.2069403632468,971.2107160755705,0.7081252023163908,-0.04133881439848287,1.8567774035948054E12,1.5683858559126591E7,-1.4139274339972672E9,110,NaN,2.1265882933083005E9,1800,6,0,0,60
0.001584893192461114,-1.137974734515467E9,686.776410129877,1088.4699271083819,0.7935800227200406,-0.029244397896154576,1.4715229043698433E12,7842596.083770977,-1.130103480457638E9,110,NaN,1.6853519305595965E9,1800,6,0,0,60
0.002511886431509582,-8.436181469526396E8,469.0594288230446,1178.2258383761764,0.8590158897386916,-0.019986762412150347,1.0879076445360851E12,3658343.239641785,-8.39946435621871E8,110,NaN,1.2459930073426921E9,1800,6,0,0,60
0.003981071705534973,-5.933412473933707E8,312.20019111720075,1242.89256104873,0.9061625641568142,-0.01331684179771005,7.638403861642323E11,1620669.318464222,-5.91714655939086E8,110,NaN,8.748350879475831E8,1800,6,0,0,60
0.00630957344480193,-4.0215039827938735E8,204.0513774009393,1287.477945507911,0.938668668349319,-0.008718171634113628,5.1714859504666797E11,692318.8308971736,-4.0145554963340247E8,110,NaN,5.922961718501587E8,1800,6,0,0,60
0.01,-2.6580984838543135E8,131.72929072803808,1317.293419400306,0.9604064008459414,-0.005642941661292525,3.4158673298651843E11,288529.48327579314,-2.6552026458485946E8,110,NaN,3.9122317306974274E8,1800,6,0,0,60
0.01584893192461114,-1.7279988640482008E8,84.34804749265213,1336.826790602448,0.9746477038513384,-0.0036281934032671675,2.21965948748011E11,118296.8148765709,-1.726811573215106E8,110,NaN,2.5422012741361466E8,1800,6,0,0,60
0.025118864315095822,-1.1112863607207446E8,53.72265941217047,1349.4524012767906,0.9838527276733323,-0.0023259711806519435,1.4270897741419604E11,47988.148524893186,-1.1108047256894103E8,110,NaN,1.6344621607925165E8,1800,6,0,0,60
0.039810717055349734,-7.097266344043644E7,34.09991166230624,1357.5420673702158,0.989750705285897,-0.0014915574689983043,9.112610246963397E10,19333.88901642127,-7.095325890070453E7,110,NaN,1.043677623131099E8,1800,6,0,0,60
0.06309573444801936,-4.512616493436291E7,21.597281056539057,1362.6963943062294,0.9935085989400799,-9.599537757839497E-4,5.793412442751751E10,7755.34777959638,-4.51183812435884E7,110,NaN,6.635261208591874E7,1800,6,0,0,60
0.1,-2.861139124624188E7,13.65968692755004,1365.9687458598996,0.9958943903907099,-6.224303531038555E-4,3.672973365328397E10,3102.1946278472556,-2.8608277710590247E7,110,NaN,4.2066981993739806E7,1800,6,0,0,60
0.15848931924611143,-1.8108024091640536E7,8.631758470540639,1368.041557450795,0.9974056266045703,-4.0862490739893166E-4,2.3245283488018604E10,1238.6896786241196,-1.810678086956821E7,110,NaN,2.6623087745762184E7,1800,6,0,0,60
0.25118864315095824,-1.1447468062557876E7,5.451491009805822,1369.3526510969741,0.9983615129024009,-2.734070801994445E-4,1.4694908565293253E10,494.0370641200585,-1.1446972213659195E7,110,NaN,1.6830246030400317E7,1800,6,0,0,60
0.3981071705534973,-7231575.432107252,3.4417395096119594,1370.1811913347356,0.9989655813172464,-1.879233830052006E-4,9.283084046240711E9,196.89367381053745,-7231377.812096958,110,NaN,1.0632021813876266E7,1800,6,0,0,60
0.6309573444801936,-4566192.216871518,2.1724201882059595,1370.7044814918002,0.9993470993670557,-1.3399790723430486E-4,5.861704860843464E9,78.43113341071924,-4566113.492137557,110,NaN,6713477.292304622,1800,6,0,0,60
1,-2882328.7374798222,1.3710348543973243,1371.0348597279908,0.9995879700554501,-9.984207883882055E-5,3.700268842465182E9,31.232505262982713,-2882297.383631808,110,NaN,4237960.020003087,1800,6,0,0,60
1.584893192461114,-1819027.684843399,0.8651960907317372,1371.2433977089001,0.999740009994802,-7.836028702282478E-5,2.335422094938508E9,12.435231316881351,-1819015.196863491,110,NaN,2674785.5060140425,1800,6,0,0,60
2.5118864315095824,-1147794.8502269161,0.5459542235318771,1371.3750084381475,0.9998359641572933,-6.482437510150087E-5,1.473834599889318E9,4.951739182572996,-1147789.8730678624,110,NaN,1687999.5417486865,1800,6,0,0,60
3.9810717055349776,-724151.4784311019,0.34449468893143176,1371.4580601518428,0.999896515129704,-5.626762115714316E-5,9.300394042380828E8,1.9735486283830739,-724149.490335014,110,NaN,1065184.7149469855,1800,6,0,0,60
6.309573444801943,-456793.9005017193,0.21736976028271995,1371.5104680284514,0.9999347244301945,-5.0812415351776994E-5,5.868600422771088E8,0.7888145251563015,-456793.1014156619,110,NaN,672137.4857862403,1800,6,0,0,60
10,-288078.48563075386,0.1371543537250902,1371.5435377847148,0.9999588347803042,-4.7432712893436424E-5,3.7030151074305654E8,0.31781861594773264,-288078.1592004968,110,NaN,424110.53485246416,1800,6,0,0,60
15.848931924611142,-181617.7965371223,0.08653986340477443,1371.5644042044344,0.9999740479764012,-4.528206495941611E-5,2.336515672471223E8,0.1306080639793041,-181617.65807854926,110,NaN,267603.79928088543,1800,6,0,0,60
25.11886431509582,-114439.51743803873,0.05460348658568395,1371.57757088984,0.9999836474845656,-4.3905955584254636E-5,1.4742700291670156E8,0.05642814319616004,-114439.45337797453,110,NaN,168849.82438562872,1800,6,0,0,60
39.81071705534978,-72055.64131844575,0.03445267955842046,1371.5858778334373,0.9999897038738932,-4.30710937831799E-5,9.302127702995248E7,0.027086302934790595,-72055.60666808358,110,NaN,106538.32730703242,1800,6,0,0,60
63.09573444801943,-45308.09150808316,0.02173825428972472,1371.5911201130536,0.999993525891744,-4.257228100046005E-5,5.869290659192299E7,0.01550931943007369,-45308.06846078201,110,NaN,67221.65393491561,1800,6,0,0,60
100,-28424.236686042506,0.013715944291219653,1371.5944291758728,0.9999959384484469,-4.2227958076141324E-5,3.703289917319731E7,0.010832441562757844,-28424.218449823038,110,NaN,42414.20091418462,1800,6,0,0,60
