% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 11 2020, 16:02"
% Table,Probe Table 1 - 
% sig_b ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
10,-1.8044516785979173E8,432.1959438115296,302.5388408910794,0.23814152034859684,-0.11026884942276073,2.5739238916858688E11,1.8635523540966574E7,-1.617415467290979E8,110,NaN,2.947944328344593E8,1800,6,0,0,10
20,-5.114427608181442E8,708.1848875072878,495.73217442425187,0.3676108548553442,-0.09035389061796294,6.9107890637415E11,2.501748902593782E7,-4.8633385350458825E8,110,NaN,7.915005370069027E8,1800,6,0,0,20
30,-8.399549619292467E8,899.6913903123645,629.7874708962986,0.4618853057398078,-0.07638511683506347,1.1153764143339868E12,2.6918167011482082E7,-8.129384316255705E8,110,NaN,1.2774533020289068E9,1800,6,0,0,30
40,-1.13283775981895E9,1040.3573847711277,728.2542138764832,0.5322683757883259,-0.06627820701977974,1.49141819224486E12,2.6995112803928386E7,-1.105744002621795E9,110,NaN,1.7081382302017052E9,1800,6,0,0,40
50,-1.3866078434741597E9,1148.055954184683,803.6436311594471,0.5865431520713511,-0.058528685916390016,1.8161864799015938E12,2.6298830865571134E7,-1.3602129126286147E9,110,NaN,2.0800990464155722E9,1800,6,0,0,50
60,-1.6052555566133265E9,1233.161133723449,863.2175876950304,0.6296541390854192,-0.05239978092622711,2.0954339906419019E12,2.5285351372059334E7,-1.5798778087676501E9,110,NaN,2.3999243987308917E9,1800,6,0,0,60
70,-1.7941145645620153E9,1302.1075636627268,911.4803566915695,0.664680827702136,-0.047431905821896846,2.3362969983967246E12,2.4164426508221034E7,-1.769861837705737E9,110,NaN,2.6757875429024835E9,1800,6,0,0,70
80,-1.9581477048518538E9,1359.0982772579184,951.3740777676646,0.6936876528013265,-0.04332397348580206,2.5452828525939834E12,2.3035240510593105E7,-1.9350282903005643E9,110,NaN,2.915141420293757E9,1800,6,0,0,80
90,-2.101552004353066E9,1406.9949447298334,984.901931203108,0.7180953790293558,-0.03987061470187174,2.7278431932990957E12,2.1944403260209505E7,-2.0795274132207022E9,110,NaN,3.124229856319661E9,1800,6,0,0,90
100,-2.227761706107287E9,1447.8134451902154,1013.4750402130525,0.7389147477217867,-0.036926989536788024,2.888414646660661E12,2.0912531495981365E7,-2.2067727574320197E9,110,NaN,3.3081341694037685E9,1800,6,0,0,100
