% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 5 2020, 17:48"
% Table,Probe Table 1 - 
% sig_b (S/m),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
10,0,0,-1229.2425445504925,1.0551083773951522E-6,4132.607859561864,7.702801380061521E-6,-1229.2425297473628,1800,6,10,-6.258102909210419E-9,0.011381887482576172,-1.6715386513552349E-4
20,0,0,-4916.959708482203,2.1102144962952255E-6,16530.395895514655,6.162220410163249E-5,-4916.959590057464,1800,6,20,-1.251963947563162E-8,0.022763750634267017,-3.3430720524373764E-4
30,0,0,-11063.135787291467,3.1653183567075797E-6,37193.31079402134,2.0797424045201392E-4,-11063.135387609265,1800,6,30,-1.8784981601196642E-8,0.03414558945515164,-5.014600205172773E-4
40,0,0,-19667.75507657637,4.220419958640685E-6,66121.29924159498,4.929743219997813E-4,-19667.754129184854,1800,6,40,-2.5053805085956035E-8,0.045527403945311545,-6.686123103176242E-4
50,0,0,-30730.801872037435,5.275519302100911E-6,103314.30792509539,9.628372395053475E-4,-30730.800021669234,1800,6,50,-3.132639591360646E-8,0.05690919410482498,-8.357640753817533E-4
60,0,0,-44252.26046947361,6.330616387096146E-6,148772.28353172573,0.0016637771630892582,-44252.25727204882,1800,6,60,-3.760249967460465E-8,0.06829095993377077,-0.0010029153155856054
70,0,0,-60232.11516478875,7.385711213634476E-6,202495.1727490491,0.0026420076422154996,-60232.110087413326,1800,6,70,-4.388241125281997E-8,0.07967270143223058,-0.0011700660304303483
80,0,0,-78670.35025398768,8.44080378172298E-6,264482.92226497066,0.003943741605658827,-78670.34267495712,1800,6,80,-5.0165779548717154E-8,0.0910544186002823,-0.0013372162203998806
90,0,0,-99566.95003317518,9.495894091369261E-6,334735.47876775055,0.005615191361391725,-99566.93924197584,1800,6,90,-5.6452909819098956E-8,0.10243611143800893,-0.001504365885550283
100,0,0,-122921.89879855848,1.0550982142580157E-5,413252.78894596925,0.007702568596807817,-122921.88399586346,1800,6,100,-6.274366695566405E-8,0.11381777994548317,-0.0016715150254804632
