% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 11 2020, 12:30"
% Table,Probe Table 1 - 
% sig_b ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
10,-1.0866047188137178E8,270.1769159835706,199.57580890482137,0.3089389778810309,-0.004556571857491319,4.0784742529280365E11,3.027013607535809E7,-7.833076711972885E7,55,110,20.14285684377898,141.4435552631255,5.705085305870328,22.204205868054608,165.20914181980464,9.19611227769375,17.834268148816122,84.83436450494757,8.507823096436296,19.20389868517351,96.77856163266951,10.785112145871748,18.169276486346046,48.33775634078102,13.77846262929081,19.43264452880839,55.34162976716538,13.782177845346784
20,-3.790932314876715E8,474.32960045589346,340.6307442946042,0.3828175934789526,-0.0038106944269992084,1.2482304310414985E12,5.016882100903549E7,-3.288307350118958E8,55,110,35.36722715201187,266.5957194501655,10.291257592965632,39.040935459147406,311.4324755052481,15.173184872056906,32.56980195390571,159.8928962760361,15.338214667368609,35.14704088056078,182.49750527872075,19.400379670401218,33.19117252774417,90.87511891522405,24.93093550575637,35.57272880667765,104.13606446421232,24.93262204905933
30,-7.049541060945928E8,634.3303467197929,451.4282122358862,0.4452396435628127,-0.003395953103186793,2.226321824865743E12,6.230364167654829E7,-6.425372950698112E8,55,110,47.30004545895364,369.46126175746866,13.957537759588607,52.2562476271531,431.62653016701415,19.715105026727702,44.44764210519158,221.58122021539054,20.796378585698136,48.01825414379042,252.96803702418651,26.274323937118528,45.30212861441181,125.78412617017716,33.865157579151635,48.60454441419156,144.2011621546705,33.86572149701538
40,-1.0403361360581368E9,763.1635092572678,540.7385972878698,0.4974343789306273,-0.003084602484318274,3.2182491427810513E12,6.940876331077603E7,-9.708034090158371E8,55,110,56.908786179129386,454.13605392928,16.93742619699827,62.905832707357,530.569049791209,23.329800678011853,54.13878337379398,272.35752623625103,25.23183150213145,58.52763468508609,310.98071338145644,31.856342812777736,55.18433221939804,154.49946956323456,41.133796858116675,59.245657142031035,177.16558073270753,41.133899466893375
50,-1.3651412858905175E9,869.145559345403,614.2533972567948,0.5412011589754776,-0.002732942097834141,4.1710824060676055E12,7.331635715807772E7,-1.291695467942759E9,55,110,64.81342888477549,524.6725514491922,19.40190921292492,71.67084568609542,612.9923572305659,26.285207804274478,62.171137004667116,314.65143370777184,28.899711031861592,67.24185303139828,359.3056321567408,36.47062403928591,63.375496666576446,178.40870336624536,47.1485985143443,68.06944417708237,204.616339742883,47.14859918157046
60,-1.671037941915705E9,957.8671129649989,675.8197879660358,0.5781311493118029,-0.0025241418165458038,5.063802300957657E12,7.518044210755724E7,-1.5957258296988504E9,55,110,71.43078860171663,584.177820910386,21.472099845850153,79.01077740790444,682.5265257599128,28.75012087881161,68.92767906291061,350.3377016185417,31.980606834427107,74.57394151644242,400.0825968670239,40.34535339857125,70.26578667487979,198.57828606826394,52.20283941404354,75.49380199048437,227.77543259080127,52.20292711749474
70,-1.9552268419419267E9,1033.2305442094296,728.1309669748443,0.6096401719844269,-0.0021900721967275027,5.890206093125216E12,7.572775882673867E7,-1.8793672694726658E9,55,110,77.05192715520096,635.0193514252552,23.23479498839291,85.24711132817906,741.9373931334601,30.83869116035683,74.68583712519529,380.81717638888955,34.60365855198409,80.82376759131851,434.91114564485093,43.643526477135616,76.13819666152189,215.80207300828636,56.50730347494675,81.82251161857234,247.5532433515927,56.50757546735699
80,-2.217526994137059E9,1098.042827432438,773.1273940818738,0.636809210428966,-0.002114106825724812,6.650958849224277E12,7.54228554429799E7,-2.1419734858999293E9,55,110,81.88606456904864,678.8938761120131,24.75328368349346,90.61121971767841,793.2070661048931,32.63139389343321,79.64995064736523,407.13238789344376,36.863326867274246,86.21249082520768,464.98184439088874,46.484713273557595,81.20070086315258,230.6712290445606,60.21615725687206,87.2791135948556,264.62794570584464,60.21666243230575
90,-2.4589595215356307E9,1154.375612938129,812.2428239534067,0.6604652994411744,-0.0020036358854540123,7.3497875101467E12,7.456727329354319E7,-2.3842635748550406E9,55,110,86.08777589803127,717.1471583418836,26.0748381293742,95.27417625046843,837.9082862539013,34.187417424222026,83.97245669355857,430.0734956264045,38.82987653369768,90.9052126340836,491.19737582893066,48.95705248336553,85.60897041602152,243.6327224067453,63.444425587209366,92.0310220980904,279.5124855647833,63.44518446766626
100,-2.6810481224807205E9,1203.7910802183098,846.5592122247917,0.6812429169912442,-0.0018142999245773712,7.991607232862542E12,7.336013275814958E7,-2.6075617993532095E9,55,110,89.77353528066143,750.7943920735073,27.235169666325767,99.3649667026676,877.2279667939166,35.551088210712564,87.76943727017775,450.24321084462855,40.556569351644434,95.02774603163138,514.2463112106785,51.127467947860026,89.48130235055858,255.0280768126705,66.27934752146231,96.20555461490027,292.59883407514553,66.28036692293834
