% Model,Evan_segmented_hall_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 23 2020, 10:27"
% Table,Probe Table 1 - 
% sig_b ,"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz) (W/m^3), Power channel density","Current density, x component (A/cm^2), Current in Load","ec.Ex*(chan_len [mm]) (V), dV Hall","ec.Ey*(chan_len [mm]) (V), dV Faraday","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity, Point: (0, 0, 0)","Applied Magnetic Field, Point: (0, 0, 0)","plasma conductivity, Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power"
10,4.774218604572934E8,-378448.32891558023,20.8295870649367,-171.06337958875233,6.467777116931957E-6,0.03810325414749515,1800,6,10,-2426425.6693791347,1778514.9938389363,-146845.0784402255
20,1.841888769425267E9,-835893.8187483622,40.9129890731877,-177.90926416012735,1.3663814189069075E-5,0.0388994981286599,1800,6,20,-4895773.115889556,3315203.941591388,-566526.6662361084
30,3.9996845162364106E9,-1366156.707000928,60.28959664867699,-184.51422810240567,2.15496673513215E-5,0.03975417469018455,1800,6,30,-7410357.123756517,4640381.313642471,-1230220.128873024
40,6.86676260603192E9,-1963621.1624433035,78.99607740631295,-190.89075184951523,3.008955281961247E-5,0.04064255334031189,1800,6,40,-9972021.266880384,5781072.94059752,-2112074.087523991
50,1.0367656269993048E10,-2623176.2832928244,97.06659718139757,-197.0504994053458,3.925011717015156E-5,0.041550537306334664,1800,6,50,-1.2582202675069723E7,6761393.2014711285,-3188876.65264199
60,1.443453161510572E10,-3340164.179846732,114.53305841698757,-203.00436502088968,4.9000237017799E-5,0.04246275046018855,1800,6,60,-1.5241989004687192E7,7602875.286073023,-4439763.477666649
70,1.9006342844433228E10,-4110331.2494064737,131.42524323376256,-208.76245195457577,5.9310838152932366E-5,0.043368920609800125,1800,6,70,-1.7952173322470877E7,8324769.688416747,-5845958.032909133
80,2.4028102921918728E10,-4929791.035724017,147.771013416154,-214.33427451784254,7.015472684570586E-5,0.04426214885909889,1800,6,80,-2.0713288017436754E7,8944288.839958876,-7390547.327982654
90,2.945023656711548E10,-5794985.996161346,163.5964607228594,-219.72873722452937,8.150643595368047E-5,0.0451400112324498,1800,6,90,-2.3525643112325266E7,9476831.499866964,-9058283.690625494
100,3.5228010354434456E10,-6702656.344267423,178.92604717399868,-224.95417687701132,9.334210055840691E-5,0.04600198782054032,1800,6,100,-2.6389364211786E7,9936188.01156896,-1.0835407127681598E7
