% Model,Evan_segmented_hall_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 6 2020, 11:27"
% Table,Probe Table 1 - 
% sig_b (S/m),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","ec.Jz*ec.Ez (W/m^3), Odd power"
10,0.5,0,8.816417501521805E7,0.0884880332183849,1800,6,10,1.5870498572771166E7,-3.710046058310035E7,-1196555.6841515636,2.003340632617707E7
20,0.5,0,1.8734629214775845E8,0.08921763856122499,1800,6,20,3.0867460593127944E7,-7.474297808857892E7,-4646759.2544053,3.922875824104857E7
30,0.5,0,2.964825966498351E8,0.08993136484326453,1800,6,30,4.504509695072421E7,-1.1284012723071976E8,-1.015510948150255E7,5.763992079849324E7
40,0.5,0,4.1460316034373105E8,0.09062866650874471,1800,6,40,5.845370770101724E7,-1.513130454678024E8,-1.7542575529408943E7,7.531676223737341E7
50,0.5,0,5.408231732221732E8,0.09131043798586355,1800,6,50,7.113993816448706E7,-1.9009054578494966E8,-2.664511757162869E7,9.230549004882897E7
60,0.5,0,6.74332884456963E8,0.0919778530577617,1800,6,60,8.314685877143107E7,-2.2910860365325585E8,-3.731306872997869E7,1.0864867615184619E8
70,0.5,0,8.143941628460674E8,0.09263053008286182,1800,6,70,9.451471540613602E7,-2.683092595755128E8,-4.940846598719717E7,1.243860781821824E8
80,0.5,0,9.603313729415355E8,0.09326792773267975,1800,6,80,1.0528083148780872E8,-3.0764031951193315E8,-6.280498892799942E7,1.3955449909612557E8
90,0.5,0,1.111526421316829E9,0.09389097038404758,1800,6,90,1.154799417651262E8,-3.4705471990908396E8,-7.738663897688086E7,1.5418813916707808E8
100,0.5,0,1.267413570647319E9,0.09450216201330393,1800,6,100,1.2514440030951948E8,-3.8651003915373737E8,-9.304683135227555E7,1.6831880749193698E8
