% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 11 2020, 15:58"
% Table,Probe Table 1 - 
% u_x ,mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,0,0,0,0,NaN,0,0,0,0,110,NaN,0,0,6,0,0,60
100,0,0,-4954492.458942719,68.50895186809196,47.95653264592121,0.6296541390358422,-0.0029110989204234323,6.467388858980096E9,78041.20795858305,-4876166.076682938,110,NaN,7407174.068982242,100,6,0,0,60
200,0,0,-1.9817969841479E7,137.0179036756464,95.9130652494657,0.6296541387592828,-0.005822197684629677,2.5869555413060966E10,312164.8322928164,-1.9504664311979808E7,110,NaN,2.962869624974777E7,200,6,0,0,60
300,0,0,-4.459043210032268E7,205.52685581737578,143.86959808693246,0.6296541396844458,-0.008733296553409571,5.820649985152324E10,702370.8691472055,-4.388549466247316E7,110,NaN,6.666456675908202E7,300,6,0,0,60
400,0,0,-7.927187932030132E7,274.0358075931856,191.82613066825837,0.6296541393116034,-0.011644395555138593,1.0347822183492543E11,1248659.325439355,-7.801865720604885E7,110,NaN,1.1851478520821854E8,400,6,0,0,60
500,0,0,-1.2386231143976049E8,342.5447594841445,239.78266333018462,0.6296541392983065,-0.01455549411731346,1.6168472161014404E11,1951030.196142369,-1.2190415188609082E8,110,NaN,1.8517935187990785E8,500,6,0,0,60
600,0,0,-1.7836172841080797E8,411.0537116014174,287.739196150536,0.6296541396337891,-0.017466593155410538,2.3282599936833197E11,2809483.4773506033,-1.7554197865864933E8,110,NaN,2.666582669930792E8,600,6,0,0,60
700,0,0,-2.427701304710833E8,479.5626631284902,335.6957285577362,0.6296541391034932,-0.020377692598359705,3.169020541585478E11,3824019.188547475,-2.3893213774178302E8,110,NaN,3.629515294586094E8,700,6,0,0,60
800,0,0,-3.170875174665996E8,548.071614694741,383.6522609923793,0.6296541387504309,-0.023288790910274415,4.139128865971264E11,4994637.3170113135,-3.1207462899428374E8,110,NaN,4.740591399823932E8,800,6,0,0,60
900,0,0,-4.0131388918101084E8,616.5805667979956,431.60879380290646,0.6296541390208081,-0.02619989016598742,5.2385849755218427E11,6321337.844878084,-3.949694522177449E8,110,NaN,5.99981099558696E8,900,6,0,0,60
