% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 16:01"
% Table,Probe Table 1 - 
% u_x ,mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","Hall parameter, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,0,0,0,0,NaN,0,0,0,0,110,NaN,0,0,6,0,0,60
100,0,0,-0.3822910850635656,0.01903026438730576,0.013321259053962746,1.7490392732277796E-4,-8.086385841463505E-7,499.02691705617246,0.006021698166915568,-0.3762473827066528,110,NaN,0.571541207795188,100,6,0,0,60
200,0,0,-1.5291643388457032,0.03806052882831136,0.026642518145515093,1.7490392756793334E-4,-1.617277167708489E-6,1996.1076738573277,0.02408679255267783,-1.5049895295335058,110,NaN,2.286164837631883,200,6,0,0,60
300,0,0,-3.440619763034089,0.05709079322651177,0.03996377720710499,1.749039275193965E-4,-2.425915741575917E-6,4491.242263668635,0.05419528329361079,-3.3862264420312362,110,NaN,5.143870881796595,300,6,0,0,60
400,0,0,-6.116657355489867,0.07612105765461108,0.053285036289623805,1.7490392756335085E-4,-3.234554346253815E-6,7984.430695007329,0.0963471702191624,-6.01995811823217,110,NaN,9.144659350044211,400,6,0,0,60
500,0,0,-9.557277121311754,0.09515132201700344,0.06660629532614497,1.7490392746973054E-4,-4.043192901682416E-6,12475.672947507033,0.15054245374159841,-9.406184562822398,110,NaN,14.28853021904891,500,6,0,0,60
600,0,0,-13.762479049353141,0.11418158648836804,0.07992755443895314,1.749039275731795E-4,-4.851831382572948E-6,17964.969065796602,0.2167811329473519,-13.54490576556959,110,NaN,20.575483539924573,600,6,0,0,60
700,0,0,-18.732263152936916,0.13321185087652987,0.09324881349351512,1.7490392753850595E-4,-5.660469937621365E-6,24452.318996470178,0.2950632089337386,-18.436121738698052,110,NaN,28.005519251504996,700,6,0,0,60
800,0,0,-24.466629432663606,0.15224211520705488,0.10657007250772889,1.749039274467381E-4,-6.469108623226885E-6,31937.722737163505,0.38538868175956154,-24.07983248274807,110,NaN,36.57863735108216,800,6,0,0,60
900,0,0,-30.965577876963078,0.17127237959753444,0.11989133156391552,1.7490392743618586E-4,-7.2777471389247E-6,40421.180334312645,0.4877575504411258,-30.476037987136355,110,NaN,46.29483789184,900,6,0,0,60
1000,0,0,-38.2291085018606,0.19030264390694718,0.13321259056335072,1.7490392735367512E-4,-8.086385708943925E-6,49902.69172339108,0.6021698163447949,-37.62473826651812,110,NaN,57.15412079987534,1000,6,0,0,60
1100,0,0,-46.25722126553972,0.20933290844881183,0.14653384972550684,1.7490392747921164E-4,-8.895024517883099E-6,60382.2570725133,0.7286254759635502,-45.52593328259627,110,NaN,69.15648626773208,1100,6,0,0,60
1200,0,0,-55.049916223551215,0.22836317281047633,0.1598551087615213,1.7490392744667929E-4,-9.703663110889554E-6,71859.87615855125,0.8671245339472617,-54.179623086251745,110,NaN,82.30193403985857,1200,6,0,0,60
1300,0,0,-64.60719330328196,0.24739343746036283,0.17317636799928934,1.749039276215731E-4,-1.0512301200500207E-5,84335.54927251945,1.0176669842561001,-63.58580761094005,110,NaN,96.59046444955743,1300,6,0,0,60
1400,0,0,-74.92905257487358,0.2664237019544296,0.1864976271279833,1.749039276698964E-4,-1.132094026491058E-5,97809.27613373414,1.1802528327048203,-73.74448692096222,110,NaN,112.0220771753579,1400,6,0,0,60
1500,0,0,-86.01549404447132,0.28545396629208614,0.19981888614718993,1.7490392761650462E-4,-1.2129578451499598E-5,112281.05671721393,1.3548820797693482,-84.655661021983,110,NaN,128.59677218864908,1500,6,0,0,60
1600,0,0,-97.86651768917038,0.3044842306121477,0.21314014515408627,1.7490392755977038E-4,-1.2938217476137378E-5,127750.89111483339,1.5415547236209848,-96.31932989293747,110,NaN,146.31454959465557,1600,6,0,0,60
1700,0,0,-110.4821234121189,0.3235144953532273,0.2264614044556854,1.7490392773588843E-4,-1.3746855758182302E-5,144218.77971488205,1.7402707561877666,-108.73549344507367,110,NaN,165.17540983808988,1700,6,0,0,60
1800,0,0,-123.86231144237325,0.34254475947278656,0.23978266332222883,1.7490392757707124E-4,-1.4555494431652245E-5,161684.72159942155,1.951030196361311,-121.90415188849165,110,NaN,185.1793518676275,1800,6,0,0,60
1900,0,0,-138.00708153331288,0.3615750240604581,0.2531039225164497,1.7490392765998368E-4,-1.5364132920872365E-5,180148.71775644788,2.173833023870376,-135.82530499690984,110,NaN,206.32637681483007,1900,6,0,0,60
2000,0,0,-152.91643387319297,0.38060528832707935,0.2664251814859312,1.749039275880201E-4,-1.617277121984072E-5,199610.7674318495,2.4086792542383275,-150.49895294300674,110,NaN,228.61648381600602,2000,6,0,0,60
2100,0,0,-168.59036835230805,0.3996355527173765,0.2797464405419928,1.7490392757668605E-4,-1.698141037461961E-5,220070.87106491686,2.655568878424852,-165.92509562613978,110,NaN,252.04967337427877,2100,6,0,0,60
2200,0,0,-185.02888497815076,0.4186658171889544,0.29306769965494006,1.7490392760011113E-4,-1.7790048459108956E-5,241529.02862619128,2.914501896898348,-182.10373305336293,110,NaN,276.6259454559105,2200,6,0,0,60
2300,0,0,-202.2319837467704,0.43769608174392266,0.30638895882627154,1.74903927654663E-4,-1.859868745915125E-5,263985.240131008,3.1854783096278845,-199.0348652207133,110,NaN,302.3453000784634,2300,6,0,0,60
2400,0,0,-220.19966484914062,0.45672634576443405,0.31971021762348373,1.7490392750124263E-4,-1.9407325795027562E-5,287439.5048148041,3.468498132015675,-216.71849230373113,110,NaN,329.2077363662769,2400,6,0,0,60
