% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 5 2020, 17:31"
% Table,Probe Table 1 - 
% beta_i (1),u_x (m/s),beta_e (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,100,0,-136.58107431732373,6.32510033687133E-6,459.1738883804801,1.9592659704624377E-6,-136.58107055204775,100,6,60,-1.9298250197256567E-9,0.0037939427782293493,-3.441738640677273E-5
0,400,0,-2185.2972170508733,6.325100421675688E-6,7346.782403925592,3.134828811976423E-5,-2185.2971568063244,400,6,60,-8.143981831730105E-9,0.015175771307180645,-1.3767184107088334E-4
0,700,0,-6692.47398973671,6.325101601662505E-6,22499.530534704147,9.600383349010908E-5,-6692.473805238872,700,6,60,-1.377333368613651E-8,0.02655760479762712,-2.4091486251847242E-4
0,1000,0,-13658.109568368867,6.3251013226131275E-6,45917.404559670256,1.959264683157993E-4,-13658.109191841691,1000,6,60,-2.0836762253670612E-8,0.037939433717469113,-3.441738238468055E-4
0,1300,0,-23082.204610964905,6.325101171102176E-6,77600.40943260204,3.311158810571085E-4,-23082.203974632746,1300,6,60,-2.7899551415435995E-8,0.04932126263701043,-4.474327146935596E-4
0,1600,0,-34964.759117600384,6.3251010754212706E-6,117548.54515401191,5.0157200050389E-4,-34964.75815368816,1600,6,60,-3.496226387867096E-8,0.060703091556551445,-5.506915362092808E-4
0,1900,0,-49305.77308827596,6.325101009124637E-6,165761.81172389892,7.07294755481781E-4,-49305.77172900861,1900,6,60,-4.2025100811727025E-8,0.07208492047609409,-6.539502878267841E-4
0,2200,0,-66105.24652299118,6.3251009601916555E-6,222240.20914226395,9.482840747103882E-4,-66105.24470059495,2200,6,60,-4.90877132198044E-8,0.08346674939563489,-7.572089704374129E-4
0,2500,0,-85363.179421747,6.3251009223710305E-6,286983.73740910727,0.0012245398870158002,-85363.17706844398,2500,6,60,-5.615049415137019E-8,0.09484857831517708,-8.604675831508893E-4
0,2800,0,-107079.57178454113,6.325100892091211E-6,359992.39652442734,0.0015360621212014774,-107079.56883256008,2800,6,60,-6.321332595412105E-8,0.10623040723471931,-9.6372612674339E-4
