% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 18:34"
% Table,Probe Table 1 - 
% beta_i ,u_x ,beta_e ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,100,0,-4954492.574931113,-68.50895235744426,-47.956532988494914,0.6296541439407775,0.0029154200296251493,6.46738895137187E9,78041.23481148068,-4876166.165761856,110,NaN,7407174.17479959,100,6,60
0,400,0,-7.927188060181305E7,-274.0358064654141,-191.82612987890016,0.6296541375014011,0.011660223395389496,1.034782209832131E11,1248659.956950477,-7.801865785288785E7,110,NaN,1.18514784232743E8,400,6,60
0,700,0,-2.4277021077426207E8,-479.562475190282,-335.69559700046017,0.6296538928486087,0.020401940425350356,3.1690180577393646E11,3824017.868585428,-2.3893221936512592E8,110,NaN,3.629512449808873E8,700,6,60
0,1000,0,-4.954493587930067E8,-685.0893251207315,-479.5651909665397,0.6296539620484701,0.02914383077647685,6.467385204483014E11,7804121.133052235,-4.8761672022012794E8,110,NaN,7.407169883445139E8,1000,6,60
0,1300,0,-8.373093713849665E8,-890.616172734138,-623.4347833107055,0.62965399768186,0.037885720860723705,1.0929882224697805E12,1.3188967603675094E7,-8.240722092920065E8,110,NaN,1.2518118510749116E9,1300,6,60
0,1600,0,-1.2683504842051864E9,-1096.1426638313897,-767.3041260918858,0.6296538156696524,0.04660491092788823,1.65564983791307E12,1.9978560241322726E7,-1.248298915523084E9,110,NaN,1.896234603193218E9,1600,6,60
0,1900,0,-1.788572198784948E9,-1301.6695938067805,-911.1737760897637,0.6296539027301885,0.05534475320899344,2.334725614273438E12,2.8172883545721382E7,-1.7602963644013343E9,110,NaN,2.6739878187813225E9,1900,6,60
0,2200,0,-2.39797484672512E9,-1507.1964312247435,-1055.0433612970444,0.6296539276446775,0.0640869081323747,3.1302140898899873E12,3.777195928708218E7,-2.3600648599661293E9,110,NaN,3.585069823782375E9,2200,6,60
0,2500,0,-3.096558346819754E9,-1712.7232813704743,-1198.9129554137864,0.6296539512274151,0.07282877486309632,4.0421156044426255E12,4.8775776708254896E7,-3.0476043329983616E9,110,NaN,4.629481007235664E9,2500,6,60
0,2800,0,-3.884322711739586E9,-1918.2501301563059,-1342.7825485786798,0.6296539693133515,0.08157067317421939,5.07043010508422E12,6.118433743461484E7,-3.822914794379567E9,110,NaN,5.807221308614728E9,2800,6,60
