% Model,Evan_segmented_hall.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 12 2020, 10:32"
% Table,Probe Table 1 - 
% u_x ,"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz) (W/m^3), Power channel density","Current density, x component (A/cm^2), Current in Load","ec.Ex*(chan_len [mm]) (V), dV Hall","ec.Ey*(chan_len [mm]) (V), dV Faraday","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity, Point: (0, 0, 0)","Applied Magnetic Field, Point: (0, 0, 0)","plasma conductivity, Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power"
300,2.980083936553134E9,-1532466.4536567105,83.1139392253194,-39.02935367561186,1.8176366971489136E-5,0.15046000981168317,300,6,60,-9415272.453261143,2172267.4004416293,-2666524.330809696
400,5.297860296405609E9,-2724375.2718525436,110.81788801800214,-52.03894895250176,2.423514234593885E-5,0.1504595151865731,400,6,60,-1.6738230099632688E7,3861797.7703407337,-4740489.904451245
500,8.2779148103091E9,-4256832.368596257,138.52242777148777,-65.04862650464197,3.0293914959659127E-5,0.15045938545037713,500,6,60,-2.6153495336372748E7,6034069.870990064,-7407013.9328385955
600,1.1920210234540863E10,-6129837.509116781,166.2270033245406,-78.05833508493366,3.6352689074994154E-5,0.1504593584770457,600,6,60,-3.76610466109033E7,8689071.148826184,-1.0666098911869138E7
700,1.6224705042700577E10,-8343374.932187409,193.93135115534372,-91.06789382546259,4.241143425460095E-5,0.15045911760749237,700,6,60,-5.1260852884988226E7,1.1826787325373184E7,-1.4517744435310591E7
800,2.119148019295237E10,-1.0897475923935007E7,221.6359800196726,-104.07765750521294,4.847021742320462E-5,0.15045920064762278,800,6,60,-6.695296547578954E7,1.5447236194540167E7,-1.896195128455137E7
900,2.682046251290345E10,-1.3792120267122237E7,249.34045611054484,-117.08738748314781,5.4529007210851185E-5,0.150459231757989,900,6,60,-8.473731089929931E7,1.9550375461760838E7,-2.3998716408702187E7
1000,3.31116674106788E10,-1.702731398892638E7,277.0448897197869,-130.09713949635994,6.058780064375883E-5,0.15045926285112612,1000,6,60,-1.0461394695010598E8,2.4136254644287176E7,-2.9628041929213434E7
1100,4.006512875335644E10,-2.0603057910876684E7,304.7494212357428,-143.1069135314571,6.664659151682632E-5,0.15045931186006944,1100,6,60,-1.2658288279187974E8,2.920487034677481E7,-3.584992865998812E7
1200,4.7680816461212326E10,-2.451934956367355E7,332.4539213164685,-156.11668662036084,7.270538426321473E-5,0.15045935386035297,1200,6,60,-1.5064409926095542E8,3.4756212615498155E7,-4.266437806690582E7
1300,5.595866289734267E10,-2.877618690702659E7,360.1581795557871,-169.12644138511808,7.876418232439802E-5,0.15045938126142802,1300,6,60,-1.7679754866563174E8,4.079024761675823E7,-5.007139878022257E7
1400,6.48986844876999E10,-3.337356892121528E7,387.86229686077274,-182.13617781991715,8.482298370860678E-5,0.15045940628541168,1400,6,60,-2.050432356926658E8,4.730697788138408E7,-5.807099067714377E7
1500,7.450114816491797E10,-3.8311512034683235E7,415.56704589312346,-195.14599361614245,9.088177468545004E-5,0.15045946725300352,1500,6,60,-2.3538134163700286E8,5.43065251345548E7,-6.666312162881204E7
1600,8.476576058150429E10,-4.3589994066260435E7,443.2715411923416,-208.15575709299117,9.694057211083575E-5,0.15045949132902503,1600,6,60,-2.6781166280029786E8,6.178874670828151E7,-7.584782774930829E7
1700,9.569261618221234E10,-4.920903207088938E7,470.97605995216634,-221.16554465719273,1.0299935896049309E-4,0.15045951401534036,1700,6,60,-3.023343488540447E8,6.975378660444035E7,-8.56250905000844E7
1800,1.0728179505109123E11,-5.516861786524885E7,498.6807843909186,-234.17534553918128,1.0905813811808632E-4,0.15045954657914906,1800,6,60,-3.389493642259119E8,7.820158467949449E7,-9.599488789042331E7
1900,1.1953321871688203E11,-6.146875867266784E7,526.3855092517764,-247.18516989042467,1.1511692156588766E-4,0.15045959091646322,1900,6,60,-3.776566985907448E8,8.713213614692743E7,-1.0695724697619034E8
2000,1.3244687244943779E11,-6.81094364220312E7,554.0902036597125,-260.19495028806205,1.2117570622344534E-4,0.1504596092614166,2000,6,60,-4.184562320034766E8,9.654533353788495E7,-1.1851218144287612E8
