% Model,Evan_segmented_hall_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 4 2020, 17:33"
% Table,Probe Table 1 - 
% u_x (m/s),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz) (W/m^3), Power channel density","Current density, x component (A/cm^2), Current in Load","ec.Ex*(chan_len [mm]) (V*m), dV Hall","ec.Ey*(chan_len [mm]) (V*m), dV Faraday","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","(sig_b/gamma)*((1-beta_i)*ec.Ex^2+beta*ec.Ex*u_x*B_app) (W/m^3), Power_out_ideal_v1","beta_i*ec.Ex^2*sig_b/gamma (W/m^3), Missing_power","ec.Jz*ec.Ez (W/m^3), Odd power"
300,1.6930639109388664E8,-594605.2813255333,2.7109057229104008,-0.7527099715279012,1.5600169618700984E-6,0.4225249278777687,300,6,60,-3.373791131579098E7,2.3156530065288607E7,-5343017.655415243,-1.5932010888557415E7,0,5238363.595087204
400,3.0098907284238297E8,-1057102.2031838344,3.614541024914585,-1.003613290124958,2.080022516158513E-6,0.42252492570975175,400,6,60,-5.99784813667698E7,4.1167125886972584E7,-9498711.775182903,-2.8323587966883007E7,0,9312643.70461242
500,4.7029548716065645E8,-1651722.2629134594,4.518176416459847,-1.254516678566546,2.60002822151409E-6,0.4225249478690151,500,6,60,-9.371638660661258E7,6.432364764972802E7,-1.4841732139480617E7,-4.425560394026348E7,0,1.4551006817408092E7
600,6.772255731102879E8,-2378480.3431816124,5.421811835629943,-1.505420074643127,3.1200339414591295E-6,0.42252496478379087,600,6,60,-1.3495160790489042E8,9.262606879512955E7,-2.1372088064634293E7,-6.372806690628355E7,0,2.0953451045115594E7
700,9.217789712388569E8,-3237356.4001187277,6.32544589072672,-1.7563231954197958,3.6400391366805693E-6,0.4225249102743305,700,6,60,-1.8368403609818935E8,1.2607423625497682E8,-2.908983192495404E7,-8.674102203747936E7,0,2.851996791824497E7
800,1.2039563368784509E9,-4228387.518289398,7.2290813305112,-2.0072265939186202,4.160044859914477E-6,0.42252492816967785,800,6,60,-2.3991387170820403E8,1.6466843085816014E8,-3.79948679298964E7,-1.1329438618806116E8,0,3.725057292015669E7
900,1.523757363006237E9,-5351556.097169557,8.132716748014898,-2.2581299908277694,4.680050605836318E-6,0.422524941790828,900,6,60,-3.036410218642522E8,2.0840852249220088E8,-4.8087240489457496E7,-1.4338819767069083E8,0,4.714525888258644E7
1000,1.881182048255761E9,-6606864.763128507,9.03635218413454,-2.5090333851882463,5.200056304036594E-6,0.4225249522579327,1000,6,60,-3.748654860153951E8,2.5729451026396686E8,-5.936695020666E7,-1.7702245668576092E8,0,5.820402554474757E7
1100,2.276230354439657E9,-7994307.358008608,9.939987540522932,-2.759936766897919,5.720062000903873E-6,0.42252495888723574,1100,6,60,-4.535872584155575E8,3.113263853124762E8,-7.183400043880713E7,-2.141971649338627E8,0,7.042687266426857E7
1200,2.708902296083468E9,-9513890.598837694,10.843622874142019,-3.010840146177557,6.240067670755399E-6,0.4225249640700575,1200,6,60,-5.398063407903539E8,3.7050415036878794E8,-8.548839037106432E7,-2.5491232171938166E8,0,8.381380005050081E7
1300,3.179198093732597E9,-1.1165605138879566E7,11.747258397721273,-3.2617435758637328,6.760073494213175E-6,0.4225249749835688,1300,6,60,-6.335227692062781E8,4.34827861200142E8,-1.0033009545417373E8,-2.991679176805247E8,0,9.836481255200881E7
1400,3.68711734702232E9,-1.2949462696339587E7,12.650893700313576,-3.5126469555583406,7.280079162923721E-6,0.422524978326222,1400,6,60,-7.347364788468844E8,5.042974174950112E8,-1.1635915959708802E8,-3.46963969813893E8,0,1.1407990175480986E8
1500,4.232660186351124E9,-1.4865463663471142E7,13.554529065580542,-3.7635503080677943,7.800084797401058E-6,0.4225249781720258,1500,6,60,-8.434474907544193E8,5.789128515354445E8,-1.3357556948733877E8,-3.9830047271556777E8,0,1.309590697316371E8
1600,4.815826742475432E9,-1.691358763929073E7,14.458164324124496,-4.0144536901923855,8.32009047426644E-6,0.4225249811545548,1600,6,60,-9.596558264499716E8,6.586741973414537E8,-1.5197930796166822E8,-4.5317742073223346E8,0,1.4900232114684263E8
1700,5.436614715427207E9,-1.9093960329041123E7,15.361793283043442,-4.2653560659128305,8.840094585378438E-6,0.42252488422770995,1700,6,60,-1.083360671134157E9,7.435802027148187E8,-1.7157088480825618E8,-5.1159523180349356E8,0,1.6820958361108956E8
1800,6.095028660816473E9,-2.1406372661424812E7,16.26542880352503,-4.516259492440922,9.360100431643723E-6,0.42252489624986994,1800,6,60,-1.2145636181696024E9,8.336333154731549E8,-1.9234930668161067E8,-5.735530917809064E8,0,1.8858099601481497E8
1900,6.791066181748488E9,-2.3850921585025135E7,17.16906420950185,-4.767162894002351,9.880106126308013E-6,0.42252490479437627,1900,6,60,-1.35326386761541E9,9.28832306528152E8,-2.1431507325128585E8,-6.390514017673965E8,0,2.101164878360697E8
2000,7.524727158747123E9,-2.642760952821356E7,18.07269951269321,-5.018066255819782,1.0400111799241457E-5,0.42252490913937646,2000,6,60,-1.499461398801337E9,1.0291771436199361E9,-2.3746819874619734E8,-7.080901681112616E8,0,2.3281605643525267E8
