% Version,COMSOL 5.5.0.359,,,,,,,,,,,,
% Date,"Dec 3 2020, 14:50",,,,,,,,,,,,
% Model,Evan_continuous_faraday_v4.mph,,,,,,,,,,,,
% Table,Probe – Table1,,,,,,,,,,,,
% B_app (T),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
2,0.04,0,259852198.521974,-39729536.1204262,6134286.63709381,-33496643.3747695,0.09579919730332,1800,2,60,-97.8567570400269,239.358341179764,-0.043091447330957
2,0.04,0.03,262178722.660878,-40119077.3855239,6152262.0966462,-33868043.8575881,0.096028480060285,1800,2,60,-98.2986864742648,240.427472119584,-0.04344187406325
2,0.04,0.06,264536540.038821,-40513989.9339227,6170265.96320132,-34244786.4477683,0.096260083489809,1800,2,60,-98.7443588945174,241.50615471473,-0.04363058205053
2,0.04,0.09,266926253.63339,-40914374.2510901,6188292.70820576,-34626977.1616506,0.096494024051577,1800,2,60,-99.1941378761969,242.594535559048,-0.044066731208517
2,0.04,0.12,269348393.041204,-41320306.9028704,6206344.51442182,-35014690.2408003,0.096730469192523,1800,2,60,-99.6491562899468,243.692724285515,-0.04415435003634
2,0.04,0.15,271803573.612056,-41731950.0749429,6224410.07603718,-35408099.5390592,0.096969222355595,1800,2,60,-100.106062398666,244.800866007462,-0.044980429649221
4,0.04,0,1019070688.13671,-148888712.065239,14040808.2526812,-134408840.177912,0.099590978952454,1800,4,60,-390.277455047693,474.010021517437,-0.075524257983539
4,0.04,0.03,1055528729.00777,-154612153.833151,13742628.6697641,-140425848.121874,0.100623239468296,1800,4,60,-397.337007731721,482.414549737124,-0.077656901551361
4,0.04,0.06,1093957158.51257,-160644401.409488,13401430.3275079,-146794506.130498,0.101698900263225,1800,4,60,-404.654698933147,491.117631452398,-0.082393235126186
4,0.04,0.09,1134498147.85718,-167007292.948673,13012352.7505456,-153541500.600232,0.102820964490839,1800,4,60,-412.241558209981,500.135018657441,-0.084561982602669
4,0.04,0.12,1177306967.28875,-173724341.868562,12569844.2691791,-160695881.582562,0.103990917343137,1800,4,60,-420.117256353553,509.483619754144,-0.083964778848676
