% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 4 2021, 09:54"
% Table,Accumulated Probe Table 2 - 
% L (m),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.055,5.494517250549297E7,0.07046248855168369,1.612146943953926E8,7.253265216510479E7,1.2848483627600858E8,1800,6,60,-2.260851068055947,59.62956746690281,0.3744401474309946
0.06,8.953752640927273E7,0.0923085241904517,3.063592621996296E8,1.2523022684971964E8,2.1665043659846926E8,1800,6,60,0.7932652024944965,82.2005748083831,0.9523594267122976
0.065,8.635348203327884E7,0.09226420394203792,3.1335871091710496E8,1.2408110886679238E8,2.1207089597950748E8,1800,6,60,-2.205579593227802,83.1342977175128,1.040802187897419
0.07,8.623505109569155E7,0.09197956509758462,3.1253865578073144E8,1.2366930145618747E8,2.1161867212483457E8,1800,6,60,0.3981674536136728,83.0254459138761,1.0869952098935276
0.075,8.931315309363358E7,0.09221511638055913,3.115315917705528E8,1.2587388516872424E8,2.1715289034357047E8,1800,6,60,-3.063174355135785,82.891575443494,0.5075731556417249
0.08,8.529695192644233E7,0.09148174361197867,3.116664746219292E8,1.2283699715958555E8,2.098651738022627E8,1800,6,60,-2.741579206852569,82.90951807397275,-0.09970358217951986
0.08499999999999999,8.562321644858243E7,0.09134169492266284,3.112264911618767E8,1.230547126769643E8,2.10432537022678E8,1800,6,60,0.32075558506312885,82.85097529143997,0.34172218056174525
0.09,8.315262233901687E7,0.09081438233974898,3.112560583754484E8,1.2124567908790007E8,2.05825365564391E8,1800,6,60,-1.1327911191154219,82.85491222247815,0.6341794269190902
0.095,8.015519788380368E7,0.09013692852411406,3.1156667115916246E8,1.1843202257534632E8,1.9970614243308207E8,1800,6,60,-3.1495402075191143,82.89624376687156,-0.7555203445094424
0.1,8.32778362339486E7,0.09057923501018246,3.1075842727143437E8,1.2038288361060843E8,2.0509491655932343E8,1800,6,60,-4.923671915330167,82.78865246522702,1.4477485726679988
