% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 4 2021, 10:12"
% Table,Probe Table 1 - 
% L (m),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.055,-8.263864633222597E8,0.3128424952041082,5.138968698446324E9,2.3819057279775925E7,-8.022375831014277E8,1800,6,60,-1.286087497736424,3366.0143519978183,0.21993380671872093
0.06,-1.6362785603497422E9,0.4294941225992734,9.708554761838903E9,3.624222392286537E7,-1.5994692364751856E9,1800,6,60,0.4272017908527874,4626.528794889832,0.5271520415160535
0.065,-1.679661034204525E9,0.43291997380334085,9.875291890679306E9,3.4297277282496035E7,-1.6448857283360565E9,1800,6,60,-1.2111373187066299,4666.088243792098,0.5703759443406842
0.07,-1.678463769536097E9,0.4315374323958748,9.812959807236654E9,3.3149349417882685E7,-1.6448230067678611E9,1800,6,60,0.20144126758293768,4651.338937681037,0.5898305286330192
0.075,-1.6772779292840252E9,0.43050401050670695,9.759775914388239E9,3.309177170531774E7,-1.6436259139097764E9,1800,6,60,-1.6098521007829156,4638.7172410732755,0.2739040018230971
0.08,-1.678490832310838E9,0.4297630594676442,9.733459250283466E9,3.1675420623443704E7,-1.6463289552883365E9,1800,6,60,-1.4459099603673333,4632.459004768039,-0.06316592114869551
0.08499999999999999,-1.6781012850440764E9,0.4291304780592709,9.702876616491709E9,3.1436044669757314E7,-1.6461730928154635E9,1800,6,60,0.1844304934827294,4625.175661188587,0.17333464257817208
0.09,-1.6786862371333354E9,0.4286568792166623,9.684824362828842E9,3.0703687529166505E7,-1.647587635739337E9,1800,6,60,-0.5721283327108939,4620.871076937278,0.3363183100101179
0.095,-1.6794255427928984E9,0.428282633237605,9.674671881635422E9,2.983500797703334E7,-1.6492721617853036E9,1800,6,60,-1.748619424887599,4618.448440971407,-0.37339469330260383
0.1,-1.6780437489438324E9,0.42781988064722376,9.648647051227968E9,3.037851073111711E7,-1.647270800338291E9,1800,6,60,-2.6405835444642864,4612.232453724441,0.7548930922733775
