% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 4 2021, 11:23"
% Table,Probe Table 1 - 
% L (m),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.055,0.16,0,-8.040715532619293E8,0.30904880959063064,5.010138510595727E9,2.1910057485270124E7,-7.818121284445045E8,1800,6,60,-39.62941092995386,3323.554796123737,0.23028692021987915
0.055,0.16,0.1,-9.001054013429414E8,0.32620718965666906,5.596815793097474E9,2.1894863961224347E7,-8.778752920205815E8,1800,6,60,-41.47668068072498,3512.760040815388,0.23903036041194745
0.055,0.16,0.2,-1.0131035832281939E9,0.34538574652422516,6.288135637973207E9,2.164864651778983E7,-9.911365736640705E8,1800,6,60,-43.44324416760376,3723.3934267991235,0.24609411052362518
0.055,0.16,0.30000000000000004,-1.146698815274759E9,0.366904598462347,7.1076799192699E9,2.1060791726726938E7,-1.1253396019418051E9,1800,6,60,-45.50485472976581,3958.602623668323,0.25209508201356706
0.055,0.16,0.4,-1.3050036097454607E9,0.3910907066133083,8.083489664966275E9,1.996185357660751E7,-1.2847665229559388E9,1800,6,60,-47.599259937888895,4221.603302227741,0.25465654015602585
0.055,0.16,0.5,-1.4918689357795165E9,0.41812467474367443,9.245468692401157E9,1.808487301961685E7,-1.4735351600209234E9,1800,6,60,-49.580991663253215,4514.840823786181,0.2534242024984705
0.055,0.45,0,-6.725458474142958E8,0.28545537653123365,4.2438291311469817E9,1.057529072254394E7,-6.615551090377345E8,1800,6,60,-103.81215247793558,3058.8411356731935,0.22739048504859663
0.055,0.45,0.1,-7.311534785471609E8,0.2971597355830205,4.613235942631923E9,8401564.121956967,-7.223394084093126E8,1800,6,60,-108.0618158956465,3189.1930626096,0.2321815764180885
0.055,0.45,0.2,-7.928648991782203E8,0.30918673238076,5.006548719325035E9,5451214.972227064,-7.870042380241927E8,1800,6,60,-112.37325955844145,3322.3639102968714,0.23368113954383324
0.055,0.45,0.30000000000000004,-8.55018315172245E8,0.3211145409554059,5.410132014532124E9,1459526.3089399997,-8.53152181885368E8,1800,6,60,-116.55532831258998,3453.6785118010093,0.2326568522880368
