% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 9 2021, 13:48"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.06,0,0,-1.6362785602683947E9,0.429494122525395,9.708554758421337E9,3.624222393316253E7,-1.5994692363833742E9,1800,6,60,0.42720179305835476,4626.5287940755425,0.5271520398252032
0.06,0,0.01,-1.6362785603142946E9,0.42949412256683583,9.708554760338057E9,3.624222392673762E7,-1.5994692364357908E9,1800,6,60,0.42720179428009314,4626.528794532228,0.5271520390129655
0.06,0.3,0,-2.4093276309003592E8,0.1882752569235774,1.5583117334804246E9,-1.5491184847588557E8,-3.950804482398882E8,1800,6,60,-742.3282491274166,1853.5535929028326,0.47448275332789047
0.06,0.3,0.01,-2.2260126851712623E8,0.18125506412610878,1.4316988006719184E9,-1.737545035614276E8,-3.956502468226368E8,1800,6,60,-773.3358936444745,1776.6578853447415,0.4659414043189413
0.06,0.6,0,-3.226882091988106E7,0.09351560408768167,2.1594683154861096E8,-1.4818053754227948E8,-1.802013607113455E8,1800,6,60,-979.6901806715963,690.0036615245488,0.6467254224207741
0.06,0.6,0.01,-2.3748000414019708E7,0.08621705245683431,1.5002698686828434E8,-1.7299172979922524E8,-1.9656640059681827E8,1800,6,60,-1095.5237251963108,575.125562052992,0.6453061523942893
0.06,1.6,0,-279460.6305038993,0.09612330011943415,6212871.828485829,-1.1433476161559731E8,-1.14575409057868E8,1800,6,60,-1784.9005365013468,117.03726767454732,0.48513563530866627
0.06,1.6,0.01,1297570.9406911677,0.2095423043995817,1209069.9625823866,-2.5023700486135283E8,-2.489153151142208E8,1800,6,60,-3857.3152663107294,51.630186421827844,0.21469185750585745
0.1,0,0,-1.6780437488819046E9,0.42781988057427767,9.648647047922731E9,3.0378510725581348E7,-1.6472708002818522E9,1800,6,60,-2.6405835213798032,4612.232452934464,0.7548931161358485
0.1,0,0.01,-1.6780437488695767E9,0.42781988056075937,9.648647047308964E9,3.0378510725099318E7,-1.6472708002699938E9,1800,6,60,-2.640583517480234,4612.232452787781,0.7548931200815135
0.1,0.3,0,-2.7604642875653094E8,0.21822344972283148,1.8333713663102345E9,-3.1311792975888324E8,-5.883840837264404E8,1800,6,60,-1585.552598573256,2010.4959352451656,0.38057421538775654
0.1,0.3,0.01,-2.6043976448098633E8,0.21428262921315677,1.716163471741361E9,-3.552716246684639E8,-6.149737883872752E8,1800,6,60,-1676.3069308460756,1945.1688413070126,0.36330452629544024
0.1,0.6,0,-3.607269191302009E7,0.15954290006360478,2.9273917570482945E8,-3.309257079124624E8,-3.6668836124827766E8,1800,6,60,-2295.449003204371,803.3751612461789,0.8190690309412961
0.1,0.6,0.01,-2.6212566605400607E7,0.17147856015758808,2.1137924481204006E8,-3.970628416540462E8,-4.230365020776982E8,1800,6,60,-2634.4927518889326,682.6673750984078,0.8718833095811276
0.1,1.6,0,6927143.240692693,0.2731409934718417,9675796.71340753,-2.783279924194599E8,-2.7130671435167223E8,1800,6,60,-4509.894402187119,146.05665324330724,0.9411136094927244
0.1,1.6,0.01,1.984401716088966E7,0.6194016752909393,1969919.7059211396,-6.199080090650969E8,-5.998983850711095E8,1800,6,60,-9896.700913681507,65.90255308234072,0.6102735303977529
0.14,0,0,-1.679542002634483E9,0.4267306686854819,9.602912474291422E9,2.7953086965557575E7,-1.650918609752718E9,1800,6,60,-1.1617484629187913,4601.288488620499,-0.733370665932591
0.14,0,0.01,-1.6795420026909018E9,0.4267306687388989,9.602912476722118E9,2.7953086963000644E7,-1.650918609811811E9,1800,6,60,-1.1617484750672615,4601.288489202834,-0.7333706576666593
0.14,0.3,0,-2.945545197094388E8,0.23696423864997693,2.0270254601147738E9,-3.5969350637499E8,-6.526739968554685E8,1800,6,60,-1924.4019108830746,2114.012640439836,-2.6976172843455
0.14,0.3,0.01,-2.8055907758908284E8,0.23558639486775532,1.92286667412331E9,-4.079620547305876E8,-6.869713168128846E8,1800,6,60,-2034.252555561096,2058.982067885611,-2.770568385251219
0.14,0.6,0,-3.901563518055487E7,0.1993690794102981,3.6006012476698583E8,-3.824906284416397E8,-4.2066240703922635E8,1800,6,60,-2768.9439259026167,890.9749456761913,-3.1620893798135286
0.14,0.6,0.01,-2.7916404373184737E7,0.21981005652872704,2.686658134482525E8,-4.555929142725825E8,-4.828129258004831E8,1800,6,60,-3147.992666322647,769.6338878197889,-3.048167530681907
0.14,1.6,0,1.2059025912300097E7,0.3627249980220433,1.3474823898676965E7,-3.1322004103971535E8,-3.008609379234568E8,1800,6,60,-5228.55624093895,172.36120714583288,-1.4429508301475293
0.14,1.6,0.01,3.548235899192623E7,0.8296905706542607,2913612.9503090144,-6.885094139229891E8,-6.522986553890951E8,1800,6,60,-11282.057586402736,80.14822475337117,-0.21766758295251853
