% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 9 2021, 15:08"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W/m^3), Joule Heating"
0.06,0,0,-1.6362785602991147E9,0.4294941225528241,9.708554759689972E9,3.6242223928258866E7,-1.5994692364190524E9,1800,6,60,0.4272017961577312,4626.528794377817,0.5271520369794127,-4.323477382945847E8
0.06,0,0.01,-1.6362785602731073E9,0.4294941225296119,9.708554758616508E9,3.624222393253176E7,-1.5994692363887289E9,1800,6,60,0.42720179320729623,4626.528794122029,0.5271520397950952,-4.3234773829308426E8
0.06,0.3,0,-2.4093276305293125E8,0.18827525689885152,1.558311732977299E9,-1.549118484760161E8,-3.9508044820286316E8,1800,6,60,-742.3282491075537,1853.5535926036098,0.4744827633810477,3.7519192849009335E8
0.06,0.3,0.01,-2.2260126848683757E8,0.1812550641034806,1.431698800254577E9,-1.7375450356122738E8,-3.956502467921017E8,1800,6,60,-773.3358936234964,1776.657885085793,0.46594140493078195,4.546500653286928E8
0.06,0.6,0,-3.226882093228205E7,0.09351560409971495,2.1594683168233842E8,-1.4818053753325003E8,-1.8020136071473902E8,1800,6,60,-979.6901806334356,690.0036617381955,0.6467254233865797,5.0496723671861804E8
0.06,0.6,0.01,-2.3748000412619833E7,0.0862170524535793,1.5002698685635102E8,-1.7299172979820555E8,-1.9656640059439695E8,1800,6,60,-1095.5237251851215,575.1255620301199,0.6453061519964931,6.471567829966733E8
0.06,1.6,0,-279460.6305793122,0.09612330012151853,6212871.827476364,-1.143347616147736E8,-1.1457540905711868E8,1800,6,60,-1784.9005364903733,117.03726766503911,0.4851356355899941,4.998464600022101E8
0.06,1.6,0.01,1297570.94050902,0.20954230439207572,1209069.9627360655,-2.5023700485756803E8,-2.4891531511061853E8,1800,6,60,-3857.3152662508633,51.63018642510744,0.21469185768945637,1.1547167705417109E9
0.1,0,0,-1.678043748915238E9,0.4278198806126939,9.648647049664463E9,3.0378510728046995E7,-1.6472708003127458E9,1800,6,60,-2.640583532989643,4612.2324533507535,0.7548931043515085,1.5509824367726496E8
0.1,0,0.01,-1.678043748923934E9,0.42781988062701676,9.648647050308247E9,3.037851073128169E7,-1.6472708003182049E9,1800,6,60,-2.640583541182893,4612.23245350462,0.7548930962945866,1.5509824372318906E8
0.1,0.3,0,-2.760464287602497E8,0.218223449728866,1.8333713663859646E9,-3.131179297657518E8,-5.883840837370039E8,1800,6,60,-1585.552598617853,2010.4959352866829,0.38057421440583866,6.765902201876103E8
0.1,0.3,0.01,-2.604397644536226E8,0.21428262919765695,1.7161634713882833E9,-3.5527162467863566E8,-6.149737883700545E8,1800,6,60,-1676.3069308538268,1945.1688411069254,0.3633045249140021,7.864451347040648E8
0.1,0.6,0,-3.60726919094701E7,0.1595429000563345,2.927391756760311E8,-3.309257079066819E8,-3.666883612389359E8,1800,6,60,-2295.449003146045,803.3751612066641,0.8190690288558972,7.887934255021368E8
0.1,0.6,0.01,-2.6212566609785795E7,0.1714785601648205,2.113792448506883E8,-3.9706284165686303E8,-4.230365020848969E8,1800,6,60,-2634.4927519318358,682.6673751608165,0.8718833101205203,1.0107887102224712E9
0.1,1.6,0,6927143.2407589415,0.27314099347092596,9675796.712582817,-2.7832799242260736E8,-2.7130671435475487E8,1800,6,60,-4509.894402243084,146.05665323708828,0.9411136084509301,7.865566230833982E8
0.1,1.6,0.01,1.9844017158095498E7,0.6194016752875142,1969919.7059421453,-6.199080090542028E8,-5.998983850630105E8,1800,6,60,-9896.700913534401,65.90255308269927,0.6102735301431496,1.8295376468751519E9
0.14,0,0,-1.6795420026622448E9,0.42673066871015036,9.602912475415983E9,2.7953086963415302E7,-1.6509186097826865E9,1800,6,60,-1.1617484660600401,4601.288488889911,-0.7333706640706493,2.0550443193480146E8
0.14,0,0.01,-1.6795420026704047E9,0.42673066872038123,9.602912475878462E9,2.7953086964401405E7,-1.6509186097898707E9,1800,6,60,-1.161748472974759,4601.288489000705,-0.7333706593451635,2.0550443197934526E8
0.14,0.3,0,-2.945545197071918E8,0.23696423865004196,2.0270254600985072E9,-3.5969350637253803E8,-6.526739968507801E8,1800,6,60,-1924.4019108709115,2114.0126404313482,-2.697617284637742,5.596645665395727E8
0.14,0.3,0.01,-2.805590775806312E8,0.23558639486926275,1.9228666740542545E9,-4.079620547311013E8,-6.869713168049982E8,1800,6,60,-2034.25255556904,2058.9820678486426,-2.7705683896093056,6.475504436184453E8
0.14,0.6,0,-3.9015635192240864E7,0.19936907938072485,3.6006012474760014E8,-3.824906284065559E8,-4.2066240701570225E8,1800,6,60,-2768.943925670426,890.9749456522064,-3.16208937991543,6.446204450826455E8
0.14,0.6,0.01,-2.7916404366646886E7,0.2198100565670693,2.6866581344742054E8,-4.555929142904017E8,-4.828129258118002E8,1800,6,60,-3147.992666470507,769.6338878185995,-3.04816753213908,8.249514167665106E8
0.14,1.6,0,1.2059025913396105E7,0.3627249980289439,1.3474823896694053E7,-3.132200410445068E8,-3.008609379271418E8,1800,6,60,-5228.556241021802,172.36120713315077,-1.4429508311948156,6.396905782110304E8
0.14,1.6,0.01,3.548235899094297E7,0.8296905706480714,2913612.950245416,-6.88509413917661E8,-6.522986553847499E8,1800,6,60,-11282.057586314206,80.14822475249785,-0.21766758289463095,1.4825699290634713E9
0.2,0,0,-1.6835952266362178E9,0.425489541142835,9.569838984645294E9,2.336727136468184E7,-1.6597889556361187E9,1800,6,60,-3.8563475152667346,4593.357976254148,-0.9059775778886461,1.814280549853307E8
0.2,0,0.01,-1.6835952266645E9,0.42548954116881116,9.569838985829025E9,2.336727136403106E7,-1.6597889556651602E9,1800,6,60,-3.8563476003644808,4593.35797653822,-0.9059775899704814,1.8142805499409452E8
0.2,0.3,0,-3.139417422459103E8,0.25593791398442484,2.224244521058961E9,-3.96629892853164E8,-7.089208492019119E8,1800,6,60,-2237.1724067221467,2214.4671497189997,-3.607592395891089,4.142764618439229E8
0.2,0.3,0.01,-3.0184063860134625E8,0.25720667719117496,2.1388017040997505E9,-4.504136839160432E8,-7.506140898083259E8,1800,6,60,-2369.8097175393423,2171.517022659206,-3.7114133298524705,4.787841975714079E8
0.2,0.6,0,-4.2237510249953605E7,0.23671327902234682,4.440551378248475E8,-4.314998187804776E8,-4.7265598553916115E8,1800,6,60,-3256.1517361160822,989.4558649441409,-5.402548439326449,4.793065074075775E8
0.2,0.6,0.01,-2.9832401383321792E7,0.2643400389819168,3.4491578788726354E8,-5.126819147694038E8,-5.415368176839638E8,1800,6,60,-3684.138558933652,872.0362012367101,-5.465778433963439,6.13697429362164E8
0.2,1.6,0,1.791547686993141E7,0.4500186410504396,1.9726841344987765E7,-3.4751999644610614E8,-3.288887758574458E8,1800,6,60,-5970.934772617549,208.54834768667843,-3.4102526136178133,4.7464598353718793E8
0.2,1.6,0.01,4.742381423105467E7,1.0604549789205566,4729178.780823139,-7.4797047135133E8,-6.984913226824399E8,1800,6,60,-12662.368797109359,102.11060364182404,0.027383647773820626,1.0925019527174158E9
0.25,0,0,-1.6808444161939178E9,0.42327467068195185,9.46331128966775E9,2.372053471704918E7,-1.6567471030927649E9,1800,6,60,1.797292446082778,4567.720708781497,0.010955727010501265,1.6010856203944677E8
0.25,0,0.01,-1.680844416199175E9,0.4232746706862741,9.463311289863815E9,2.372053471662649E7,-1.6567471030984502E9,1800,6,60,1.79729243605662,4567.7207088288205,0.010955726402704839,1.6010856204023024E8
0.25,0.3,0,-3.194528442333772E8,0.26529179198852504,2.3168215779294987E9,-4.2259104672852135E8,-7.406672429329184E8,1800,6,60,-2452.983322786284,2260.082397885022,-1.4375309872558812,3.382199595347499E8
0.25,0.3,0.01,-3.086280898684028E8,0.26853397265878004,2.245524907266475E9,-4.809721902960567E8,-7.881965652439644E8,1800,6,60,-2604.3740087515275,2225.0353568682685,-1.5636397891261236,3.9086107823886657E8
0.25,0.6,0,-4.164859087958029E7,0.25889149386787935,4.95655451744949E8,-4.6835584267315155E8,-5.09019519452154E8,1800,6,60,-3610.459459224735,1045.3649195163482,-2.819743548939412,3.930077139960035E8
0.25,0.6,0.01,-2.8695844519086745E7,0.29112659540619334,3.948510204184779E8,-5.574238301006837E8,-5.851389479639455E8,1800,6,60,-4087.5878418561542,933.0278571830506,-2.885823492301655,5.040964767830056E8
0.25,1.6,0,2.7222675115990575E7,0.499549384135253,2.451563150144761E7,-3.8115196548352784E8,-3.5292025132589304E8,1800,6,60,-6565.733756917727,232.4874535163119,-2.040770234121922,3.905941910035797E8
0.25,1.6,0.01,1.0421317781550846E8,1.1813084841070496,6225783.432605221,-8.4795757386521E8,-7.406313749508722E8,1800,6,60,-13776.479383772703,117.15881838858067,-1.745652403407885,8.965528092486141E8
