% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
10,0.04,0,68918627.2428492,7750047.05580576,-1118001.29749228,6845203.58977631,0.077706804808522,1800,6,10,-921.534656964993,123.268944635251,-0.102177433310428
10,0.04,0.04,76905366.2438661,8432912.33348925,-2786916.5428607,5870716.15753422,0.079509796587857,1800,6,10,-975.460136475375,130.215802261012,-0.110222975148204
10,0.04,0.08,86322372.5842138,9303047.69008575,-4984568.0504754,4556733.50146412,0.081643597032434,1800,6,10,-1035.93435011212,137.958051828722,-0.119174606570333
10,0.04,0.12,97519306.074148,10434210.4426524,-7904285.50829857,2784246.00123853,0.084168473109571,1800,6,10,-1104.19788363941,146.632645400915,-0.127880475123579
10,0.04,0.16,110954234.857189,11935924.7453648,-11825601.2392986,384031.231171171,0.087174524142318,1800,6,10,-1181.82105320315,156.407404807326,-0.136591722904745
20,0.04,0,269487647.272657,-9681815.76502059,-2185819.08669573,-11450887.2864467,0.081924714968702,1800,6,20,-911.135598438832,243.755711217439,-0.101000920977903
20,0.04,0.04,300335512.697645,-11197267.6989976,-5441814.20074781,-16200286.697184,0.084078231396154,1800,6,20,-963.839159724305,257.328988243747,-0.108971205762059
20,0.04,0.08,336634265.742631,-12849652.1150528,-9719235.94480961,-22104325.2896559,0.086579384209323,1800,6,20,-1022.86847219761,272.436021086693,-0.117500025277804
20,0.04,0.12,379696876.028599,-14616223.1069176,-15387885.5865098,-29509002.522592,0.089495635058909,1800,6,20,-1089.40781032177,289.336937675118,-0.125987787400755
20,0.04,0.16,431236025.97783,-16441750.6680571,-22980757.5219378,-38890611.097309,0.09291601317909,1800,6,20,-1164.95055246479,308.34924274238,-0.134523874310556
