% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 9 2020, 09:20"
% Table,Probe Table 1 - 
% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
60,0.15,0,4.834723676311919E7,0.05547303354790963,8.463040524589199E7,-1.8533081053750735E7,2.9887711654875234E7,1800,6,60,-167.73885693101053,43.28711018260751,-0.009741832011232575
60,0.15,0.01,4.85471309733485E7,0.05449511977026813,8.566373425436093E7,-2.4443458927479435E7,2.4180252101346705E7,1800,6,60,-170.7910104787359,43.55057410323227,-0.007013665923984946
60,0.15,0.02,4.857860694973753E7,0.053404961583499146,8.620808991299991E7,-3.092162224537149E7,1.7736662866842885E7,1800,6,60,-173.61328643067515,43.6887274229271,-0.014453932190186428
60,0.15,0.03,4.83993494988229E7,0.05219076053000119,8.615369004853328E7,-3.795436152301483E7,1.0527778505709676E7,1800,6,60,-176.11651527625216,43.674940803562336,-0.01448850960433472
60,0.15,0.04,4.79542555548435E7,0.050833140737497104,8.538017100727844E7,-4.5498440428052984E7,2541642.975144734,1800,6,60,-178.18650303292543,43.47843400862041,-0.011283505153647736
60,0.55,0,5827859.51252536,0.02614011889299027,2173504.8940132144,-2.524182984461827E7,-1.938108648365002E7,1800,6,60,-135.31306047460106,6.937063886984574,-0.0010494492411850416
60,0.55,0.01,4053338.238590895,0.02187787976302552,1505822.4828261763,-2.295187398468581E7,-1.8871939485900793E7,1800,6,60,-117.84029694880908,5.7740730163244285,-0.0016178757805302493
60,0.55,0.02,2426530.7517271815,0.01718220637035772,910034.3108332618,-1.9285052760899883E7,-1.6839142302457478E7,1800,6,60,-96.28319389459767,4.488738094167304,-5.937843296111771E-4
60,0.55,0.03,1111712.8110476476,0.012032935825896473,433152.0132062979,-1.4223924139114676E7,-1.3100451578312218E7,1800,6,60,-70.24838369831618,3.0968170644508755,5.241976685335293E-4
60,0.55,0.04,270143.55697616993,0.0064049105703563956,118552.63813826145,-7925136.574039403,-7650375.499349344,1800,6,60,-39.45402869746465,1.620134216042613,0.00195978407443645
90,0.15,0,6.0539012450778045E7,0.05589108439445625,1.8965748828299394E8,-2.7688632457264427E7,3.2960272648694623E7,1800,6,90,-167.40368862032423,64.80080197078254,-0.009722025335666367
90,0.15,0.01,6.070214169181076E7,0.05492124511904925,1.9196851460871002E8,-3.651789625536115E7,2.4298653311276946E7,1800,6,90,-170.4476701023403,65.194413930174,-0.006994218097565474
90,0.15,0.02,6.06836979921092E7,0.053838877414331854,1.9318654588189676E8,-4.619640454050408E7,1.4606328402465392E7,1800,6,90,-173.26545295470416,65.40091464425262,-0.012111857020078916
90,0.15,0.03,6.043265275894393E7,0.05262983340624564,1.9306402341249478E8,-5.670215540331914E7,3854181.6884912304,1800,6,90,-175.760989703838,65.3801721190206,-0.012257848937359206
90,0.15,0.04,5.988836300496997E7,0.05127735244630385,1.913343674198641E8,-6.797440098776647E7,-7957813.349030769,1800,6,90,-177.82985346324332,65.08664350506828,-0.016905718911748652
90,0.55,0,8441271.008716948,0.02620717185989154,4887245.45411003,-3.783818312440855E7,-2.9347618075878374E7,1800,6,90,-135.2686520424434,10.402254108631363,-0.00206188891337156
90,0.55,0.01,5873067.271213303,0.021935238943507247,3386289.9155775094,-3.440942785060002E7,-2.8496487573087256E7,1800,6,90,-117.8088686270864,8.65879487747955,-0.0016174810248611687
90,0.55,0.02,3515604.7010223465,0.01722808289597611,2046726.4575392662,-2.8915575365713943E7,-2.5370913228349797E7,1800,6,90,-96.26324815658641,6.73170823648036,-5.938259944172858E-4
90,0.55,0.03,1608925.6293154564,0.012065711226576651,974312.634900248,-2.132978200907452E7,-1.9703221838833284E7,1800,6,90,-70.23835852829983,4.644559705240156,5.242280309216148E-4
90,0.55,0.04,389289.8519090186,0.006422556282382345,266703.18097121967,-1.188745073657841E7,-1.149123566403003E7,1800,6,90,-39.45633640680682,2.430017943620223,0.0019686190267794966
