% Version,COMSOL 5.5.0.359,,,,,,,,,,,,
% Date,"Dec 9 2020, 10:25",,,,,,,,,,,,
% Model,Evan_continuous_faraday_v5.2.mph,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,
% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
60,0.15,0,48408872.1417319,0.055470114429857,84308000.7017683,-18538364.5642123,29944065.5809122,1800,6,60,-167.755846009212,43.1214882388441,-0.012895188881742
60,0.15,0.01,48609389.5321807,0.054491676897445,85337321.0602516,-24448478.8401495,24237493.1513252,1800,6,60,-170.805549634483,43.3839257832809,-0.010351453361559
60,0.15,0.02,48641589.8866848,0.053402200733563,85879813.161895,-30926347.4432876,17794923.0992869,1800,6,60,-173.626547251672,43.5216038318615,-0.012094562642409
60,0.15,0.03,48461596.5555145,0.052187352947004,85825398.9896708,-37957828.4278554,10586561.0540017,1800,6,60,-176.124790275739,43.507813819801,-0.013988640885766
60,0.15,0.04,48016433.4686931,0.050830060278843,85054945.1780418,-45502440.4438326,2599823.54311321,1800,6,60,-178.195660696283,43.3120889538721,-0.014806110372813
90,0.15,0,60676567.5432173,0.055886133720416,188937869.598986,-27696964.1422425,33089500.8117686,1800,6,90,-167.421954259428,64.5533601065742,-0.01286515118445
90,0.15,0.01,60841151.239209,0.054915747734278,191239982.892443,-36525956.6893931,24429607.7781207,1800,6,90,-170.463493821034,64.9454445623014,-0.010325813434704
90,0.15,0.02,60823279.387308,0.053833478312031,192453253.181893,-46203275.0121888,14739044.7370367,1800,6,90,-173.277751671461,65.1511332384514,-0.012070316334947
90,0.15,0.03,60572715.1309742,0.052624709695864,192331558.462026,-56708239.5231145,3988165.74047827,1800,6,90,-175.771143183207,65.1305313451653,-0.013959986292397
90,0.15,0.04,60026757.5397502,0.051272073711369,190608447.83944,-67980924.9615845,-7825936.9214972,1800,6,90,-177.839423079971,64.8381206612767,-0.014775804869436
60,0.55,0,5829252.45941301,0.026138927774422,2165163.05821902,-25240830.7603719,-19378694.4525629,1800,6,60,-135.30745505618,6.91042328672381,-0.001772498649083
60,0.55,0.01,4054345.88325889,0.021877122027842,1500044.78205914,-22951221.5174502,-18870279.3307087,1800,6,60,-117.836639724662,5.75190173760573,-0.001274494389631
60,0.55,0.02,2427071.29495481,0.017181583321992,906541.59513837,-19282103.1058347,-16835652.0827387,1800,6,60,-96.2678521101625,4.47149978053866,-0.000626637671213
60,0.55,0.03,1111926.14343143,0.01203262709417,431488.525669505,-14220296.602368,-13096610.7241964,1800,6,60,-70.2298958718888,3.08492046456158,0.000549757836146
60,0.55,0.04,270155.222061312,0.006404426576987,118097.138472949,-7919955.58070441,-7645182.84879593,1800,6,60,-39.4278242570624,1.61390896203954,0.001970335117784
90,0.55,0,8444509.33766497,0.026205806961143,4868501.27359661,-37837045.9202978,-29343242.4350125,1800,6,90,-135.26424142503,10.3623197664619,-0.001772427235161
90,0.55,0.01,5875372.03651783,0.021934243832226,3373303.97073636,-34408521.4074642,-28493276.2178196,1800,6,90,-117.805337210144,8.6255557129734,-0.001274106640377
90,0.55,0.02,3516892.52351908,0.017227270477014,2038874.35640204,-28911196.6598942,-25365246.6216456,1800,6,90,-96.247978873445,6.70586147312091,-0.000626244546965
90,0.55,0.03,1609471.4742604,0.012065268194386,970571.933342126,-21324365.7604104,-19697259.7483322,1800,6,90,-70.2199119971669,4.62671991954626,0.000549668365495
90,0.55,0.04,389390.244312211,0.006422728497687,265678.858024852,-11878162.4235313,-11481846.9594866,1800,6,90,-39.4248933008576,2.42068257418222,0.001970210063836
