% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 11:36"
% Table,Probe Table 1 - 
% u_x (m/s),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1500,0.04,0,1.5419488558876925E9,-2.079256643807226E8,-4168891.233693916,-2.1129971314078677E8,0.1053697361928058,1500,6,60,-726.4871344280663,583.0695386699067,-0.080557938119041
1800,0.04,0,2.2204063527798505E9,-2.994129567352327E8,-6003203.376628878,-3.0427158694985425E8,0.10536973619573899,1800,6,60,-871.7845613107968,699.6834464514018,-0.09666907004927358
2100,0.04,0,3.0222197594029098E9,-4.0753430235190547E8,-8171026.817944701,-4.1414743792150617E8,0.10536973620550887,2100,6,60,-1017.0819881790944,816.2973543894732,-0.11278543491927653
2400,0.04,0,3.9473890709229136E9,-5.3228970080112404E8,-1.0672361558497593E7,-5.40927265627133E8,0.10536973619206415,2400,6,60,-1162.379415090488,932.9112618541782,-0.128892478547116
2700,0.04,0,4.995914296257722E9,-6.736791528754257E8,-1.3507207596809402E7,-6.846110708576388E8,0.10536973620615238,2700,6,60,-1307.6768419471878,1049.525169940023,-0.14500944061651663
3000,0.04,0,6.167795420766387E9,-8.317026572748829E8,-1.6675564935622096E7,-8.451988523159653E8,0.10536973618343952,3000,6,60,-1452.9742688826248,1166.1390770766232,-0.16111302433935215
1500,0.04,0.04,1.7102175166738608E9,-2.312890685675285E8,-1.0329175934891965E7,-2.4078536296509257E8,0.109011165336831,1500,6,60,-766.6659105621821,614.0603329921785,-0.086745397957662
1800,0.04,0.04,2.462713224935819E9,-3.330562588194206E8,-1.487401334581655E7,-3.4673092275149655E8,0.10901116534517513,1800,6,60,-919.9990926620895,736.8723997290675,-0.10409585375822962
2100,0.04,0.04,3.3520263325583186E9,-4.533265743818632E8,-2.0245184832457114E7,-4.7193931140118134E8,0.10901116533603833,2100,6,60,-1073.3322747876323,859.6844661733442,-0.12144227622804767
2400,0.04,0.04,4.378156847256706E9,-5.921000159384431E8,-2.6442690391322434E7,-6.164105295942067E8,0.10901116535998819,2400,6,60,-1226.6654568537551,982.4965333004151,-0.13879917546010745
2700,0.04,0.04,5.541104757541303E9,-7.49376582471398E8,-3.346653002757675E7,-7.801445763180773E8,0.10901116535090478,2700,6,60,-1379.9986389790618,1105.3085997367875,-0.1561453195730456
3000,0.04,0.04,6.840870064447821E9,-9.25156274070562E8,-4.131670374031395E7,-9.631414516615944E8,0.10901116532955561,3000,6,60,-1533.331821142807,1228.120665782619,-0.17348811589102328
1500,0.04,0.08,1.9067186132216103E9,-2.582947585696736E8,-1.835009416175534E7,-2.757677522396836E8,0.11311722145230695,1500,6,60,-811.4527931212275,648.3785990069084,-0.09316979426922964
1800,0.04,0.08,2.745674803677169E9,-3.7194445239693147E8,-2.6424135592416484E7,-3.9710556328125256E8,0.11311722145779042,1800,6,60,-973.7433517355915,778.0543188987084,-0.1118044295741202
2100,0.04,0.08,3.7371684826663055E9,-5.062577268629441E8,-3.596618455634121E7,-5.405047944554662E8,0.11311722145709928,2100,6,60,-1136.033910360416,907.7300387009994,-0.13043860473284116
2400,0.04,0.08,4.881199648592537E9,-6.612345818275901E8,-4.697624105501691E7,-7.059654456237383E8,0.11311722144619916,2400,6,60,-1298.324469005364,1037.4057582777302,-0.14907027123158928
2700,0.04,0.08,6.177768306008409E9,-8.368750176927204E8,-5.945430508443269E7,-8.934875171839527E8,0.11311722144919488,2700,6,60,-1460.6150276243613,1167.0814781340805,-0.16770339907695211
3000,0.04,0.08,7.626874451159333E9,-1.0331790341261847E9,-7.340037664807917E7,-1.1030710088072765E9,0.11311722144692718,3000,6,60,-1622.9055862544049,1296.7571978670305,-0.18633804042916474
1500,0.04,0.12,2.137869774416872E9,-2.896566210377337E8,-2.888028997954308E7,-3.176076897153547E8,0.11777380558780937,1500,6,60,-861.6723146342644,686.5560399831656,-0.09960876424661876
1800,0.04,0.12,3.078532474722309E9,-4.171055342558488E8,-4.158761757105202E7,-4.5735507315213096E8,0.1177738055841496,1800,6,60,-1034.0067775661832,823.8672479211756,-0.11953006938048215
2100,0.04,0.12,4.1902247573466005E9,-5.677269771892246E8,-5.660536836060962E7,-6.225110717980785E8,0.11777380558472403,2100,6,60,-1206.3412404932244,961.178455917874,-0.13945117782739608
2400,0.04,0.12,5.47294662097286E9,-7.415209497216103E8,-7.393354234936513E7,-8.130756855380769E8,0.11777380558071653,2400,6,60,-1378.6757034297198,1098.48966381908,-0.1593717619305199
2700,0.04,0.12,6.926698065864142E9,-9.384874518768804E8,-9.357213953746909E7,-1.029048914396121E9,0.1177738055758694,2700,6,60,-1551.0101663685934,1235.8008716800932,-0.17929253664714145
3000,0.04,0.12,8.551479096356557E9,-1.158626484035988E9,-1.1552115991963892E8,-1.2704307587479596E9,0.11777380558389662,3000,6,60,-1723.3446292774656,1373.1120798610993,-0.19921597812828654
1500,0.04,0.16,2.411912158661407E9,-3.2623977797742057E8,-4.284394032603961E7,-3.680920865853204E8,0.1230859663834732,1500,6,60,-918.3541346122222,729.2326616038594,-0.10598887674676187
