% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 16:46"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,1500,0.16,2.485453329818314E8,0.18392353357866098,8.163265623492978E8,-3.8167735523952824E8,-1.3291459553605932E8,1500,6,60,-2552.0422289021462,424.28956385850796,0.009736664788063046
0.01,1500,0.16,2.835546708730874E8,0.19036283980561608,8.599652300802474E8,-4.3398319738919497E8,-1.501740847473166E8,1500,6,60,-2653.1664302205895,435.48262463186137,0.009393418323700607
0.02,1500,0.16,3.243403244030208E8,0.19725897177591878,9.053246932738923E8,-4.947811275191133E8,-1.701404404783476E8,1500,6,60,-2761.183727546242,446.81996341077735,0.009084027602784536
0.03,1500,0.16,3.719011137693E8,0.20464709927561248,9.521510034795879E8,-5.656872963654258E8,-1.934283857034021E8,1500,6,60,-2876.635076188084,458.22976952410215,0.00876752440473607
0.04,1500,0.16,4.2738785963332963E8,0.2125644376233338,1.0000698850919003E9,-6.486716305977408E8,-2.208535674459723E8,1500,6,60,-3000.1101106444526,469.6188929221434,0.00834271635436036
0.05,1500,0.16,4.9212067754291004E8,0.22105056470823725,1.0485962582095144E9,-7.461353265239557E8,-2.5349244690414736E8,1500,6,60,-3132.2105861004434,480.8775888719952,0.007855618997949631
0,1800,0.16,3.5790083426840806E8,0.1839227476325344,1.1755095809111948E9,-5.496145191607466E8,-1.9140059277310482E8,1800,6,60,-3062.4386034998806,509.1473317758531,0.011994406217918455
0.01,1800,0.16,4.0831872505406696E8,0.1903628396849553,1.2383499242735794E9,-6.249358044896466E8,-2.1625068329075417E8,1800,6,60,-3183.799714324263,522.579148072437,0.01127220098598259
0.02,1800,0.16,4.6705006701187295E8,0.19725897176684168,1.3036675585710573E9,-7.124848236465527E8,-2.4500223443619126E8,1800,6,60,-3313.4204729484018,536.1839561457444,0.010900829494506154
0.03,1800,0.16,5.3553760382444155E8,0.20464709927392383,1.3710974449841352E9,-8.145897067659833E8,-2.7853687541594034E8,1800,6,60,-3451.9620914198613,549.8757234236716,0.010521028878494638
0.04,1800,0.16,6.154385178461795E8,0.21256443762442348,1.440100634738662E9,-9.340871480531873E8,-3.1802913714059895E8,1800,6,60,-3600.132132753139,563.5426715469955,0.010011261284892936
0.05,1800,0.16,7.08653775696657E8,0.22105056470873954,1.5099786115690947E9,-1.0744348702076585E9,-3.650291235202865E8,1800,6,60,-3758.652703351577,577.0531065981427,0.009426742875304971
0,2100,0.16,4.8714155615074986E8,0.1839224871258553,1.599996252567005E9,-7.480863399765495E8,-2.6051863089294797E8,2100,6,60,-3572.844209302567,594.0046822314459,0.013885969819253297
0.01,2100,0.16,5.557671551551192E8,0.19036283986024086,1.6855318475828745E9,-8.506070670579029E8,-2.943412060369461E8,2100,6,60,-3714.433002207276,609.6756738743496,0.013150872517919215
0.02,2100,0.16,6.357070353983564E8,0.19725897173339305,1.7744363990473483E9,-9.697710099430926E8,-3.334752637746254E8,2100,6,60,-3865.6572182055565,625.5479488157522,0.012717638505960464
0.03,2100,0.16,7.289261829796166E8,0.20464709927592659,1.8662159667917044E9,-1.1087471008809788E9,-3.79119635991568E8,2100,6,60,-4027.2891066698517,641.5216773288948,0.012274533647004014
0.04,2100,0.16,8.376802048734705E8,0.21256443762344387,1.9601369748315763E9,-1.2713963959682796E9,-4.3287299219872284E8,2100,6,60,-4200.154154888015,657.4664500996886,0.011679803121320767
0.05,2100,0.16,9.645565283358595E8,0.22105056473317655,2.0552486667892182E9,-1.4624252400938957E9,-4.9684519568705094E8,2100,6,60,-4385.094821011118,673.2286245352205,0.010997842605956664
0,2400,0.16,6.362674023559546E8,0.1839224040174135,2.089790917556362E9,-9.770925877674799E8,-3.402685767599893E8,2400,6,60,-4083.2526164871765,678.8624767258858,0.01584119926242233
0.01,2400,0.16,7.258999576276864E8,0.19036283985324096,2.2015109840828795E9,-1.1109969855799541E9,-3.844456570253551E8,2400,6,60,-4245.0662881054095,696.7721986319997,0.015029572315140583
0.02,2400,0.16,8.303112301973745E8,0.19725897175459617,2.3176312148679237E9,-1.26663968646224E9,-4.3555952791195905E8,2400,6,60,-4417.89396381717,714.9119414706021,0.01453443876878582
0.03,2400,0.16,9.520668512836397E8,0.2046470992710722,2.437506568301357E9,-1.448159478706768E9,-4.951766673776373E8,2400,6,60,-4602.616121890883,733.1676311473777,0.014028040535937548
0.04,2400,0.16,1.0941129206731596E9,0.21256443762365768,2.560178905770942E9,-1.6605993743345058E9,-5.65385132654247E8,2400,6,60,-4800.176177032787,751.3902286659838,0.013348346457808519
0.05,2400,0.16,1.2598288962046814E9,0.2210505448355261,2.684408456264567E9,-1.9101061589927726E9,-6.489404246291698E8,2400,6,60,-5011.537056130723,769.4044338583102,0.01271996178592532
0,2700,0.16,8.05276809438768E8,0.18392245550414246,2.6448938100104628E9,-1.2366330278743732E9,-4.3065175974542814E8,2700,6,60,-4593.661599121685,763.7206010523427,0.017771892269530225
0.01,2700,0.16,9.187171333014631E8,0.19036283982094887,2.7862873387382865E9,-1.406105559873553E9,-4.865640352434057E8,2700,6,60,-4775.6995734659795,783.868723391932,0.01690831337909454
0.02,2700,0.16,1.050862650442715E9,0.19725897173553877,2.9332520060634713E9,-1.6030908531943073E9,-5.5125502780513E8,2700,6,60,-4970.130709180187,804.2759341196373,0.016351249077956407
0.03,2700,0.16,1.2049596087389078E9,0.20464709926946142,3.084969249916541E9,-1.832826840258515E9,-6.267079695870854E8,2700,6,60,-5177.943137168108,824.8135849619937,0.01578154342200024
0.04,2700,0.16,1.384732204033893E9,0.2125640859423595,3.240221785295537E9,-2.1016950703539822E9,-7.155690099169385E8,2700,6,60,-5400.193815729378,845.3134016987788,0.015352584852850047
0.05,2700,0.16,1.594470956337729E9,0.22105054498418214,3.397454461552441E9,-2.4174781095559406E9,-8.213152174154842E8,2700,6,60,-5637.979197208243,865.5799892488714,0.014309716047136453
0,3000,0.16,9.941692517570434E8,0.1839225400067777,3.2653019257908607E9,-1.5267076389104521E9,-5.316686846635002E8,3000,6,60,-5104.070233295462,848.5785659070941,0.01966350702183627
