% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 8 2020, 14:30"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,1200,0.45,-2.43686123209601E7,0.09208747315277584,1.6482535757843083E8,-1.3301814596046874E7,-3.764676858346587E7,1200,6,60,-98.28284430778362,602.885120746326,-0.006868462583628428
0.01,1200,0.45,-1.877344933884075E7,0.08153741948610602,1.2888256952498938E8,-1.3275333612924952E7,-3.2027093864820175E7,1200,6,60,-91.28384858185173,533.1134570408933,-0.007507469161322589
0.02,1200,0.45,-1.3297738933713038E7,0.06933249786124829,9.282801870321344E7,-1.2653496707969114E7,-2.5932797916222956E7,1200,6,60,-82.0591508650688,452.4411450310311,-0.00802616421212902
0.03,1200,0.45,-8302303.595768839,0.05542682000373516,5.902391543931202E7,-1.1291342185837237E7,-1.957972419432006E7,1200,6,60,-70.18762762361268,360.77510364240834,-0.008039981252816061
0.04,1200,0.45,-4180556.881676311,0.03987018026369585,3.028072800862283E7,-9073525.209668508,-1.3245519714469241E7,1200,6,60,-55.18583905204182,258.4078534141573,-0.0074745278891614276
0.05,1200,0.45,-1317488.5252742053,0.02358569461727744,9667534.83961407,-5928170.15046073,-7242256.762868345,1200,6,60,-36.30430627819244,146.00926850989643,-0.005395651232268066
0,1800,0.45,-5.482959081481728E7,0.0920872975413427,3.708577170168951E8,-2.9927925633349445E7,-8.470428561056837E7,1800,6,60,-147.41867560339114,904.3284888240432,-0.010281320027271248
0.01,1800,0.45,-4.224009818338247E7,0.08153721325235513,2.89983806284753E8,-2.987007424982589E7,-7.206137201939039E7,1800,6,60,-136.92846093483485,799.6674622069485,-0.011297437297442712
0.02,1800,0.45,-2.9919912343889084E7,0.06933249382074988,2.088630200989646E8,-2.8470370188212518E7,-5.83487976523584E7,1800,6,60,-123.08874100454415,678.6616818313091,-0.012039266707919404
0.03,1800,0.45,-1.8680185836662326E7,0.055426836286468266,1.328038639372247E8,-2.5405528551310018E7,-4.4054390816085115E7,1800,6,60,-105.28147266775173,541.1627658909351,-0.012007460179269363
0.04,1800,0.45,-9406253.009624112,0.039870180325277615,6.813163825669669E7,-2.041543181442495E7,-2.980241947612223E7,1800,6,60,-82.7787589884594,387.61178079624625,-0.011211803707019722
0.05,1800,0.45,-2964349.157084695,0.023585694441222632,2.175195302807816E7,-1.3338382734693203E7,-1.6295077587851187E7,1800,6,60,-54.4564589963475,219.01390094717775,-0.008093474944702897
0,2400,0.45,-9.747480624292807E7,0.09208730626028282,6.593026132276269E8,-5.320524043909468E7,-1.5058541401691592E8,2400,6,60,-196.5583783532758,1205.7713231848793,-0.013718828393141737
0.01,2400,0.45,-7.509350797707556E7,0.08153721332297617,5.1552676779961985E8,-5.3102354175712496E7,-1.2810910586163229E8,2400,6,60,-182.57128110388797,1066.2232840503025,-0.01506325671771109
0.02,2400,0.45,-5.319095546210402E7,0.0693324940059123,3.713120380093517E8,-5.061399146484619E7,-1.0373119602962606E8,2400,6,60,-164.11832142699677,904.882245217313,-0.01605235592507024
0.03,2400,0.45,-3.3209276471128233E7,0.05542675273781434,2.360956970961844E8,-4.516520462396513E7,-7.831879479564013E7,2400,6,60,-140.37482853993797,721.5502612858479,-0.016199596246739854
0.04,2400,0.45,-1.6722307872875273E7,0.039870150658714854,1.2112332137711528E8,-3.629371104907996E7,-5.2981769377216205E7,2400,6,60,-110.37053416007414,516.8165801329826,-0.014936334264809326
0.05,2400,0.45,-5269954.074728811,0.023585694485102674,3.867013874049708E7,-2.3712680076853648E7,-2.8969026500211343E7,2400,6,60,-72.6086109666516,292.01853468649847,-0.010791293499499838
