% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 11 2021, 14:46"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.05,0,0,3.0620862538066696E10,-3.6553187411440516E8,5412232.980161055,17326.541652195214,-3.601023145925916E8,0.9437734439363654,1800,6,60,2.9379620471077316E-4,10192.753194512692,0.00978609753884987,5.5,0.5
0.05,0,0.01,3.0620861748811142E10,-3.655319222666896E8,5412234.40088845,17326.545863757878,-3.601023613199381E8,0.943773435933534,1800,6,60,2.937866264963702E-4,10192.753108082234,0.009764363333803752,5.5,0.5
0.05,0.3,0,2.1489538673706337E10,-2.5841342295985538E8,5280461.055444452,415347.1949905022,-2.527176147094203E8,0.8003851674939585,1800,6,60,-0.5169937959640638,8644.011336681719,0.016425664318221223,5.5,0.5
0.05,0.3,0.01,2.101488190597942E10,-2.5238970857507667E8,4791684.12835874,462361.0161052515,-2.471356634306133E8,0.7893870898420378,1800,6,60,-0.5933149352722769,8525.212345492288,0.015544026604582931,5.5,0.5
0.05,0.9,0,4.250384789993254E9,-5.2342890520282455E7,1214470.973766886,1143754.5543447882,-4.998466499217082E7,0.3694951299152947,1800,6,60,-1.6217273679234228,3985.416544532157,0.02753122771236008,5.5,0.5
0.05,0.9,0.01,2.5835713299216313E9,-3.1707271308181476E7,342966.23014016467,981409.6698264581,-3.0382895408214495E7,0.2864320476232884,1800,6,60,-2.069118405901203,3088.6685936318963,0.0294110445278626,5.5,0.5
0.05,1.6666666666666667,0,6.812744577155148E8,-8660524.548547652,65115.319718644765,583597.7803626511,-8011811.448466309,0.1557539898489964,1800,6,60,-1.6249537862269359,1668.1249517389672,0.007411054039152357,5.5,0.5
0.05,1.6666666666666667,0.01,1.3548130892255685E8,-1713564.420500397,-125924.76082130263,246225.16628510752,-1593264.01503659,0.0692499341116085,1800,6,60,-2.005829155841009,736.0012492177603,0.01135255566752292,5.5,0.5
0.1,0,0,3.0888651370293686E10,-2.2534035806972027E8,4530059.808048185,10358.585335032167,-2.2079993967633688E8,0.9656739969978722,1800,6,60,6.286807588599627E-5,10429.279167577115,-0.01717151411230622,5.5,0.5
0.1,0,0.01,3.0888650826831963E10,-2.25340395795404E8,4530060.234774897,10358.58644219412,-2.207999769741874E8,0.9656739911133163,1800,6,60,6.286818884708834E-5,10429.279104023879,-0.01718901548977113,5.5,0.5
0.1,0.3,0,2.433614280066861E10,-1.7905500752393055E8,4741752.592845581,352325.46526618337,-1.7396092946581882E8,0.8708638583008034,1800,6,60,-0.19658307969359684,9405.152367355147,-0.009523150068095381,5.5,0.5
0.1,0.3,0.01,2.4103931382016815E10,-1.770385227998814E8,4340763.172824419,396751.6283576077,-1.7230100799870005E8,0.8628726624176034,1800,6,60,-0.22675918912019583,9318.82473462904,-0.010417415418731923,5.5,0.5
0.1,0.9,0,7.267649873696884E9,-5.501264413396194E7,1626253.6798567614,1435376.1340110286,-5.1951014320094265E7,0.4987916650223342,1800,6,60,-0.7214705912028311,5380.52865333793,-0.033985196050422425,5.5,0.5
0.1,0.9,0.01,4.870626093251956E9,-3.670491766928718E7,589256.7238009648,1299173.7985576005,-3.481648714692856E7,0.40409375318736745,1800,6,60,-0.9675024933771885,4358.171131057879,-0.03895082617082135,5.5,0.5
0.1,1.6666666666666667,0,1.4921023070213544E9,-1.172839092090115E7,154546.72642408783,907914.588142724,-1.0665929606334351E7,0.24029888355064188,1800,6,60,-0.8142824288584632,2578.9097297454896,-0.01660791272289004,5.5,0.5
0.1,1.6666666666666667,0.01,3.3255554799283004E8,-2581777.3248016993,-116745.65175060088,321331.00170354784,-2377191.9748487477,0.11153009194392181,1800,6,60,-1.0773093539681853,1195.0763069881098,-0.010415343895169136,5.5,0.5
0.15000000000000002,0,0,3.0916819368813007E10,-1.6215435362234333E8,3397649.30368522,9162.8443110257,-1.5874754147434735E8,0.9753319938848863,1800,6,60,6.551369795092245E-6,10533.585533956706,-0.016803648991648545,5.5,0.5
0.15000000000000002,0,0.01,3.091681930058263E10,-1.6215435470678753E8,3397649.414744759,9162.84452590409,-1.5874754244751665E8,0.9753319936957536,1800,6,60,6.552045379858916E-6,10533.58553191421,-0.016806916642013663,5.5,0.5
