% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 12 2021, 13:52"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating"
0.05,0,0,0.852411201764399,1800,6,60,7.809877139553833E7,-7.810190838074726E7,4414.170260906284,144.08505414016292,-7.809735012543258E7,0.00401497700766758
0.05,0,0.012,0.8524111976642921,1800,6,60,7.809877065022063E7,-7.810191017776065E7,4414.167149034722,144.08497365533916,-7.809735192563774E7,0.004014976969093047
0.05,0.45,0,0.8501422603141662,1800,6,60,7.746685733494994E7,-7.747597006801619E7,-36249.969574811956,45674.106204479736,-7.746654593138644E7,0.004020369817231147
0.05,0.45,0.012,0.875006414622889,1800,6,60,8.200461304329544E7,-8.203181039022046E7,-34295.82300650182,62633.618917707456,-8.200347259430942E7,0.004261180063436089
0.05,0.9,0,0.849766950304961,1800,6,60,7.63513737171976E7,-7.656280694304551E7,-58796.85760741129,271645.7542015075,-7.634995804645121E7,0.004033271156105792
0.05,0.9,0.012,0.9021975945834453,1800,6,60,8.530204164638172E7,-8.578090355348542E7,-34594.18448043635,514698.86250722344,-8.530079887545806E7,0.00453979552284395
0.05,1.6666666666666667,0,0.8566447589358663,1800,6,60,7.435286381259172E7,-7.520713292059682E7,-167244.68913294404,1022796.3981073111,-7.435158121162179E7,0.004067319976289518
0.05,1.6666666666666667,0.012,0.9722243208425343,1800,6,60,9.084624751076213E7,-9.314305898652145E7,-350581.25331685814,2648900.9854376386,-9.084473925440033E7,0.00510209691497928
0.1,0,0,0.8524112164601363,1800,6,60,7.809877409766518E7,-7.810190195435563E7,4414.165303400719,144.08489559700956,-7.809734370415646E7,0.004014977146961066
0.1,0,0.012,0.8524111892844313,1800,6,60,7.809876911069873E7,-7.810191384289381E7,4414.169285770943,144.08500173648767,-7.80973555886062E7,0.004014976890604192
