% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 5 2020, 17:32"
% Table,Probe Table 1 - 
% B_app (T),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,0,0,NaN,0,0,0,1800,0,60,0,0,0
0.5,0,0,-307.30736437134817,6.330616387096707E-6,1033.1408578592327,1.1554008077353976E-5,-307.3073421670089,1800,0.5,60,-3.133544158382331E-9,0.005690913327814248,-8.35762762848712E-5
1,0,0,-1229.2294574853966,6.330616387096509E-6,4132.56343143691,4.62160323089393E-5,-1229.2293686680273,1800,1,60,-6.26709961977808E-9,0.011381826655628617,-1.6715255255641035E-4
1.5,0,0,-2765.7662793421214,6.330616387096215E-6,9298.267720732965,1.0398607269305114E-4,-2765.7660795030565,1800,1.5,60,-9.400625066942333E-9,0.01707273998344278,-2.507288288916584E-4
2,0,0,-4916.917829941532,6.330616387096461E-6,16530.253725747676,1.8486412923467488E-4,-4916.917474672079,1800,2,60,-1.2534181853013575E-8,0.022763653311257095,-3.343051051261128E-4
2.5,0,0,-7682.684109283617,6.330616387096248E-6,25828.521446480627,2.8885020192307163E-4,-7682.683554175072,1800,2.5,60,-1.5667720597663356E-8,0.02845456663907156,-4.178813814040159E-4
3,0,0,-11063.065117368395,6.330616387096084E-6,37193.0708829319,4.159442907665731E-4,-11063.06431801236,1800,3,60,-1.8801253976781086E-8,0.034145479966885474,-5.014576577863544E-4
3.5,0,0,-15058.060854195928,6.330616387096231E-6,50623.902035101615,5.661463957639028E-4,-15058.05976618318,1800,3.5,60,-2.1934883360488295E-8,0.03983639329469984,-5.850339339802829E-4
4,0,0,-19667.671319765952,6.330616387096685E-6,66121.01490299066,7.394565169552865E-4,-19667.66989868838,1800,4,60,-2.5068395117812833E-8,0.04552730662251452,-6.68610210267776E-4
4.5,0,0,-24891.896514079075,6.330616387096305E-6,83684.4094865985,9.358746542247503E-4,-24891.894715527764,1800,4.5,60,-2.8201929251278356E-8,0.05121821995032848,-7.521864865983811E-4
5,0,0,-30730.73643713503,6.330616387096278E-6,103314.08578592508,0.0011554008076731107,-30730.734216700985,1800,5,60,-3.133547666114318E-8,0.056909133278143675,-8.357627628688582E-4
5.5,0,0,-37184.19108893336,6.330616387096321E-6,125010.04380096782,0.0013980349773244746,-37184.18840220794,1800,5.5,60,-3.4468877003533874E-8,0.06260004660595714,-9.193390391003813E-4
6,0,0,-44252.260469474015,6.330616387096422E-6,148772.28353173123,0.001663777163106602,-44252.257272049195,1800,6,60,-3.760248827341534E-8,0.06829095993377211,-0.0010029153155901391
6.5,0,0,-51934.94457875697,6.330616387096228E-6,174600.80497820993,0.0019526273649880927,-51934.940826224294,1800,6.5,60,-4.073603876107692E-8,0.07398187326158631,-0.0010864915916770988
7,0,0,-60232.24341678369,6.330616387096078E-6,202495.60814040856,0.002264585583031976,-60232.23906473317,1800,7,60,-4.386975247725036E-8,0.07967278658939997,-0.0011700678679620827
7.5,0,0,-69144.15698355256,6.330616387096329E-6,232456.69301832558,0.002599651817363174,-69144.15198757593,1800,7.5,60,-4.700315431896863E-8,0.08536369991721424,-0.001253644144388084
8,0,0,-78670.68527906433,6.330616387096563E-6,264484.0596119634,0.0029578260678106445,-78670.67959475325,1800,8,60,-5.0136749879771826E-8,0.0910546132450279,-0.0013372204205767606
8.5,0,0,-88811.82830331878,6.330616387096368E-6,298577.7079213228,0.003339108334290156,-88811.8218862666,1800,8.5,60,-5.3270335781829004E-8,0.09674552657284373,-0.0014207966970412637
9,0,0,-99567.58605631482,6.330616387096312E-6,334737.63794638903,0.003743498616954174,-99567.57886210887,1800,9,60,-5.6403805292838005E-8,0.10243643990065578,-0.0015043729731763825
9.5,0,0,-110937.95853805676,6.330616387096318E-6,372963.8496871863,0.004170996915720795,-110937.9505222896,1800,9.5,60,-5.9537401944665026E-8,0.10812735322847185,-0.0015879492495440323
10,0,0,-122922.94574853721,6.3306163870963376E-6,413256.3431436899,0.004621603230778386,-122922.93686680176,1800,10,60,-6.267091479476924E-8,0.1138182665562852,-0.001671525525598379
