% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 4 2020, 12:48"
% Table,Probe Table 1 - 
% B_app (T),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,0,0,0,0,0,0,NaN,1800,0,60,0,0,0
0.5,0,0,1.948047781792814E10,-1.1242516468571454E7,86278.80029956653,488.23643445041387,-1.1155749431838058E7,0.36986676902826854,1800,0.5,60,-0.0011854319464721602,332.65528292339974,-2.9137970982419357E-6
1,0,0,7.79219114135025E10,-4.497006589218381E7,345115.19929619855,1952.9457353679736,-4.462299774715848E7,0.3698667693420535,1800,1,60,-0.002370913599472232,665.3105664153057,-5.8078098795713445E-6
1.5,0,0,1.7532430118856583E11,-1.0118264831591074E8,776509.2012085814,4394.127898662587,-1.0040174498680645E8,0.3698667698802798,1800,1.5,60,-0.0035567202969081476,997.9658510755271,-1.0313605811212064E-5
2,0,0,3.1168764545968585E11,-1.798802635420231E8,1380460.8035873538,7811.782945879156,-1.7849199095546502E8,0.36986676924309136,1800,2,60,-0.0047411579379011606,1330.6211324687492,-8.143675720105205E-6
2.5,0,0,4.870119471260131E11,-2.810629119183344E8,2156969.998224703,12205.910837262234,-2.788937360092457E8,0.3698667696413853,1800,2.5,60,-0.005926638041410804,1663.2764173855908,-1.3550400857807227E-5
3,0,0,7.012972021897361E11,-4.0473059296552974E8,3106036.7957914206,17576.51162733755,-4.0160697965809953E8,0.3698667692062815,1800,3,60,-0.007112758335344621,1995.9316985105568,-1.3698099027647363E-5
3.5,0,0,9.545434145692366E11,-5.508833071381822E8,4227661.211906408,23923.585269906333,-5.466317223409896E8,0.36986676931021845,1800,3.5,60,-0.008298904384919497,2328.5869822434483,-1.992577835095816E-5
4,0,0,1.2467505844060417E12,-7.19521054478648E8,5521843.202821902,31247.13175039196,-7.139679641440929E8,0.3698667696110079,1800,4,60,-0.009483363293393584,2661.242267594908,-1.9205249245566362E-5
4.5,0,0,1.5779187080130544E12,-9.106438345287886E8,6988582.805394438,39547.151119467955,-9.03615704572249E8,0.369866769568542,1800,4.5,60,-0.010668489167526484,2993.8975506996067,-2.0828656460957474E-5
5,0,0,1.948047786756001E12,-1.1242516474457498E9,8627880.027885107,48823.6433799287,-1.115574943774514E9,0.3698667694907849,1800,5,60,-0.011853414986403448,3326.552833403123,-2.2114189144393512E-5
5.5,0,0,2.3571378202977524E12,-1.3603444932209775E9,1.043973481626492E7,59076.60850272155,-1.3498456817964416E9,0.36986676935630136,1800,5.5,60,-0.013037926671475474,3659.2081154142743,-2.579185304089542E-5
6,0,0,2.8051888090270376E12,-1.6189223718673751E9,1.2424147228112347E7,70306.04652527953,-1.6064279185927687E9,0.36986676923487666,1800,6,60,-0.014225892631273869,3991.8633973188043,-2.8619751638489078E-5
6.5,0,0,3.2922007595317036E12,-1.8999852841826637E9,1.4581117231056225E7,82511.9572885738,-1.8853216549943218E9,0.3698667694826589,1800,6.5,60,-0.01540815670796962,4324.518683332557,-2.628664652458642E-5
7,0,0,3.8181736671771855E12,-2.203533229628075E9,1.6910644808518402E7,95694.34092871842,-2.186526890478553E9,0.36986676972693605,1800,7,60,-0.016596404595271144,4657.173969754676,-3.8201867130435865E-5
7.5,0,0,4.3831075210718564E12,-2.5295662069148774E9,1.9412729962403074E7,109853.19755412944,-2.510043623755241E9,0.36986676951090225,1800,7.5,60,-0.017779615195798484,4989.829250396877,-4.0379111120624774E-5
8,0,0,4.98700232762769E12,-2.878084216748781E9,2.2087372780693837E7,124988.52710613896,-2.855871855441222E9,0.3698667692422248,1800,8,60,-0.018964982128178105,5322.484529877915,-4.979332955985307E-5
8.5,0,0,5.629858103633851E12,-3.2490872611597204E9,2.493457319404143E7,141100.32936510578,-3.224011587636551E9,0.36986676947710473,1800,8.5,60,-0.02015283197892078,5655.1398165896235,-5.169654533287738E-5
9,0,0,6.311674820573176E12,-3.6425753367402864E9,2.7954331251579564E7,158188.60465204864,-3.6144628168842463E9,0.36986676924115536,1800,9,60,-0.021332421311559047,5987.795096081645,-5.0180201100606014E-5
9.5,0,0,7.032452502683547E12,-4.0585484464368596E9,3.114664682304862E7,176253.35265377414,-4.027225546261044E9,0.3698667692890409,1800,9.5,60,-0.022519173892353136,6320.450380022094,-5.1781411299356875E-5
10,0,0,7.792191158300912E12,-4.497006591197299E9,3.451151997573227E7,195294.57330743698,-4.462299776647968E9,0.3698667697417639,1800,10,60,-0.0237055416641817,6653.105671350114,-5.729587563557179E-5
