% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 4 2020, 10:57"
% Table,Probe Table 1 - 
% resistance (Ω),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1,0,0,-5.2337325337729245E7,0.0075352501215996525,2.0932145837206075E8,4.7718958273994065E-4,-5.233732533681179E7,1800,6,60,-4.06804673801199E-6,81.38070131327586,-5.409045604385853E-4
1.2589254117941673,0,0,-6.563067110921487E7,0.00946758893101052,2.624949514493919E8,7.52300247126964E-4,-6.563067110776836E7,1800,6,60,-5.099683092600621E-6,102.24996045491555,-6.791059309830946E-4
1.5848931924611136,0,0,-8.221877223184684E7,0.011889586464959903,3.2884749885850024E8,5.877102747955761E-7,-8.221877223184572E7,1800,6,60,-1.3751920737586066E-6,128.407533821565,1.7397660022657344E-5
1.9952623149688797,0,0,-1.02871212942418E8,0.01492191081350412,4.1145743776352996E8,9.063908110488708E-7,-1.0287121294241633E8,1800,6,60,-1.7130731513614712E-6,161.15663678584164,2.1643050252633556E-5
2.51188643150958,0,0,-1.285105155298594E8,0.018713019391538778,5.140148696758325E8,1.4474966745104194E-6,-1.2851051552985668E8,1800,6,60,-2.135508637516493E-6,202.10060942861787,2.7424084453342855E-5
3.1622776601683795,0,0,-1.602270264796954E8,0.023444450573102616,6.408811923132788E8,2.2455611275809882E-6,-1.6022702647969118E8,1800,6,60,-2.6627170734566074E-6,253.2000661895081,3.419759915691433E-5
3.981071705534973,0,0,-1.9928542244250703E8,0.029336484131215246,7.971151269264255E8,3.5126215450848055E-6,-1.992854224425005E8,1800,6,60,-3.3192501517847826E-6,316.8340286171228,4.282482845713533E-5
5.011872336272724,0,0,-2.4711547291928855E8,0.0366537810000945,9.884357699258171E8,5.507214545765005E-6,-2.4711547291927773E8,1800,6,60,-4.134598081229613E-6,395.86083480101075,5.368624245478123E-5
6.309573444801933,0,0,-3.0527640754830396E8,0.045710319126925074,1.2210800627528055E9,8.508461790961311E-6,-3.052764075482874E8,1800,6,60,-5.143740704068351E-6,493.6714465707884,6.676818878970041E-5
7.943282347242816,0,0,-3.75380500182365E8,0.05687253060220849,1.5014971293251555E9,1.3286870575174627E-5,-3.7538050018233955E8,1800,6,60,-6.387520122196301E-6,614.223330503845,8.351721157211865E-5
10,0,0,-4.5895814818396163E8,0.07055901401394471,1.8358085940530112E9,2.0502393961056507E-5,-4.589581481839225E8,1800,6,60,-7.912570484957403E-6,762.0373513506006,1.0380743169315788E-4
12.589254117941675,0,0,-5.572454249010272E8,0.08723455716416306,2.228958023951771E9,1.3681440829693317E-6,-5.572454249010246E8,1800,6,60,-2.8885573505961747E-6,942.1332173729728,2.5896866152340356E-5
15.848931924611142,0,0,-6.708802763878562E8,0.10739581100937787,2.6834983955778546E9,2.238275363419094E-6,-6.708802763878517E8,1800,6,60,-3.544432233235397E-6,1159.8747589012883,3.3312374345770205E-5
19.952623149688797,0,0,-7.995044715556828E8,0.1315451679580339,3.1979962862551765E9,3.1692703632068256E-6,-7.995044715556767E8,1800,6,60,-4.330015431551807E-6,1420.6878139467628,3.9567680421541405E-5
25.11886431509581,0,0,-9.413013533423982E8,0.16015057055195808,3.7651850618276715E9,4.623316862884189E-6,-9.413013533423897E8,1800,6,60,-5.260563037426099E-6,1729.6261619611676,4.7797472051977704E-5
31.622776601683793,0,0,-1.0925399211877525E9,0.19358984110719227,4.370140697390969E9,7.269028894679378E-6,-1.0925399211877382E9,1800,6,60,-6.348393248308184E-6,2090.770283957703,6.020835028486642E-5
39.810717055349734,0,0,-1.2472538051277535E9,0.23208182402866456,4.98899768442211E9,9.685597719396449E-6,-1.2472538051277356E9,1800,6,60,-7.600532347672378E-6,2506.483699509596,6.927198868398954E-5
50.11872336272725,0,0,-1.397229278124588E9,0.27561153512953285,5.588901058165552E9,1.3708615103136914E-5,-1.3972292781245618E9,1800,6,60,-9.016583772153278E-6,2976.6045793989415,8.246900377378636E-5
63.09573444801933,0,0,-1.5324786597270567E9,0.32386248093608627,6.129900034473832E9,1.810925600654337E-5,-1.5324786597270215E9,1800,6,60,-1.058619299134534E-5,3497.7147941097187,9.460377625481958E-5
79.43282347242817,0,0,-1.6422944591282272E9,0.3761740429589174,6.569164562174728E9,2.6240478603688734E-5,-1.6422944591281772E9,1800,6,60,-1.2287966955221743E-5,4062.679663956325,1.1433922581682046E-4
100,0,0,-1.716802288939995E9,0.4315422868860289,6.867197036194652E9,3.127940574810012E-5,-1.7168022889399343E9,1800,6,60,-1.4089053379871787E-5,4660.656698369113,1.2422327737464728E-4
125.89254117941675,0,0,-1.7487025920170484E9,0.48867611152320956,6.9947991351895895E9,4.55121385008803E-5,-1.748702592016961E9,1800,6,60,-1.5947762830521567E-5,5277.702004450704,1.508563428690668E-4
158.48931924611142,0,0,-1.7347221875201008E9,0.5461073497397899,6.938878139681482E9,5.2314785612288006E-5,-1.7347221875200007E9,1800,6,60,-1.7815961635915772E-5,5897.959377189722,1.6108055394380917E-4
199.52623149688807,0,0,-1.676306113361677E9,0.6023374274201637,6.705220543844805E9,2.4256930032661672E-5,-1.6763061133616302E9,1800,6,60,-6.504789117157879E-6,6505.244216137807,-1.2718948479826866E-4
251.18864315095823,0,0,-1.5793099852986457E9,0.6559894442546624,6.317237266311915E9,2.8657173657673785E-5,-1.5793099852985902E9,1800,6,60,-7.0796696142990774E-6,7084.685997950258,-1.3823864842840052E-4
316.22776601683796,0,0,-1.4527982295857434E9,0.7059367539280328,5.811191247644739E9,3.2677821883000905E-5,-1.4527982295856822E9,1800,6,60,-7.614873023582285E-6,7624.116942422753,-1.4765612961311231E-4
398.1071705534973,0,0,-1.3073555753817842E9,0.7513806255088402,5.229421418698197E9,3.69376188463432E-5,-1.307355575381713E9,1800,6,60,-8.10180504857513E-6,8114.910755495373,-1.5697971116063422E-4
501.18723362727246,0,0,-1.1534106169204965E9,0.7918722044450985,4.613642234774448E9,4.497422987189689E-5,-1.15341061692041E9,1800,6,60,-8.5355862073959E-6,8552.219808007172,-1.7283106489260057E-4
630.9573444801937,0,0,-9.999632028335061E8,0.827284974534828,3.9998530541598616E9,4.7615327270097406E-5,-9.999632028334124E8,1800,6,60,-8.91505387447358E-6,8934.67772497609,-1.7794893832752458E-4
794.3282347242822,0,0,-8.538860231923658E8,0.8577546562017297,3.415544669878315E9,4.964047318437338E-5,-8.5388602319227E8,1800,6,60,-9.241572212161562E-6,9263.750286978744,-1.8181654917214256E-4
1000,0,0,-7.197643389605039E8,0.8836052855780294,2.879058180005685E9,4.699255333696759E-5,-7.197643389604126E8,1800,6,60,-9.51867497917226E-6,9542.9370842427,-1.7738532454362037E-4
1258.9254117941675,0,0,-6.00117745848742E8,0.9052768106969158,2.4004720095780563E9,5.2886571328161296E-5,-6.001177458486409E8,1800,6,60,-9.750816673082985E-6,9776.989555526623,-1.878543964006528E-4
1584.893192461114,0,0,-4.95821309301739E8,0.9232637364580987,1.983286379923895E9,5.411977046767508E-5,-4.95821309301634E8,1800,6,60,-9.943566765006674E-6,9971.248353747449,-1.9010250440080632E-4
1995.262314968881,0,0,-4.065771290382957E8,0.938068800499922,1.6263097752311492E9,5.6586082582168334E-5,-4.065771290381872E8,1800,6,60,-1.010219285736528E-5,10131.143045399343,-1.9432237030682004E-4
2511.886431509582,0,0,-3.3134283739950573E8,0.950171619620134,1.3253726656737514E9,5.722000919753082E-5,-3.313428373993952E8,1800,6,60,-1.0231897542962003E-5,10261.85349189763,-1.9547355166945476E-4
3162.2776601683795,0,0,-2.6867358319068563E8,0.9600100917626936,1.0746956893041618E9,5.571354829364324E-5,-2.686735831905786E8,1800,6,60,-1.0337361375457246E-5,10368.108991037067,-1.9310496872579285E-4
3981.0717055349733,0,0,-2.169693163371962E8,0.9679714703358602,8.678787045150039E8,5.990728655737041E-5,-2.1696931633708024E8,1800,6,60,-1.0422609601870144E-5,10454.09187962742,-1.999643484317996E-4
5011.872336272725,0,0,-1.746380140973767E8,0.9743901437660011,6.985535243675462E8,6.637949970291854E-5,-1.7463801409724888E8,1800,6,60,-1.0491275952749424E-5,10523.413552672997,-2.1004304587737507E-4
6309.573444801937,0,0,-1.4019280148649293E8,0.979549661828481,5.607726787168022E8,6.307860372452947E-5,-1.4019280148637098E8,1800,6,60,-1.0546637947015156E-5,10579.136347747492,-2.050493105343595E-4
7943.282347242822,0,0,-1.1230173472319719E8,0.983687117055827,4.4920843159189284E8,6.230055317869333E-5,-1.1230173472307701E8,1800,6,60,-1.0590986924973579E-5,10623.82086420285,-2.038816460949843E-4
10000,0,0,-8.98059676873438E7,0.9869986067069354,3.592253811179015E8,6.280182289410558E-5,-8.980596768722247E7,1800,6,60,-1.0626472376468304E-5,10659.584952434814,-2.0469310098962773E-4
