% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 18 2020, 13:12"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-1.6808109030622225E9,0.4191689612506562,9.241366935300568E9,2.000508906473094E7,-1.6604888386705E9,1800,6,60,-0.40868360641683366,4523.711653263584,0.46720088752485406
0,0.04,-1.680810903288126E9,0.4191689614378358,9.241366943623802E9,2.000508905416819E7,-1.6604888389073575E9,1800,6,60,-0.4086836070666419,4523.711655300713,0.4671967722114311
0,0.08,-1.6808109030795546E9,0.4191689612681433,9.241366936073748E9,2.0005089068044502E7,-1.6604888386844964E9,1800,6,60,-0.40868361158273064,4523.71165345281,0.4672007577721097
0,0.12,-1.6808109031862166E9,0.4191689613540534,9.24136693989563E9,2.0005089060583282E7,-1.6604888387987645E9,1800,6,60,-0.40868357061545474,4523.7116543882585,0.4671998285363553
0,0.16,-1.6808109032672095E9,0.41916896141880833,9.241366942777832E9,2.0005089055365644E7,-1.660488838885404E9,1800,6,60,-0.40868358615985506,4523.711655093685,0.46719341075583587
0.04,0,-1.5755015041760104E9,0.40625509022964945,8.675795414790878E9,1.6371446124330852E7,-1.558813344463762E9,1800,6,60,-30.76344936750925,4383.1008013741875,0.45453299230951094
0.04,0.04,-1.6766286077785265E9,0.41880867673016237,9.225252244907724E9,1.640018960458696E7,-1.6599174534515822E9,1800,6,60,-28.756992845929645,4519.765807365816,0.45484449885565736
0.04,0.08,-1.7868136373968265E9,0.43208115149142773,9.823664615207058E9,1.6387530138555337E7,-1.770121679427638E9,1800,6,60,-26.77254431387816,4664.054009814904,0.45686680079356506
0.04,0.12,-1.9068943838224995E9,0.4461024054475249,1.0475534949318546E10,1.6324346797114858E7,-1.8902729819731395E9,1800,6,60,-24.820365821555367,4816.315324456012,0.45646164920336263
0.04,0.16,-2.0376958243495903E9,0.460901491992405,1.1185311314471916E10,1.6199478654343348E7,-2.0212075367811754E9,1800,6,60,-22.910916281716602,4976.807530150391,0.45537319753387256
0.08,0,-1.3162553197531972E9,0.37256082153223813,7.283493573356841E9,6586818.349266335,-1.3093536235742884E9,1800,6,60,-64.15467584891088,4016.0275007344458,0.40253594046841185
0.08,0.04,-1.438595436098154E9,0.38902823700412187,7.9491402907603855E9,4997678.226630371,-1.4332864408385458E9,1800,6,60,-59.76048406599001,4195.530554685325,0.4116237423140113
0.08,0.08,-1.563305305524869E9,0.4051289351441378,8.627094656706612E9,2732549.7030066913,-1.5602661511244936E9,1800,6,60,-55.68161480694932,4370.781427459149,0.4137313493454974
0.08,0.12,-1.6782355145893178E9,0.41942172830396507,9.251444793806221E9,-574734.5437754714,-1.6785087193843696E9,1800,6,60,-52.28721862583022,4526.177571130283,0.41583477782510736
0.08,0.16,-1.75862260147119E9,0.429137078125756,9.68795566431408E9,-5637736.116452065,-1.763962663791905E9,1800,6,60,-50.20814996641659,4631.726201576257,0.4139902273512022
0.12,0,-1.0137172202161008E9,0.3285439772673252,5.651783042424269E9,-4270227.973980486,-1.0177063942928593E9,1800,6,60,-90.19508661775322,3537.6881627284083,0.3266869914989267
0.12,0.04,-1.073369704133727E9,0.33780194584597223,5.978413434456255E9,-1.016453984932684E7,-1.0832496679990258E9,1800,6,60,-88.37584963520779,3638.478223551198,0.32664534646578997
0.12,0.08,-1.080530881100712E9,0.33889981445181505,6.017710771855357E9,-1.9350249753763672E7,-1.0995960783790162E9,1800,6,60,-88.46217477828196,3650.416868618057,0.3198542533834432
0.12,0.12,-9.797881537562776E8,0.32317192168065373,5.466263193373423E9,-3.424084354667783E7,-1.0137498964027808E9,1800,6,60,-92.42483916410355,3479.1413751162395,0.29957721931879294
0.12,0.16,-7.002592085200862E8,0.27460895340713004,3.9295069087378035E9,-5.790636272866685E7,-7.57918882561043E8,1800,6,60,-101.5265270396564,2949.822172796727,0.2519311988513225
0.16,0,-7.436913224566101E8,0.28260126885135145,4.178256618584725E9,-9891331.768991046,-7.533777784983947E8,1800,6,60,-95.99103907011235,3041.755922335173,0.2441660783054039
0.16,0.04,-7.196428205503699E8,0.27810296136921664,4.045261438318536E9,-1.8851348827891905E7,-7.382934368701875E8,1800,6,60,-96.40837097932,2992.9544317737136,0.23129573122506206
0.16,0.08,-5.939327387470441E8,0.2531787218993652,3.3478677826343684E9,-3.134399209872037E7,-6.251012219861245E8,1800,6,60,-96.38189051624134,2722.7699975923833,0.2044946911222889
0.16,0.12,-3.319105963244994E8,0.1902835698301952,1.8837962574459832E9,-4.282594166696246E7,-3.746308335664016E8,1800,6,60,-88.47212100901092,2042.4139696138448,0.15960154406178187
0.16,0.16,-3.600257965939295E7,0.06339613251275952,2.0744142843448058E8,-2.5756708168999713E7,-6.174714212501841E7,1800,6,60,-40.59763346745841,677.757847097276,0.1631961203586576
