% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 19 2020, 11:48"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0,0,6.037023509446923E10,-1.7083973410427568E9,1.488779458250595E7,531320.6750243059,-1.6929782257852123E9,0.43002776299724704,1800,6,60,-0.0028995859621693044,4644.299840370276,-0.03831510459216882,5.5,0.5
0,0.04,6.0370255118418236E10,-1.7083974105638733E9,1.4887826146842739E7,531321.261187333,-1.6929782631558352E9,0.43002783789271515,1800,6,60,-0.0028944575005001925,4644.300649241328,-0.04395589628081889,5.5,0.5
0,0.08,6.0370242473032166E10,-1.708397368003657E9,1.4887795111687219E7,531320.7035337996,-1.692978252188441E9,0.43002778879317305,1800,6,60,-0.0028983994039906962,4644.3001189662655,-0.039580013012310344,5.5,0.5
0,0.12,6.0370222539760216E10,-1.7083973044601307E9,1.4887791461252099E7,531320.9293664338,-1.692978192069491E9,0.43002771750143143,1800,6,60,-0.002893501453451744,4644.299349015457,-0.04324526034049221,5.5,0.5
0,0.16,6.037023245046823E10,-1.7083973303052478E9,1.4887788778003708E7,531320.4943377046,-1.69297822103291E9,0.43002775308356495,1800,6,60,-0.0028968215440697614,4644.299733302513,-0.04036118740312046,5.5,0.5
0.04,0,5.6569390506448E10,-1.6014152749051793E9,1.4474697366602853E7,550387.2090145478,-1.5863901903295488E9,0.41648700018542417,1800,6,60,-0.23712635435280113,4498.059602002535,0.08855970988465957,5.5,0.5
0.04,0.04,6.01384160063406E10,-1.701615941781953E9,1.4601575539939845E7,537302.0575085136,-1.6864770641845047E9,0.4291246029649483,1800,6,60,-0.25018874203071395,4634.54571202142,0.09527048707225437,5.5,0.5
0.04,0.08,6.402161254802645E10,-1.8106074451853147E9,1.4709170389903493E7,523225.3712994839,-1.7953750494241498E9,0.4424539372933732,1800,6,60,-0.2646230496456816,4778.502522768435,0.10972618001509427,5.5,0.5
0.04,0.12,6.824750347109929E10,-1.9291830357434886E9,1.4792535150515296E7,508157.7494449524,-1.9138823428435338E9,0.45650591351098124,1800,6,60,-0.28067939650903906,4930.263865918615,0.12178016780298914,5.5,0.5
0.04,0.16,7.284389752698518E10,-2.058118153436632E9,1.4845920633080773E7,492137.60773683584,-2.0427800951958318E9,0.4713019635208366,1800,6,60,-0.2986708524501948,5090.061206025087,0.1308226688676973,5.5,0.5
0.08,0,4.709790278627764E10,-1.3347423710683732E9,1.3356965798560122E7,606421.7308333815,-1.3207789835389955E9,0.3805953378787793,1800,6,60,-0.4758422529444154,4110.429649090797,0.17577829266490821,5.5,0.5
0.08,0.04,5.146352726207162E10,-1.457232349671145E9,1.3429836345562238E7,597714.5478751741,-1.4432047987776954E9,0.3973632884183631,1800,6,60,-0.5354500123391084,4291.523514918391,0.19289727129262732,5.5,0.5
0.08,0.08,5.590817826399666E10,-1.581822099424037E9,1.3382175954589369E7,592443.2072956448,-1.5678474802621312E9,0.4136907295181624,1800,6,60,-0.6119548900762118,4467.859878796142,0.2307331812002896,5.5,0.5
0.08,0.12,6.000355038273685E10,-1.6964501020739083E9,1.3159713447594319E7,595213.9356768075,-1.6826951746906328E9,0.42811926190565697,1800,6,60,-0.7147900844449894,4623.68802858108,0.2688980557480711,5.5,0.5
0.08,0.16,6.287887740632447E10,-1.7766223827391555E9,1.2679355198567666E7,615519.9033772583,-1.763327507637215E9,0.43785235771269165,1800,6,60,-0.8623483689255371,4728.805463296996,0.3273562266177988,5.5,0.5
