% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 15:40"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,1500,0.16,-5.131368655458388E7,0.06752776672428511,4.899219444162532E8,-1.5489415230764257E7,-6.675448236879542E7,1500,6,60,-138.00519384674578,329.29448580682833,0.017696037897484425
0.01,1500,0.16,-5.166881607237665E7,0.06672639895832189,4.9245089669472486E8,-1.948691335015079E7,-7.110517143167026E7,1500,6,60,-140.23870274096032,330.14329257479955,-0.009172384359357176
0.02,1500,0.16,-5.1581113676388316E7,0.06575384050721607,4.9156906418137616E8,-2.3823674971232355E7,-7.535228218966879E7,1500,6,60,-142.2183077762935,329.8475660953691,0.008067319329299353
0.03,1500,0.16,-5.097342119117833E7,0.06457906205620419,4.8660744863586724E8,-2.846751511639048E7,-7.938652717599168E7,1500,6,60,-143.83335207293715,328.1786984093667,-0.012295525881751763
0.04,1500,0.16,-4.9769180769921936E7,0.06316880603773696,4.768804949868538E8,-3.3376304816441108E7,-8.308929881614776E7,1500,6,60,-145.00764188464825,324.8821060206411,-0.009213554038212834
0.05,1500,0.16,-4.790366579074786E7,0.06148176101402979,4.617123096044925E8,-3.8462757910141274E7,-8.630869628157383E7,1500,6,60,-145.600693522774,319.67357552778867,-0.0019309936546938117
0,1800,0.16,-7.389131540465355E7,0.06752794819797192,7.054885952768579E8,-2.230488980105902E7,-9.612619301342009E7,1800,6,60,-165.6066402452556,395.15366171415525,1.5631283442374226E-4
0.01,1800,0.16,-7.440308591677265E7,0.06672640895572873,7.091293146456436E8,-2.806111738047331E7,-1.0239139978286886E8,1800,6,60,-168.28634586333453,396.17195762773105,-0.011419659946059663
0.02,1800,0.16,-7.427680946901745E7,0.06575383395162404,7.078594339303015E8,-3.430609510140695E7,-1.0850729527449246E8,1800,6,60,-170.66196774321747,395.81707414462136,0.00967322372459504
0.03,1800,0.16,-7.340172718506682E7,0.06457906181638223,7.007147250040525E8,-4.099322179753651E7,-1.1431659983339839E8,1800,6,60,-172.60002249398906,393.81443780131417,-0.014752917575246383
0.04,1800,0.16,-7.1667620862256E7,0.06316880736752131,6.867079188276393E8,-4.806187741058119E7,-1.1964858932402955E8,1800,6,60,-174.0091687419793,389.85852894117926,-0.011060240209469928
0.05,1800,0.16,-6.898128123855825E7,0.061481759616855834,6.648657290109463E8,-5.5386369165315315E7,-1.24284522921594E8,1800,6,60,-174.72082507266336,383.6082915508892,-0.002322904772007624
0,2100,0.16,-1.0057424988516857E8,0.0675279937572116,9.602485371224126E8,-3.035953001950795E7,-1.3083848553289503E8,2100,6,60,-193.20808366327785,461.0126464603873,-7.907362681505409E-4
0.01,2100,0.16,-1.012708744615179E8,0.06672640547807206,9.652037784832107E8,-3.8194295625557005E7,-1.3936607641762063E8,2100,6,60,-196.33405656594576,462.2006146236296,-0.013328441292027688
0.02,2100,0.16,-1.0109899898176901E8,0.06575382859815852,9.634753038391825E8,-4.6694424552292764E7,-1.476905108860292E8,2100,6,60,-199.10566137850913,461.78657768592984,0.011289676859738624
0.03,2100,0.16,-9.990790893778424E7,0.06457905999298837,9.537505872620895E8,-5.5796326523116134E7,-1.555975935650286E8,2100,6,60,-201.36668320858544,459.4501748672811,-0.01721273630845117
0.04,2100,0.16,-9.754759625443095E7,0.06316880604446355,9.346857685191882E8,-6.541753377000874E7,-1.6285500395602062E8,2100,6,60,-203.01064932937908,454.83494802620396,-0.012940349606289186
0.05,2100,0.16,-9.389118429909544E7,0.06148176085510951,9.0495612758976E8,-7.538702113567708E7,-1.691650596923993E8,2100,6,60,-203.84100166242726,447.54300592804753,-0.002651339906171198
0,2400,0.16,-1.31362269348757E8,0.06752801882745456,1.254202243603286E9,-3.965331743858777E7,-1.7089112068761352E8,2400,6,60,-220.80941002071455,526.8716112180853,-0.0021213301752983854
0.01,2400,0.16,-1.3227216022419631E8,0.0667264063869544,1.2606743212887611E9,-4.9886421964364775E7,-1.8202915372172344E8,2400,6,60,-224.3817695970573,528.2292735145094,-0.01526483568145098
0.02,2400,0.16,-1.3204766724748382E8,0.06575383057445039,1.2584167340365894E9,-6.098864084061014E7,-1.9290189156558275E8,2400,6,60,-227.54934064180688,527.7560910181176,0.012894886694576361
0.03,2400,0.16,-1.3049197247465244E8,0.06457905793645506,1.2457150389475174E9,-7.287681160661806E7,-2.032294967138568E8,2400,6,60,-230.13330545917097,525.0859112249736,-0.01954100343839122
0.04,2400,0.16,-1.2740910500362553E8,0.06316880555245821,1.2208140637358925E9,-8.544334967773825E7,-2.1270861655068132E8,2400,6,60,-232.01224374771712,519.8113689027495,-0.014736864562328327
0.05,2400,0.16,-1.2263338969692242E8,0.0614817583276138,1.1819835075432215E9,-9.846466121311331E7,-2.2095026872067282E8,2400,6,60,-232.96110609981312,511.47771975303954,-0.003095101598175027
0,2700,0.16,-1.6625532586017793E8,0.06752805036178894,1.5873499062648528E9,-5.018629099897861E7,-2.1628408945177472E8,2700,6,60,-248.4107857961355,592.7305984123633,-0.002886837638556141
0.01,2700,0.16,-1.6740694818830433E8,0.06672640863740852,1.5955409521820614E9,-6.313749338033578E7,-2.3038063366310942E8,2700,6,60,-252.42947802669698,594.2579353669679,-0.017181432866238012
