% Model,Untitled.mph,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,
% Date,"Dec 8 2020, 13:59",,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,1200,0.16,-3.11E+08,0.27947652,1.77E+09,-5819078.129,-3.17E+08,1200,6,60,-87.14312472,1976.769261,-0.004987555
0.01,1200,0.16,-3.12E+08,0.279885309,1.78E+09,-7359012.194,-3.19E+08,1200,6,60,-88.54271114,1980.700933,-0.007521573
0.02,1200,0.16,-3.11E+08,0.279587374,1.78E+09,-9051857.682,-3.20E+08,1200,6,60,-89.87735112,1979.485474,-0.009879205
0.03,1200,0.16,-3.08E+08,0.278436861,1.76E+09,-1.09E+07,-3.19E+08,1200,6,60,-91.10619218,1972.075729,-0.012393478
0.04,1200,0.16,-3.03E+08,0.276266861,1.74E+09,-1.29E+07,-3.16E+08,1200,6,60,-92.19738285,1957.27521,-0.015271696
0.05,1200,0.16,-2.95E+08,0.272880676,1.70E+09,-1.51E+07,-3.10E+08,1200,6,60,-93.08857358,1933.676685,-0.019286044
0,1800,0.16,-7.00E+08,0.279476281,3.99E+09,-1.31E+07,-7.13E+08,1800,6,60,-130.7122449,2965.151347,-0.00803498
0.01,1800,0.16,-7.02E+08,0.279885328,4.00E+09,-1.66E+07,-7.18E+08,1800,6,60,-132.8139892,2971.05161,-0.011277603
0.02,1800,0.16,-7.00E+08,0.279586828,4.00E+09,-2.04E+07,-7.20E+08,1800,6,60,-134.8112964,2969.222491,-0.015193001
0.03,1800,0.16,-6.93E+08,0.278436741,3.97E+09,-2.45E+07,-7.18E+08,1800,6,60,-136.6609442,2958.112386,-0.01834713
0.04,1800,0.16,-6.82E+08,0.276266893,3.91E+09,-2.91E+07,-7.11E+08,1800,6,60,-138.2960343,2935.913158,-0.022893449
0.05,1800,0.16,-6.64E+08,0.272880675,3.82E+09,-3.39E+07,-6.98E+08,1800,6,60,-139.632862,2900.515012,-0.028930517
0,2400,0.16,-1.24E+09,0.279475629,7.09E+09,-2.33E+07,-1.27E+09,2400,6,60,-174.2823603,3953.52633,-0.010754031
0.01,2400,0.16,-1.25E+09,0.279885323,7.12E+09,-2.94E+07,-1.28E+09,2400,6,60,-177.0853354,3961.402076,-0.015039859
0.02,2400,0.16,-1.24E+09,0.279587366,7.11E+09,-3.62E+07,-1.28E+09,2400,6,60,-179.7546695,3958.970846,-0.019755984
0.03,2400,0.16,-1.23E+09,0.278436739,7.05E+09,-4.36E+07,-1.28E+09,2400,6,60,-182.2144532,3944.14982,-0.02446916
0.04,2400,0.16,-1.21E+09,0.276266886,6.95E+09,-5.17E+07,-1.26E+09,2400,6,60,-184.3947434,3914.550775,-0.030527794
0.05,2400,0.16,-1.18E+09,0.272880002,6.78E+09,-6.03E+07,-1.24E+09,2400,6,60,-186.1754734,3867.344,-0.038129529
0,1200,0.45,-2.44E+07,0.092087473,1.65E+08,-1.33E+07,-3.76E+07,1200,6,60,-98.28284431,602.8851207,-0.006868463
0.01,1200,0.45,-1.88E+07,0.081537419,1.29E+08,-1.33E+07,-3.20E+07,1200,6,60,-91.28384858,533.113457,-0.007507469
0.02,1200,0.45,-1.33E+07,0.069332498,9.28E+07,-1.27E+07,-2.59E+07,1200,6,60,-82.05915087,452.441145,-0.008026164
0.03,1200,0.45,-8302303.596,0.05542682,5.90E+07,-1.13E+07,-1.96E+07,1200,6,60,-70.18762762,360.7751036,-0.008039981
0.04,1200,0.45,-4180556.882,0.03987018,3.03E+07,-9073525.21,-1.32E+07,1200,6,60,-55.18583905,258.4078534,-0.007474528
0.05,1200,0.45,-1317488.525,0.023585695,9667534.84,-5928170.15,-7242256.763,1200,6,60,-36.30430628,146.0092685,-0.005395651
0,1800,0.45,-5.48E+07,0.092087298,3.71E+08,-2.99E+07,-8.47E+07,1800,6,60,-147.4186756,904.3284888,-0.01028132
0.01,1800,0.45,-4.22E+07,0.081537213,2.90E+08,-2.99E+07,-7.21E+07,1800,6,60,-136.9284609,799.6674622,-0.011297437
0.02,1800,0.45,-2.99E+07,0.069332494,2.09E+08,-2.85E+07,-5.83E+07,1800,6,60,-123.088741,678.6616818,-0.012039267
0.03,1800,0.45,-1.87E+07,0.055426836,1.33E+08,-2.54E+07,-4.41E+07,1800,6,60,-105.2814727,541.1627659,-0.01200746
0.04,1800,0.45,-9406253.01,0.03987018,6.81E+07,-2.04E+07,-2.98E+07,1800,6,60,-82.77875899,387.6117808,-0.011211804
0.05,1800,0.45,-2964349.157,0.023585694,2.18E+07,-1.33E+07,-1.63E+07,1800,6,60,-54.456459,219.0139009,-0.008093475
