% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 10:57"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),B_app (T),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.25,1,0.6360860849264596,1800,1,60,2803311.9158081785,144910.18949522256,18781.05969180078,226329.09245906127,5593729.07107108,250,50,5694349.388367328,-6015866.991110757,0.01018935955956933,-0.022600600631226684,8.433783443397248E-4
0.05,1.6666666666666667,0,0.25,6,1.0887644912238013,1800,6,60,3.858344922934889E7,3211610.2902824907,1.9745160927381553E7,3.03615133996586E7,2.825736662338348E8,250,50,6.731583801813222E8,-1.3406123092706382E8,0.00124270243498195,-0.08155601520946346,2.2162223651335438E-4
0.05,1.6666666666666667,0,0.25,10,1.2617386219971718,1800,10,60,6.632211114015916E7,-8082610.339572025,8.151237543043967E7,8.79043525918864E7,7.507994004370536E8,250,50,1.3158715910017357E9,-2.929372544327387E8,5.368496379001004E-4,-0.08662277971183746,1.719125088961391E-4
0.07500000000000001,1.6666666666666667,0,0.25,1,0.6360860853662665,1800,1,60,2803311.9435753603,144910.20504622464,18781.060334179074,226329.10666412575,5593729.064534611,250,75.00000000000001,5694349.20761119,-6015866.998740598,0.010189359616236921,-0.022600600747259496,8.4337830431848E-4
0.07500000000000001,1.6666666666666667,0,0.25,6,1.0887644935568432,1800,6,60,3.8583449550201595E7,3211610.5515166773,1.974516121380039E7,3.0361514003447548E7,2.8257366692007095E8,250,75.00000000000001,6.731583852846011E8,-1.340612313230921E8,0.0012427024682393486,-0.08155601526815533,2.2162223740059082E-4
0.07500000000000001,1.6666666666666667,0,0.25,10,1.2617386230506609,1800,10,60,6.6322111498373605E7,-8082609.7266297955,8.151237573279488E7,8.790435303302272E7,7.507994014703561E8,250,75.00000000000001,1.315871547896127E9,-2.9293725460322046E8,5.368496810433266E-4,-0.0866227797034649,1.7191247435755454E-4
0.1,1.6666666666666667,0,0.25,1,0.6360860851544956,1800,1,60,2803311.9097661814,144910.1973790134,18781.06005108064,226329.1034160608,5593729.076443093,250,100,5694349.635087784,-6015867.004141822,0.010189359563016927,-0.022600600811914895,8.43378384535715E-4
0.1,1.6666666666666667,0,0.25,6,1.088764491650977,1800,6,60,3.8583449091574304E7,3211610.1683526165,1.9745160887069378E7,3.036151329678676E7,2.825736664379716E8,250,100,6.731583855786284E8,-1.3406123090863276E8,0.0012427024504328367,-0.0815560152030313,2.216222784101019E-4
0.1,1.6666666666666667,0,0.25,10,1.2617386097940793,1800,10,60,6.632210971430524E7,-8082611.008870142,8.151237302544959E7,8.790434902866508E7,7.5079939648104E8,250,100,1.3158715465532868E9,-2.9293725262415314E8,5.368494867828949E-4,-0.08662277959207636,1.719125675116749E-4
0.125,1.6666666666666667,0,0.25,1,0.636086085515001,1800,1,60,2803311.9224738907,144910.19336963267,18781.059812756524,226329.09663108247,5593729.063862095,250,125,5694349.404426758,-6015866.987436613,0.010189359573415371,-0.022600600584722283,8.433782876399581E-4
0.125,1.6666666666666667,0,0.25,6,1.0887644939121666,1800,6,60,3.8583449533786885E7,3211610.674866056,1.9745161190172613E7,3.036151397507849E7,2.825736665204236E8,250,125,6.731583736399903E8,-1.3406123120379728E8,0.0012427024741233073,-0.0815560152416491,2.2162230308881524E-4
0.125,1.6666666666666667,0,0.25,10,1.2617386194951448,1800,10,60,6.6322111390881196E7,-8082609.303098284,8.15123759049473E7,8.790435332610516E7,7.50799401843994E8,250,125,1.315871520386897E9,-2.929372549042897E8,5.368495822651329E-4,-0.08662277972028182,1.7191253743206595E-4
0.15000000000000002,1.6666666666666667,0,0.25,1,0.6360860845251836,1800,1,60,2803311.9002897046,144910.1892408308,18781.059748809166,226329.09416685486,5593729.081712253,250,150.00000000000003,5694349.561564837,-6015867.001869678,0.010189359540531913,-0.022600600775150605,8.433784277685276E-4
0.15000000000000002,1.6666666666666667,0,0.25,6,1.0887644896866653,1800,6,60,3.858344799580313E7,3211609.8463619226,1.974516056568861E7,3.0361512598725956E7,2.8257366654554105E8,250,150.00000000000003,6.731583806068625E8,-1.3406123065418938E8,0.0012427024248970165,-0.08155601515035726,2.2162264387210598E-4
0.15000000000000002,1.6666666666666667,0,0.25,10,1.2617386189755084,1800,10,60,6.632211134438874E7,-8082609.433249179,8.151237585478722E7,8.790435322223406E7,7.507994019379878E8,250,150.00000000000003,1.3158715273360128E9,-2.9293725504551655E8,5.368495466087699E-4,-0.08662277975351894,1.719125559934389E-4
0.175,1.6666666666666667,0,0.25,1,0.6360860851245842,1800,1,60,2803311.914073696,144910.18642184036,18781.059539336708,226329.08918402134,5593729.067259872,250,175,5694349.38389489,-6015866.984407014,0.010189359553335983,-0.022600600537094076,8.433783369458008E-4
0.175,1.6666666666666667,0,0.25,6,1.0887644916687222,1800,6,60,3.858344867980878E7,3211610.4595664837,1.97451608844426E7,3.036151330323515E7,2.825736665068419E8,250,175,6.731583599296471E8,-1.3406123091543229E8,0.0012427024413036855,-0.08155601519715945,2.216223551052343E-4
0.175,1.6666666666666667,0,0.25,10,1.2617386149277217,1800,10,60,6.632210936469229E7,-8082611.028265592,8.151237317446855E7,8.790434931513087E7,7.507993975894914E8,250,175,1.3158715608116345E9,-2.929372526900284E8,5.368496240177156E-4,-0.08662277957238515,1.7191260985560778E-4
0.2,1.6666666666666667,0,0.25,1,0.6360860856771952,1800,1,60,2803311.9294547886,144910.19504564098,18781.059865977466,226329.0977398214,5593729.060429176,250,200,5694349.348018616,-6015866.985411044,0.010189359584340247,-0.022600600558760838,8.433782622426486E-4
0.2,1.6666666666666667,0,0.25,6,1.088764494135812,1800,6,60,3.8583449310682155E7,3211610.850453965,1.9745161266792014E7,3.0361514131099395E7,2.825736668524214E8,250,200,6.731583648957527E8,-1.340612313732072E8,0.0012427024568898255,-0.08155601528175473,2.2162234866815922E-4
0.2,1.6666666666666667,0,0.25,10,1.2617386173136742,1800,10,60,6.632211106719763E7,-8082609.77057061,8.151237534343946E7,8.790435246042475E7,7.507994007347692E8,250,200,1.3158715352323077E9,-2.929372545085992E8,5.368495597911341E-4,-0.08662277971917116,1.7191248438826052E-4
0.22500000000000003,1.6666666666666667,0,0.25,1,0.6360860843088577,1800,1,60,2803311.8808715385,144910.18215403345,18781.059461547346,226329.08890784328,5593729.087752232,250,225.00000000000003,5694349.753842291,-6015867.0016895095,0.010189359503726163,-0.02260060076658592,8.433785093711562E-4
0.22500000000000003,1.6666666666666667,0,0.25,6,1.0887644950902973,1800,6,60,3.858344977787404E7,3211611.0372884367,1.974516141112596E7,3.036151445773988E7,2.8257366688607997E8,250,225.00000000000003,6.73158364484146E8,-1.3406123150101314E8,0.0012427024763267804,-0.08155601530169689,2.2162220744238596E-4
0.22500000000000003,1.6666666666666667,0,0.25,10,1.2617386106147046,1800,10,60,6.63221086474915E7,-8082611.235967046,8.151237251539059E7,8.790434830752751E7,7.507993954306513E8,250,225.00000000000003,1.3158715480094404E9,-2.929372522654363E8,5.368495168833346E-4,-0.08662277962117225,1.7191266734648282E-4
0.25,1.6666666666666667,0,0.25,1,0.6360860845021975,1800,1,60,2803311.889397675,144910.18624103136,18781.059626064227,226329.0924372613,5593729.084510757,250,250,5694349.688197248,-6015867.002039148,0.010189359521319448,-0.02260060077586334,8.433784229539501E-4
0.25,1.6666666666666667,0,0.25,6,1.088764492274869,1800,6,60,3.858344863823192E7,3211610.332660137,1.974516104601619E7,3.0361513623120837E7,2.825736673952756E8,250,250,6.731583858585973E8,-1.3406123130847228E8,0.0012427024373137885,-0.08155601526905858,2.2162255092163802E-4
