% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 09:48"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),ew_cw_ratio (1),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.5,10,1.1655484613389968,1800,6,60,4.0521265663765565E7,2.635889323375613E7,1.806136845984635E7,3.567443074690393E7,3.358972275167614E8,500,50,-7.950755406089436E8,-1.415856250823128E8,0.008597144455699217,-0.09433823638429792,8.907475408514881E-4
0.05,1.6666666666666667,0,0.5,50,1.1655484638985727,1800,6,60,4.0521266383972004E7,2.635889416464829E7,1.806136876390223E7,3.5674431546580456E7,3.358972274787568E8,500,50,-7.950755801790799E8,-1.4158562542134997E8,0.008597144415487012,-0.09433823665499648,8.907472347258505E-4
0.05,1.6666666666666667,0,0.5,100,1.1655484657425772,1800,6,60,4.0521266398102015E7,2.6358894368383303E7,1.8061368885003537E7,3.5674431816231966E7,3.3589722829503566E8,500,50,-7.950755851959215E8,-1.415856256464653E8,0.008597144508995385,-0.09433823679071794,8.907473052283014E-4
0.1,1.6666666666666667,0,0.5,10,1.1655484645463126,1800,6,60,4.052126669622423E7,2.635889448798433E7,1.8061368897195682E7,3.567443181494881E7,3.3589722782715297E8,500,100,-7.95075597293757E8,-1.4158562559825498E8,0.008597144431796867,-0.09433823678287936,8.907471355376282E-4
0.1,1.6666666666666667,0,0.5,50,1.1655484687796773,1800,6,60,4.052126800740386E7,2.6358896054822277E7,1.806136938832844E7,3.56744331147025E7,3.358972275181998E8,500,100,-7.950756662225615E8,-1.4158562600956815E8,0.00859714449264104,-0.09433823708220213,8.907468138136309E-4
0.1,1.6666666666666667,0,0.5,100,1.1655484622214765,1800,6,60,4.0521266638732426E7,2.6358893678507484E7,1.806136850802786E7,3.567443091491273E7,3.358972256173107E8,500,100,-7.950755701474978E8,-1.4158562482428288E8,0.00859714444430938,-0.0943382362997022,8.907469685684741E-4
0.15000000000000002,1.6666666666666667,0,0.5,10,1.1655484653282944,1800,6,60,4.0521266852309085E7,2.6358894630317226E7,1.8061368903566316E7,3.5674431909052454E7,3.3589722731862193E8,500,150.00000000000003,-7.950756022573557E8,-1.4158562552464297E8,0.008597144469996628,-0.09433823668290832,8.907471360758651E-4
0.15000000000000002,1.6666666666666667,0,0.5,50,1.1655484622447856,1800,6,60,4.0521265890449144E7,2.635889358983703E7,1.806136859015114E7,3.567443104244306E7,3.3589722766025263E8,500,150.00000000000003,-7.950755579586319E8,-1.4158562527497455E8,0.008597144421032309,-0.09433823655551331,8.907472998290744E-4
0.15000000000000002,1.6666666666666667,0,0.5,100,1.1655484665316964,1800,6,60,4.052126737051792E7,2.635889526008805E7,1.806136910869324E7,3.567443240530473E7,3.358972273653895E8,500,150.00000000000003,-7.950756330433168E8,-1.415856257224705E8,0.008597144473119657,-0.09433823681365064,8.907469982613085E-4
0.2,1.6666666666666667,0,0.5,10,1.1655484668320213,1800,6,60,4.052126769320175E7,2.6358895403448146E7,1.8061369111603767E7,3.5674432471373424E7,3.358972265391821E8,500,200,-7.950756403344132E8,-1.4158562558837023E8,0.008597144477103347,-0.09433823681339536,8.907467168040825E-4
0.2,1.6666666666666667,0,0.5,50,1.165548470167617,1800,6,60,4.052126792387332E7,2.6358896535305563E7,1.8061369568183705E7,3.567443360279159E7,3.35897228690357E8,500,200,-7.950756818815883E8,-1.415856264303835E8,0.008597144527304946,-0.09433823724527145,8.907467871185493E-4
0.2,1.6666666666666667,0,0.5,100,1.1655484654313386,1800,6,60,4.052126672076388E7,2.6358894551265284E7,1.8061368869490996E7,3.5674431851926394E7,3.35897227268052E8,500,200,-7.950755971663538E8,-1.4158562549201983E8,0.00859714449454465,-0.09433823665293295,8.907469827356092E-4
0.25,1.6666666666666667,0,0.5,10,1.1655484640629983,1800,6,60,4.0521266285071775E7,2.6358894173881464E7,1.806136878702941E7,3.567443158584186E7,3.358972278459348E8,500,250,-7.9507557955173E8,-1.4158562550304312E8,0.008597144457158278,-0.0943382366859533,8.90747263101818E-4
