% Model,Evan_segmented_faraday_v8.mph,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,,,,
% Date,"Apr 28 2021, 07:09",,,,,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.66666666666667,0,0.5,0.947881468400351,1800,6,60,38964728.5653639,2792518.98144621,1783107.05143053,-1207950.73535491,59943964.5739208,500,50,-525779706.202875,-43984102.8169502,0.03470628346784,0.096251239536372,0.002875310184833
0.1,1.66666666666667,0,0.5,0.947881468092502,1800,6,60,38964728.5584787,2792518.83295067,1783106.97011887,-1207950.78955577,59943963.2291928,500,100,-525779690.238656,-43984102.0097024,0.03470628421702,0.096251244818339,0.002875309225979
0.15,1.66666666666667,0,0.5,0.947881476765603,1800,6,60,38964728.9250273,2792519.55647352,1783107.27151701,-1207950.33007808,59943965.7196347,500,150,-525779741.642598,-43984103.8493312,0.03470628310412,0.096251233725023,0.002875310711446
0.2,1.66666666666667,0,0.5,0.947881474366323,1800,6,60,38964728.8350652,2792519.30948257,1783107.23580177,-1207950.4762348,59943966.1151888,500,200,-525779729.229008,-43984103.9449341,0.034706283090638,0.096251233187004,0.002875310742449
0.25,1.66666666666667,0,0.5,0.947881477364502,1800,6,60,38964729.9002153,2792519.50837716,1783107.13896254,-1207950.38244293,59943961.8556785,500,250,-525779729.980233,-43984101.7456744,0.034706285057949,0.096251246023876,0.002875309319645
0.3,1.66666666666667,0,0.5,0.947881476648078,1800,6,60,38964728.885276,2792519.4701932,1783107.24159316,-1207950.34899171,59943965.2934179,500,300,-525779732.798,-43984103.6075801,0.034706283196154,0.096251234318448,0.002875310220002
0.35,1.66666666666667,0,0.5,0.947881481910242,1800,6,60,38964731.3707149,2792519.78894477,1783107.22725247,-1207950.2570017,59943960.4599135,500,350,-525779752.108989,-43984101.3801751,0.034706285769093,0.096251248172377,0.002875308015125
0.4,1.66666666666667,0,0.5,0.947881473797996,1800,6,60,38964729.9701458,2792519.26432272,1783107.05020789,-1207950.55281934,59943961.043466,500,400,-525779715.21363,-43984101.1947434,0.034706285148178,0.096251248926575,0.002875308512536
0.45,1.66666666666667,0,0.5,0.947881472271006,1800,6,60,38964728.9203529,2792519.12532422,1783107.10132485,-1207950.58250823,59943963.8884599,500,450,-525779709.923389,-43984102.6284328,0.034706283824734,0.096251240387819,0.002875309360141
0.5,1.66666666666667,0,0.5,0.947881465484701,1800,6,60,38964729.1771299,2792518.67017391,1783106.9209373,-1207950.95342993,59943962.451613,500,500,-525779685.86737,-43984101.5461797,0.034706284667231,0.096251246916499,0.002875309164646
0.05,1.66666666666667,0,0.25,0.930318511339443,1800,6,60,38392881.1877352,487036.994304095,2028448.9507563,-2440069.14779589,54705721.6705824,250,50,-450505008.441483,-42362530.3567807,0.007748922022996,-0.033993680077385,0.000717916740886
0.1,1.66666666666667,0,0.25,0.930318511053924,1800,6,60,38392880.7272592,487037.048773274,2028449.02095994,-2440069.10488202,54705722.9848429,250,100,-450505015.874115,-42362531.1668898,0.00774892179347,-0.033993681525906,0.000717917021654
0.15,1.66666666666667,0,0.25,0.93031851248966,1800,6,60,38392881.3572706,487037.121419566,2028448.9499013,-2440069.07473208,54705720.7942761,250,150,-450505013.277541,-42362529.9256562,0.007748922099958,-0.033993679492804,0.000717917178688
0.2,1.66666666666667,0,0.25,0.930318510948762,1800,6,60,38392880.9143307,487037.124002425,2028448.94042248,-2440069.10668211,54705721.3097343,250,200,-450505015.555191,-42362530.1452504,0.007748921987459,-0.033993679907611,0.00071791694586
0.25,1.66666666666667,0,0.25,0.930318517958494,1800,6,60,38392881.6216741,487037.141828492,2028449.14098174,-2440068.88640425,54705722.2992999,250,250,-450505015.383142,-42362531.1137537,0.007748922043737,-0.033993681433329,0.000717917465934
