% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 12:25"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),sig_b (S/m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.25,10,0.2046067306086172,1800,6,10,124896.00436754995,-673804.6193994688,422626.33381940017,-740927.92239998,3445128.0379719124,250,50,-4.452269425635568E7,-1147180.8385669438,0.08866082476352043,0.7039933902148422,0.006251658870280066
0.05,1.6666666666666667,0,0.25,60,0.21488733837304108,1800,6,60,3269670.9903600137,-4112197.230887299,1958536.4927508086,-7439123.090789674,2.1430365886310454E7,250,50,-4.8049657751393E8,-6519801.934416789,0.007086776017386882,0.14896828819675562,5.417475913527618E-4
0.05,1.6666666666666667,0,0.25,100,0.2265780301006616,1800,6,100,7297719.5338724,-6981491.102778546,2720982.88663661,-1.5158269526681568E7,3.742504084122195E7,250,50,-9.907055736854246E8,-1.0501489636218796E7,3.9270681475083276E-4,0.10806635035674308,1.527077840074878E-4
0.07500000000000001,1.6666666666666667,0,0.25,10,0.3344499842534826,1800,6,10,444339.4341944202,-457087.3049740802,1281015.532964079,98654.35562980284,1.815009908995661E7,250,75.00000000000001,-6.59339883963815E7,-1.2738949351827916E7,0.03198440605184174,0.27011890204644456,0.002516315378803053
0.07500000000000001,1.6666666666666667,0,0.25,60,0.33348595858375873,1800,6,60,1.0687569241181444E7,-2184268.1476053814,5465930.57519155,-5781070.181896905,1.0449155145292759E8,250,75.00000000000001,-8.238847826802967E8,-6.989688102784683E7,0.0023911229319031517,0.0603878178304583,3.1632888669212993E-4
0.07500000000000001,1.6666666666666667,0,0.25,100,0.344044006417892,1800,6,100,2.276131515373068E7,-3506387.7568864757,7193615.156777432,-1.4898099177417818E7,1.739801050972264E8,250,75.00000000000001,-1.689575143391749E9,-1.102964910627034E8,-3.8763418467481774E-4,0.044743035721705494,1.4672969971164083E-4
0.1,1.6666666666666667,0,0.25,10,0.4331262430014053,1800,6,10,548241.7320609404,-314859.24328872573,1650607.7314231528,740719.3793301623,2.512574215481323E7,250,100,-5.409355534584317E7,-1.7157478005848233E7,0.02127002930821494,0.18838201082156072,0.0023801073001040104
0.1,1.6666666666666667,0,0.25,60,0.4246297180052077,1800,6,60,1.3357706860276353E7,-1350842.400256317,6959475.833858954,-3293323.005934447,1.3984361209344286E8,250,100,-8.092687672306681E8,-9.42082766224455E7,-0.00113940856285752,0.03848848954186215,7.338843051893052E-4
0.1,1.6666666666666667,0,0.25,100,0.42818996189626235,1800,6,100,2.86035846838532E7,-2279740.1469216375,9074461.181971384,-1.1801210015562013E7,2.2864729438951185E8,250,100,-1.6905391864192605E9,-1.4863001861923322E8,-0.003551634337010655,0.027307762627416417,5.711874326724953E-4
0.125,1.6666666666666667,0,0.25,10,0.43929540387199806,1800,6,10,566262.5475038253,-281141.5276353364,1711259.8475464885,849934.6433504637,2.54467737257009E7,250,125,-5.274397059642583E7,-1.7531122205482796E7,0.021012785774753708,0.16877000909535336,0.001982695957309412
