% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 12:54"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),u_x (m/s),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.25,1800,0.21488733819539046,1800,6,60,3269670.9883550154,-4112197.2744776686,1958536.4796663006,-7439123.143861366,2.143036591515574E7,250,50,-4.804965771863688E8,-6519801.930673109,0.00708677597153354,0.14896828832331116,5.417475880661693E-4
0.05,1.6666666666666667,0,0.25,2400,0.21488733878626315,2400,6,60,5812748.491974291,-7310572.838348618,3481842.668222105,-1.3225107723591767E7,3.809842812412225E7,250,50,-8.542161412241316E8,-1.1590758985650394E7,0.0037672111539846266,0.12567473246476843,2.9914830797850024E-4
0.1,1.6666666666666667,0,0.25,1800,0.4246297136539519,1800,6,60,1.335770675000431E7,-1350842.7307183342,6959475.629808641,-3293323.468351554,1.3984361228712836E8,250,100,-8.092687606765466E8,-9.420827635554686E7,-0.0011394086323698246,0.03848848955374002,7.338842853339729E-4
0.1,1.6666666666666667,0,0.25,2400,0.4246297142472041,2400,6,60,2.374703390961268E7,-2401498.506993806,1.237240101357492E7,-5854797.530359525,2.4861086698674253E8,250,100,-1.4387000033582575E9,-1.674813801643656E8,-0.002140873829580504,0.031315506390869545,6.591786373725017E-4
0.15000000000000002,1.6666666666666667,0,0.25,1800,0.4347428753703674,1800,6,60,1.4013225831234815E7,-1020791.2555859893,7320557.986951603,-2660942.017427445,1.3970540102694497E8,250,150.00000000000003,-8.146098862539185E8,-9.652564980596685E7,9.986450581016342E-4,0.027941419556641492,3.7709968655317763E-4
0.15000000000000002,1.6666666666666667,0,0.25,2400,0.4347428745387819,2400,6,60,2.491240105635905E7,-1814740.2293379828,1.3014325197387993E7,-4730563.832198397,2.483651578081476E8,250,150.00000000000003,-1.4481953454771423E9,-1.7160115517211902E8,1.0994832273511489E-4,0.0215042785994914,3.100577745114777E-4
0.2,1.6666666666666667,0,0.25,1800,0.44295483094662014,1800,6,60,1.4412490432981899E7,-822271.5302219781,7527877.170485029,-2282904.5445839404,1.3660922116890562E8,250,200,-8.171372895315452E8,-9.71330197097916E7,0.002241238469134388,0.021094259107300603,2.006685784112324E-4
0.2,1.6666666666666667,0,0.25,2400,0.4429548295534907,2400,6,60,2.56222050398364E7,-1461816.3647621016,1.3382892558684826E7,-4058497.384466033,2.4286083802414975E8,250,200,-1.4526885071262803E9,-1.726809237294443E8,0.0013984780114690827,0.015063151051470266,1.3785539911143673E-4
0.25,1.6666666666666667,0,0.25,1800,0.44863713297312996,1800,6,60,1.4656165549287269E7,-701496.4573067423,7654629.797119432,-2042525.828986167,1.3263111757438761E8,250,250,-8.177871971635364E8,-9.706424186069857E7,0.0032425361264127026,0.017456371796240176,1.4368084516768205E-4
0.25,1.6666666666666667,0,0.25,2400,0.4486371317992986,2400,6,60,2.6055405271383327E7,-1247105.0482322546,1.3608230610972002E7,-3631157.3456838406,2.3578865387410855E8,250,250,-1.453843900765778E9,-1.7255865211139482E8,0.002400465968721461,0.011626540874374338,8.296393825030739E-5
